,Commercial Lending
2014-12-28,34
2015-01-04,37
2015-01-11,35
2015-01-18,38
2015-01-25,34
2015-02-01,37
2015-02-08,37
2015-02-15,37
2015-02-22,36
2015-03-01,34
2015-03-08,39
2015-03-15,37
2015-03-22,39
2015-03-29,41
2015-04-05,42
2015-04-12,41
2015-04-19,39
2015-04-26,37
2015-05-03,40
2015-05-10,40
2015-05-17,45
2015-05-24,39
2015-05-31,37
2015-06-07,36
2015-06-14,36
2015-06-21,37
2015-06-28,49
2015-07-05,43
2015-07-12,49
2015-07-19,53
2015-07-26,54
2015-08-02,57
2015-08-09,56
2015-08-16,57
2015-08-23,58
2015-08-30,53
2015-09-06,59
2015-09-13,56
2015-09-20,54
2015-09-27,54
2015-10-04,52
2015-10-11,54
2015-10-18,41
2015-10-25,48
2015-11-01,47
2015-11-08,33
2015-11-15,43
2015-11-22,40
2015-11-29,40
2015-12-06,46
2015-12-13,40
2015-12-20,40
2015-12-27,39
2016-01-03,40
2016-01-10,39
2016-01-17,39
2016-01-24,36
2016-01-31,42
2016-02-07,45
2016-02-14,45
2016-02-21,46
2016-02-28,47
2016-03-06,40
2016-03-13,42
2016-03-20,35
2016-03-27,42
2016-04-03,41
2016-04-10,39
2016-04-17,41
2016-04-24,45
2016-05-01,49
2016-05-08,44
2016-05-15,47
2016-05-22,46
2016-05-29,49
2016-06-05,49
2016-06-12,49
2016-06-19,47
2016-06-26,47
2016-07-03,43
2016-07-10,44
2016-07-17,56
2016-07-24,57
2016-07-31,57
2016-08-07,52
2016-08-14,43
2016-08-21,52
2016-08-28,59
2016-09-04,55
2016-09-11,53
2016-09-18,56
2016-09-25,53
2016-10-02,51
2016-10-09,47
2016-10-16,56
2016-10-23,43
2016-10-30,49
2016-11-06,51
2016-11-13,45
2016-11-20,46
2016-11-27,50
2016-12-04,48
2016-12-11,51
2016-12-18,55
2016-12-25,52
2017-01-01,54
2017-01-08,48
2017-01-15,53
2017-01-22,56
2017-01-29,60
2017-02-05,60
2017-02-12,55
2017-02-19,51
2017-02-26,49
2017-03-05,46
2017-03-12,49
2017-03-19,50
2017-03-26,57
2017-04-02,52
2017-04-09,54
2017-04-16,54
2017-04-23,53
2017-04-30,50
2017-05-07,51
2017-05-14,51
2017-05-21,52
2017-05-28,60
2017-06-04,53
2017-06-11,57
2017-06-18,56
2017-06-25,50
2017-07-02,55
2017-07-09,56
2017-07-16,59
2017-07-23,60
2017-07-30,56
2017-08-06,52
2017-08-13,57
2017-08-20,57
2017-08-27,54
2017-09-03,53
2017-09-10,57
2017-09-17,54
2017-09-24,51
2017-10-01,52
2017-10-08,55
2017-10-15,46
2017-10-22,53
2017-10-29,55
2017-11-05,58
2017-11-12,54
2017-11-19,64
2017-11-26,60
2017-12-03,63
2017-12-10,64
2017-12-17,66
2017-12-24,53
2017-12-31,54
2018-01-07,59
2018-01-14,60
2018-01-21,58
2018-01-28,64
2018-02-04,61
2018-02-11,75
2018-02-18,67
2018-02-25,58
2018-03-04,64
2018-03-11,90
2018-03-18,66
2018-03-25,62
2018-04-01,69
2018-04-08,69
2018-04-15,72
2018-04-22,63
2018-04-29,62
2018-05-06,60
2018-05-13,67
2018-05-20,61
2018-05-27,64
2018-06-03,62
2018-06-10,63
2018-06-17,61
2018-06-24,69
2018-07-01,66
2018-07-08,64
2018-07-15,65
2018-07-22,67
2018-07-29,73
2018-08-05,78
2018-08-12,69
2018-08-19,73
2018-08-26,83
2018-09-02,90
2018-09-09,83
2018-09-16,83
2018-09-23,89
2018-09-30,92
2018-10-07,92
2018-10-14,71
2018-10-21,82
2018-10-28,88
2018-11-04,66
2018-11-11,86
2018-11-18,85
2018-11-25,94
2018-12-02,91
2018-12-09,91
2018-12-16,94
2018-12-23,100
2018-12-30,90
2019-01-06,89
2019-01-13,84
2019-01-20,83
2019-01-27,87
2019-02-03,82
2019-02-10,80
2019-02-17,87
2019-02-24,81
2019-03-03,85
2019-03-10,99
2019-03-17,96
2019-03-24,79
2019-03-31,81
2019-04-07,76
2019-04-14,67
2019-04-21,68
2019-04-28,66
2019-05-05,71
2019-05-12,77
2019-05-19,72
2019-05-26,80
2019-06-02,73
2019-06-09,72
2019-06-16,73
2019-06-23,76
2019-06-30,68
2019-07-07,66
2019-07-14,74
2019-07-21,72
2019-07-28,72
2019-08-04,68
2019-08-11,61
2019-08-18,79
2019-08-25,78
2019-09-01,68
2019-09-08,75
2019-09-15,79
2019-09-22,78
2019-09-29,70
2019-10-06,63
2019-10-13,74
2019-10-20,76
2019-10-27,62
2019-11-03,75
2019-11-10,79
2019-11-17,78
2019-11-24,71
2019-12-01,76
2019-12-08,74
2019-12-15,75
2019-12-22,69
2019-12-29,78
2020-01-05,77
