,Commercial Vehicles
2014-12-28,17
2015-01-04,19
2015-01-11,17
2015-01-18,17
2015-01-25,18
2015-02-01,18
2015-02-08,19
2015-02-15,19
2015-02-22,18
2015-03-01,18
2015-03-08,18
2015-03-15,18
2015-03-22,19
2015-03-29,20
2015-04-05,19
2015-04-12,19
2015-04-19,20
2015-04-26,20
2015-05-03,19
2015-05-10,20
2015-05-17,23
2015-05-24,23
2015-05-31,24
2015-06-07,23
2015-06-14,21
2015-06-21,27
2015-06-28,29
2015-07-05,31
2015-07-12,30
2015-07-19,31
2015-07-26,30
2015-08-02,29
2015-08-09,28
2015-08-16,30
2015-08-23,28
2015-08-30,29
2015-09-06,29
2015-09-13,28
2015-09-20,29
2015-09-27,29
2015-10-04,29
2015-10-11,27
2015-10-18,26
2015-10-25,27
2015-11-01,28
2015-11-08,23
2015-11-15,25
2015-11-22,25
2015-11-29,24
2015-12-06,25
2015-12-13,27
2015-12-20,28
2015-12-27,27
2016-01-03,24
2016-01-10,23
2016-01-17,23
2016-01-24,23
2016-01-31,23
2016-02-07,24
2016-02-14,23
2016-02-21,24
2016-02-28,25
2016-03-06,25
2016-03-13,25
2016-03-20,24
2016-03-27,24
2016-04-03,25
2016-04-10,25
2016-04-17,25
2016-04-24,27
2016-05-01,25
2016-05-08,26
2016-05-15,26
2016-05-22,26
2016-05-29,26
2016-06-05,26
2016-06-12,27
2016-06-19,27
2016-06-26,29
2016-07-03,29
2016-07-10,28
2016-07-17,29
2016-07-24,30
2016-07-31,30
2016-08-07,31
2016-08-14,29
2016-08-21,34
2016-08-28,30
2016-09-04,31
2016-09-11,32
2016-09-18,33
2016-09-25,44
2016-10-02,69
2016-10-09,100
2016-10-16,76
2016-10-23,64
2016-10-30,63
2016-11-06,58
2016-11-13,53
2016-11-20,56
2016-11-27,48
2016-12-04,45
2016-12-11,45
2016-12-18,47
2016-12-25,47
2017-01-01,46
2017-01-08,42
2017-01-15,42
2017-01-22,38
2017-01-29,40
2017-02-05,37
2017-02-12,37
2017-02-19,38
2017-02-26,37
2017-03-05,35
2017-03-12,38
2017-03-19,38
2017-03-26,40
2017-04-02,36
2017-04-09,41
2017-04-16,41
2017-04-23,40
2017-04-30,36
2017-05-07,37
2017-05-14,40
2017-05-21,38
2017-05-28,42
2017-06-04,37
2017-06-11,38
2017-06-18,38
2017-06-25,37
2017-07-02,38
2017-07-09,38
2017-07-16,37
2017-07-23,37
2017-07-30,37
2017-08-06,36
2017-08-13,39
2017-08-20,37
2017-08-27,33
2017-09-03,35
2017-09-10,36
2017-09-17,36
2017-09-24,33
2017-10-01,36
2017-10-08,37
2017-10-15,29
2017-10-22,33
2017-10-29,35
2017-11-05,35
2017-11-12,41
2017-11-19,40
2017-11-26,37
2017-12-03,35
2017-12-10,35
2017-12-17,36
2017-12-24,39
2017-12-31,34
2018-01-07,36
2018-01-14,34
2018-01-21,34
2018-01-28,36
2018-02-04,35
2018-02-11,36
2018-02-18,37
2018-02-25,36
2018-03-04,38
2018-03-11,38
2018-03-18,39
2018-03-25,38
2018-04-01,35
2018-04-08,35
2018-04-15,38
2018-04-22,36
2018-04-29,40
2018-05-06,38
2018-05-13,37
2018-05-20,40
2018-05-27,39
2018-06-03,41
2018-06-10,40
2018-06-17,40
2018-06-24,39
2018-07-01,42
2018-07-08,40
2018-07-15,42
2018-07-22,45
2018-07-29,45
2018-08-05,51
2018-08-12,44
2018-08-19,48
2018-08-26,56
2018-09-02,59
2018-09-09,60
2018-09-16,60
2018-09-23,59
2018-09-30,59
2018-10-07,59
2018-10-14,52
2018-10-21,61
2018-10-28,63
2018-11-04,47
2018-11-11,52
2018-11-18,56
2018-11-25,53
2018-12-02,52
2018-12-09,55
2018-12-16,52
2018-12-23,56
2018-12-30,53
2019-01-06,52
2019-01-13,46
2019-01-20,46
2019-01-27,51
2019-02-03,49
2019-02-10,54
2019-02-17,50
2019-02-24,47
2019-03-03,43
2019-03-10,46
2019-03-17,50
2019-03-24,47
2019-03-31,43
2019-04-07,44
2019-04-14,42
2019-04-21,44
2019-04-28,42
2019-05-05,46
2019-05-12,46
2019-05-19,46
2019-05-26,50
2019-06-02,50
2019-06-09,44
2019-06-16,46
2019-06-23,46
2019-06-30,44
2019-07-07,44
2019-07-14,49
2019-07-21,48
2019-07-28,47
2019-08-04,50
2019-08-11,39
2019-08-18,49
2019-08-25,46
2019-09-01,44
2019-09-08,50
2019-09-15,49
2019-09-22,47
2019-09-29,42
2019-10-06,37
2019-10-13,44
2019-10-20,42
2019-10-27,38
2019-11-03,43
2019-11-10,41
2019-11-17,47
2019-11-24,45
2019-12-01,45
2019-12-08,42
2019-12-15,51
2019-12-22,44
2019-12-29,42
2020-01-05,47
