,Consulting
2018-12-30,67
2019-01-06,69
2019-01-13,61
2019-01-20,65
2019-01-27,71
2019-02-03,68
2019-02-10,67
2019-02-17,70
2019-02-24,64
2019-03-03,66
2019-03-10,67
2019-03-17,63
2019-03-24,70
2019-03-31,68
2019-04-07,65
2019-04-14,62
2019-04-21,64
2019-04-28,66
2019-05-05,70
2019-05-12,70
2019-05-19,70
2019-05-26,77
2019-06-02,69
2019-06-09,73
2019-06-16,75
2019-06-23,80
2019-06-30,70
2019-07-07,79
2019-07-14,84
2019-07-21,83
2019-07-28,81
2019-08-04,75
2019-08-11,69
2019-08-18,82
2019-08-25,78
2019-09-01,72
2019-09-08,76
2019-09-15,79
2019-09-22,74
2019-09-29,70
2019-10-06,63
2019-10-13,68
2019-10-20,58
2019-10-27,59
2019-11-03,70
2019-11-10,67
2019-11-17,74
2019-11-24,69
2019-12-01,69
2019-12-08,66
2019-12-15,66
2019-12-22,64
2019-12-29,65
2020-01-05,68
2020-01-12,63
2020-01-19,72
2020-01-26,67
2020-02-02,69
2020-02-09,72
2020-02-16,70
2020-02-23,67
2020-03-01,66
2020-03-08,54
2020-03-15,49
2020-03-22,23
2020-03-29,26
2020-04-05,28
2020-04-12,25
2020-04-19,28
2020-04-26,26
2020-05-03,31
2020-05-10,31
2020-05-17,35
2020-05-24,37
2020-05-31,45
2020-06-07,44
2020-06-14,42
2020-06-21,48
2020-06-28,53
2020-07-05,49
2020-07-12,51
2020-07-19,52
2020-07-26,49
2020-08-02,49
2020-08-09,52
2020-08-16,56
2020-08-23,57
2020-08-30,56
2020-09-06,58
2020-09-13,58
2020-09-20,59
2020-09-27,58
2020-10-04,58
2020-10-11,59
2020-10-18,53
2020-10-25,56
2020-11-01,53
2020-11-08,45
2020-11-15,51
2020-11-22,52
2020-11-29,58
2020-12-06,56
2020-12-13,62
2020-12-20,60
2020-12-27,55
2021-01-03,64
2021-01-10,55
2021-01-17,64
2021-01-24,61
2021-01-31,67
2021-02-07,63
2021-02-14,59
2021-02-21,65
2021-02-28,63
2021-03-07,59
2021-03-14,65
2021-03-21,59
2021-03-28,56
2021-04-04,58
2021-04-11,52
2021-04-18,50
2021-04-25,47
2021-05-02,46
2021-05-09,45
2021-05-16,50
2021-05-23,53
2021-05-30,60
2021-06-06,60
2021-06-13,60
2021-06-20,66
2021-06-27,66
2021-07-04,71
2021-07-11,70
2021-07-18,71
2021-07-25,71
2021-08-01,68
2021-08-08,72
2021-08-15,67
2021-08-22,65
2021-08-29,63
2021-09-05,62
2021-09-12,69
2021-09-19,66
2021-09-26,64
2021-10-03,63
2021-10-10,51
2021-10-17,55
2021-10-24,55
2021-10-31,42
2021-11-07,58
2021-11-14,59
2021-11-21,59
2021-11-28,54
2021-12-05,61
2021-12-12,58
2021-12-19,62
2021-12-26,56
2022-01-02,69
2022-01-09,63
2022-01-16,65
2022-01-23,73
2022-01-30,82
2022-02-06,74
2022-02-13,80
2022-02-20,83
2022-02-27,80
2022-03-06,78
2022-03-13,68
2022-03-20,75
2022-03-27,74
2022-04-03,74
2022-04-10,68
2022-04-17,72
2022-04-24,71
2022-05-01,71
2022-05-08,73
2022-05-15,72
2022-05-22,77
2022-05-29,73
2022-06-05,72
2022-06-12,74
2022-06-19,78
2022-06-26,74
2022-07-03,79
2022-07-10,77
2022-07-17,84
2022-07-24,83
2022-07-31,83
2022-08-07,74
2022-08-14,74
2022-08-21,83
2022-08-28,76
2022-09-04,74
2022-09-11,80
2022-09-18,82
2022-09-25,70
2022-10-02,63
2022-10-09,74
2022-10-16,62
2022-10-23,53
2022-10-30,72
2022-11-06,70
2022-11-13,72
2022-11-20,66
2022-11-27,72
2022-12-04,62
2022-12-11,68
2022-12-18,67
2022-12-25,61
2023-01-01,76
2023-01-08,72
2023-01-15,71
2023-01-22,67
2023-01-29,78
2023-02-05,69
2023-02-12,68
2023-02-19,76
2023-02-26,74
2023-03-05,64
2023-03-12,71
2023-03-19,72
2023-03-26,71
2023-04-02,70
2023-04-09,67
2023-04-16,64
2023-04-23,72
2023-04-30,68
2023-05-07,65
2023-05-14,69
2023-05-21,68
2023-05-28,72
2023-06-04,72
2023-06-11,75
2023-06-18,78
2023-06-25,78
2023-07-02,81
2023-07-09,80
2023-07-16,81
2023-07-23,81
2023-07-30,83
2023-08-06,90
2023-08-13,74
2023-08-20,72
2023-08-27,73
2023-09-03,73
2023-09-10,75
2023-09-17,72
2023-09-24,70
2023-10-01,71
2023-10-08,68
2023-10-15,63
2023-10-22,56
2023-10-29,72
2023-11-05,100
2023-11-12,67
2023-11-19,75
2023-11-26,70
2023-12-03,66
2023-12-10,69
2023-12-17,68
2023-12-24,64
2023-12-31,68
2024-01-07,70
