,Consumer Electronics
2018-12-30,73
2019-01-06,71
2019-01-13,68
2019-01-20,73
2019-01-27,70
2019-02-03,67
2019-02-10,66
2019-02-17,69
2019-02-24,65
2019-03-03,69
2019-03-10,67
2019-03-17,69
2019-03-24,68
2019-03-31,67
2019-04-07,64
2019-04-14,67
2019-04-21,68
2019-04-28,66
2019-05-05,63
2019-05-12,69
2019-05-19,65
2019-05-26,66
2019-06-02,67
2019-06-09,69
2019-06-16,68
2019-06-23,70
2019-06-30,65
2019-07-07,68
2019-07-14,76
2019-07-21,76
2019-07-28,74
2019-08-04,72
2019-08-11,69
2019-08-18,74
2019-08-25,74
2019-09-01,71
2019-09-08,70
2019-09-15,70
2019-09-22,73
2019-09-29,78
2019-10-06,69
2019-10-13,70
2019-10-20,70
2019-10-27,66
2019-11-03,67
2019-11-10,64
2019-11-17,64
2019-11-24,65
2019-12-01,60
2019-12-08,60
2019-12-15,58
2019-12-22,65
2019-12-29,67
2020-01-05,63
2020-01-12,63
2020-01-19,66
2020-01-26,60
2020-02-02,58
2020-02-09,59
2020-02-16,58
2020-02-23,59
2020-03-01,58
2020-03-08,60
2020-03-15,56
2020-03-22,44
2020-03-29,45
2020-04-05,44
2020-04-12,43
2020-04-19,44
2020-04-26,45
2020-05-03,48
2020-05-10,51
2020-05-17,53
2020-05-24,58
2020-05-31,58
2020-06-07,61
2020-06-14,61
2020-06-21,66
2020-06-28,68
2020-07-05,69
2020-07-12,70
2020-07-19,72
2020-07-26,70
2020-08-02,73
2020-08-09,72
2020-08-16,74
2020-08-23,68
2020-08-30,71
2020-09-06,73
2020-09-13,73
2020-09-20,70
2020-09-27,67
2020-10-04,70
2020-10-11,81
2020-10-18,81
2020-10-25,73
2020-11-01,71
2020-11-08,68
2020-11-15,62
2020-11-22,60
2020-11-29,60
2020-12-06,61
2020-12-13,64
2020-12-20,69
2020-12-27,65
2021-01-03,62
2021-01-10,57
2021-01-17,64
2021-01-24,58
2021-01-31,59
2021-02-07,58
2021-02-14,58
2021-02-21,57
2021-02-28,58
2021-03-07,61
2021-03-14,59
2021-03-21,60
2021-03-28,63
2021-04-04,61
2021-04-11,55
2021-04-18,59
2021-04-25,54
2021-05-02,55
2021-05-09,57
2021-05-16,68
2021-05-23,63
2021-05-30,67
2021-06-06,67
2021-06-13,67
2021-06-20,76
2021-06-27,73
2021-07-04,70
2021-07-11,68
2021-07-18,73
2021-07-25,72
2021-08-01,64
2021-08-08,68
2021-08-15,71
2021-08-22,63
2021-08-29,66
2021-09-05,61
2021-09-12,63
2021-09-19,60
2021-09-26,62
2021-10-03,69
2021-10-10,63
2021-10-17,89
2021-10-24,60
2021-10-31,70
2021-11-07,65
2021-11-14,59
2021-11-21,63
2021-11-28,100
2021-12-05,63
2021-12-12,63
2021-12-19,66
2021-12-26,65
2022-01-02,70
2022-01-09,67
2022-01-16,65
2022-01-23,66
2022-01-30,80
2022-02-06,65
2022-02-13,67
2022-02-20,66
2022-02-27,67
2022-03-06,66
2022-03-13,64
2022-03-20,67
2022-03-27,71
2022-04-03,67
2022-04-10,72
2022-04-17,65
2022-04-24,65
2022-05-01,70
2022-05-08,66
2022-05-15,71
2022-05-22,69
2022-05-29,68
2022-06-05,64
2022-06-12,73
2022-06-19,73
2022-06-26,70
2022-07-03,77
2022-07-10,78
2022-07-17,80
2022-07-24,75
2022-07-31,75
2022-08-07,71
2022-08-14,77
2022-08-21,74
2022-08-28,73
2022-09-04,70
2022-09-11,74
2022-09-18,79
2022-09-25,83
2022-10-02,74
2022-10-09,82
2022-10-16,79
2022-10-23,70
2022-10-30,73
2022-11-06,67
2022-11-13,73
2022-11-20,67
2022-11-27,65
2022-12-04,68
2022-12-11,69
2022-12-18,70
2022-12-25,76
2023-01-01,68
2023-01-08,70
2023-01-15,70
2023-01-22,69
2023-01-29,72
2023-02-05,72
2023-02-12,67
2023-02-19,69
2023-02-26,68
2023-03-05,67
2023-03-12,67
2023-03-19,75
2023-03-26,75
2023-04-02,68
2023-04-09,68
2023-04-16,64
2023-04-23,71
2023-04-30,68
2023-05-07,66
2023-05-14,67
2023-05-21,69
2023-05-28,66
2023-06-04,69
2023-06-11,70
2023-06-18,73
2023-06-25,76
2023-07-02,76
2023-07-09,75
2023-07-16,77
2023-07-23,71
2023-07-30,77
2023-08-06,73
2023-08-13,69
2023-08-20,69
2023-08-27,65
2023-09-03,66
2023-09-10,66
2023-09-17,68
2023-09-24,69
2023-10-01,68
2023-10-08,72
2023-10-15,67
2023-10-22,62
2023-10-29,65
2023-11-05,65
2023-11-12,62
2023-11-19,62
2023-11-26,63
2023-12-03,62
2023-12-10,66
2023-12-17,68
2023-12-24,78
2023-12-31,70
2024-01-07,69
