,Customer Relationship Management (CRM)
2023-01-01,81
2023-01-08,76
2023-01-15,77
2023-01-22,69
2023-01-29,79
2023-02-05,78
2023-02-12,79
2023-02-19,80
2023-02-26,81
2023-03-05,68
2023-03-12,79
2023-03-19,77
2023-03-26,80
2023-04-02,75
2023-04-09,78
2023-04-16,79
2023-04-23,79
2023-04-30,73
2023-05-07,76
2023-05-14,75
2023-05-21,77
2023-05-28,77
2023-06-04,75
2023-06-11,84
2023-06-18,82
2023-06-25,78
2023-07-02,80
2023-07-09,87
2023-07-16,86
2023-07-23,83
2023-07-30,85
2023-08-06,87
2023-08-13,74
2023-08-20,86
2023-08-27,81
2023-09-03,79
2023-09-10,81
2023-09-17,72
2023-09-24,83
2023-10-01,74
2023-10-08,78
2023-10-15,83
2023-10-22,68
2023-10-29,75
2023-11-05,77
2023-11-12,63
2023-11-19,79
2023-11-26,82
2023-12-03,83
2023-12-10,82
2023-12-17,82
2023-12-24,73
2023-12-31,84
2024-01-07,86
2024-01-14,80
2024-01-21,80
2024-01-28,97
2024-02-04,91
2024-02-11,86
2024-02-18,86
2024-02-25,89
2024-03-03,79
2024-03-10,89
2024-03-17,88
2024-03-24,80
2024-03-31,85
2024-04-07,74
2024-04-14,93
2024-04-21,85
2024-04-28,79
2024-05-05,81
2024-05-12,79
2024-05-19,83
2024-05-26,89
2024-06-02,81
2024-06-09,89
2024-06-16,87
2024-06-23,88
2024-06-30,88
2024-07-07,85
2024-07-14,95
2024-07-21,94
2024-07-28,92
2024-08-04,90
2024-08-11,88
2024-08-18,93
2024-08-25,97
2024-09-01,88
2024-09-08,86
2024-09-15,87
2024-09-22,90
2024-09-29,82
2024-10-06,78
2024-10-13,91
2024-10-20,94
2024-10-27,62
2024-11-03,79
2024-11-10,87
2024-11-17,84
2024-11-24,83
2024-12-01,82
2024-12-08,86
2024-12-15,89
2024-12-22,79
2024-12-29,74
2025-01-05,87
2025-01-12,78
2025-01-19,91
2025-01-26,88
2025-02-02,88
2025-02-09,86
2025-02-16,87
2025-02-23,85
2025-03-02,85
2025-03-09,75
2025-03-16,84
2025-03-23,91
2025-03-30,85
2025-04-06,87
2025-04-13,82
2025-04-20,87
2025-04-27,82
2025-05-04,78
2025-05-11,84
2025-05-18,92
2025-05-25,91
2025-06-01,85
2025-06-08,93
2025-06-15,91
2025-06-22,100
2025-06-29,88
2025-07-06,86
2025-07-13,92
2025-07-20,87
2025-07-27,90
2025-08-03,83
2025-08-10,76
2025-08-17,86
2025-08-24,81
2025-08-31,93
2025-09-07,82
2025-09-14,86
2025-09-21,87
2025-09-28,71
2025-10-05,91
2025-10-12,85
2025-10-19,59
2025-10-26,79
2025-11-02,82
2025-11-09,82
2025-11-16,79
2025-11-23,69
2025-11-30,72
2025-12-07,73
2025-12-14,74
2025-12-21,69
2025-12-28,64
2026-01-04,67
