,Developer Jobs
2014-12-28,70
2015-01-04,70
2015-01-11,64
2015-01-18,73
2015-01-25,72
2015-02-01,73
2015-02-08,68
2015-02-15,73
2015-02-22,87
2015-03-01,71
2015-03-08,74
2015-03-15,70
2015-03-22,74
2015-03-29,73
2015-04-05,79
2015-04-12,71
2015-04-19,70
2015-04-26,68
2015-05-03,70
2015-05-10,77
2015-05-17,77
2015-05-24,74
2015-05-31,79
2015-06-07,79
2015-06-14,82
2015-06-21,84
2015-06-28,98
2015-07-05,96
2015-07-12,94
2015-07-19,90
2015-07-26,90
2015-08-02,86
2015-08-09,85
2015-08-16,91
2015-08-23,76
2015-08-30,85
2015-09-06,94
2015-09-13,84
2015-09-20,79
2015-09-27,79
2015-10-04,83
2015-10-11,79
2015-10-18,67
2015-10-25,78
2015-11-01,76
2015-11-08,62
2015-11-15,80
2015-11-22,77
2015-11-29,79
2015-12-06,77
2015-12-13,82
2015-12-20,79
2015-12-27,77
2016-01-03,80
2016-01-10,71
2016-01-17,86
2016-01-24,80
2016-01-31,84
2016-02-07,81
2016-02-14,87
2016-02-21,87
2016-02-28,89
2016-03-06,74
2016-03-13,90
2016-03-20,70
2016-03-27,75
2016-04-03,78
2016-04-10,77
2016-04-17,81
2016-04-24,76
2016-05-01,82
2016-05-08,82
2016-05-15,78
2016-05-22,87
2016-05-29,89
2016-06-05,85
2016-06-12,89
2016-06-19,93
2016-06-26,94
2016-07-03,91
2016-07-10,88
2016-07-17,96
2016-07-24,94
2016-07-31,92
2016-08-07,94
2016-08-14,79
2016-08-21,93
2016-08-28,84
2016-09-04,86
2016-09-11,78
2016-09-18,91
2016-09-25,91
2016-10-02,80
2016-10-09,71
2016-10-16,84
2016-10-23,74
2016-10-30,73
2016-11-06,78
2016-11-13,79
2016-11-20,76
2016-11-27,77
2016-12-04,71
2016-12-11,80
2016-12-18,83
2016-12-25,83
2017-01-01,85
2017-01-08,73
2017-01-15,81
2017-01-22,75
2017-01-29,84
2017-02-05,81
2017-02-12,78
2017-02-19,76
2017-02-26,84
2017-03-05,81
2017-03-12,80
2017-03-19,83
2017-03-26,77
2017-04-02,85
2017-04-09,79
2017-04-16,87
2017-04-23,78
2017-04-30,81
2017-05-07,85
2017-05-14,80
2017-05-21,85
2017-05-28,91
2017-06-04,91
2017-06-11,93
2017-06-18,91
2017-06-25,90
2017-07-02,98
2017-07-09,91
2017-07-16,94
2017-07-23,85
2017-07-30,89
2017-08-06,86
2017-08-13,78
2017-08-20,79
2017-08-27,71
2017-09-03,75
2017-09-10,84
2017-09-17,80
2017-09-24,71
2017-10-01,80
2017-10-08,82
2017-10-15,61
2017-10-22,76
2017-10-29,81
2017-11-05,84
2017-11-12,81
2017-11-19,83
2017-11-26,73
2017-12-03,77
2017-12-10,75
2017-12-17,84
2017-12-24,68
2017-12-31,76
2018-01-07,80
2018-01-14,69
2018-01-21,69
2018-01-28,77
2018-02-04,78
2018-02-11,76
2018-02-18,78
2018-02-25,74
2018-03-04,76
2018-03-11,84
2018-03-18,84
2018-03-25,84
2018-04-01,84
2018-04-08,81
2018-04-15,77
2018-04-22,77
2018-04-29,82
2018-05-06,85
2018-05-13,83
2018-05-20,87
2018-05-27,88
2018-06-03,93
2018-06-10,92
2018-06-17,92
2018-06-24,89
2018-07-01,93
2018-07-08,91
2018-07-15,88
2018-07-22,86
2018-07-29,88
2018-08-05,87
2018-08-12,79
2018-08-19,75
2018-08-26,86
2018-09-02,100
2018-09-09,95
2018-09-16,86
2018-09-23,95
2018-09-30,79
2018-10-07,88
2018-10-14,71
2018-10-21,85
2018-10-28,86
2018-11-04,66
2018-11-11,84
2018-11-18,82
2018-11-25,88
2018-12-02,83
2018-12-09,80
2018-12-16,80
2018-12-23,82
2018-12-30,74
2019-01-06,78
2019-01-13,74
2019-01-20,83
2019-01-27,88
2019-02-03,81
2019-02-10,77
2019-02-17,79
2019-02-24,78
2019-03-03,81
2019-03-10,80
2019-03-17,78
2019-03-24,85
2019-03-31,78
2019-04-07,77
2019-04-14,69
2019-04-21,77
2019-04-28,75
2019-05-05,83
2019-05-12,84
2019-05-19,81
2019-05-26,88
2019-06-02,86
2019-06-09,89
2019-06-16,87
2019-06-23,93
2019-06-30,90
2019-07-07,88
2019-07-14,91
2019-07-21,94
2019-07-28,93
2019-08-04,76
2019-08-11,71
2019-08-18,92
2019-08-25,87
2019-09-01,76
2019-09-08,76
2019-09-15,85
2019-09-22,90
2019-09-29,78
2019-10-06,67
2019-10-13,80
2019-10-20,74
2019-10-27,68
2019-11-03,76
2019-11-10,79
2019-11-17,82
2019-11-24,75
2019-12-01,74
2019-12-08,74
2019-12-15,75
2019-12-22,71
2019-12-29,68
2020-01-05,74
