,Distribution & Logistics
2018-12-30,64
2019-01-06,59
2019-01-13,52
2019-01-20,55
2019-01-27,57
2019-02-03,59
2019-02-10,58
2019-02-17,60
2019-02-24,59
2019-03-03,60
2019-03-10,62
2019-03-17,58
2019-03-24,59
2019-03-31,59
2019-04-07,56
2019-04-14,60
2019-04-21,57
2019-04-28,58
2019-05-05,64
2019-05-12,65
2019-05-19,66
2019-05-26,67
2019-06-02,62
2019-06-09,62
2019-06-16,68
2019-06-23,70
2019-06-30,60
2019-07-07,61
2019-07-14,65
2019-07-21,67
2019-07-28,68
2019-08-04,64
2019-08-11,55
2019-08-18,68
2019-08-25,66
2019-09-01,62
2019-09-08,68
2019-09-15,73
2019-09-22,76
2019-09-29,71
2019-10-06,67
2019-10-13,71
2019-10-20,64
2019-10-27,55
2019-11-03,63
2019-11-10,66
2019-11-17,69
2019-11-24,70
2019-12-01,70
2019-12-08,71
2019-12-15,73
2019-12-22,69
2019-12-29,67
2020-01-05,67
2020-01-12,61
2020-01-19,68
2020-01-26,64
2020-02-02,63
2020-02-09,67
2020-02-16,70
2020-02-23,69
2020-03-01,78
2020-03-08,62
2020-03-15,63
2020-03-22,29
2020-03-29,25
2020-04-05,27
2020-04-12,29
2020-04-19,28
2020-04-26,30
2020-05-03,37
2020-05-10,45
2020-05-17,53
2020-05-24,56
2020-05-31,62
2020-06-07,76
2020-06-14,75
2020-06-21,77
2020-06-28,81
2020-07-05,82
2020-07-12,79
2020-07-19,82
2020-07-26,78
2020-08-02,80
2020-08-09,76
2020-08-16,82
2020-08-23,83
2020-08-30,91
2020-09-06,92
2020-09-13,90
2020-09-20,86
2020-09-27,79
2020-10-04,83
2020-10-11,84
2020-10-18,89
2020-10-25,81
2020-11-01,77
2020-11-08,72
2020-11-15,72
2020-11-22,71
2020-11-29,76
2020-12-06,78
2020-12-13,81
2020-12-20,86
2020-12-27,79
2021-01-03,79
2021-01-10,70
2021-01-17,79
2021-01-24,66
2021-01-31,67
2021-02-07,75
2021-02-14,72
2021-02-21,75
2021-02-28,75
2021-03-07,71
2021-03-14,76
2021-03-21,75
2021-03-28,72
2021-04-04,68
2021-04-11,66
2021-04-18,68
2021-04-25,60
2021-05-02,57
2021-05-09,54
2021-05-16,53
2021-05-23,55
2021-05-30,62
2021-06-06,66
2021-06-13,79
2021-06-20,78
2021-06-27,83
2021-07-04,83
2021-07-11,88
2021-07-18,84
2021-07-25,86
2021-08-01,79
2021-08-08,89
2021-08-15,81
2021-08-22,74
2021-08-29,79
2021-09-05,76
2021-09-12,77
2021-09-19,79
2021-09-26,83
2021-10-03,86
2021-10-10,71
2021-10-17,80
2021-10-24,80
2021-10-31,64
2021-11-07,65
2021-11-14,67
2021-11-21,67
2021-11-28,62
2021-12-05,75
2021-12-12,76
2021-12-19,76
2021-12-26,70
2022-01-02,81
2022-01-09,69
2022-01-16,68
2022-01-23,74
2022-01-30,83
2022-02-06,82
2022-02-13,83
2022-02-20,81
2022-02-27,79
2022-03-06,79
2022-03-13,73
2022-03-20,82
2022-03-27,78
2022-04-03,79
2022-04-10,78
2022-04-17,85
2022-04-24,84
2022-05-01,79
2022-05-08,85
2022-05-15,83
2022-05-22,85
2022-05-29,84
2022-06-05,87
2022-06-12,85
2022-06-19,89
2022-06-26,87
2022-07-03,89
2022-07-10,86
2022-07-17,87
2022-07-24,91
2022-07-31,94
2022-08-07,85
2022-08-14,81
2022-08-21,92
2022-08-28,81
2022-09-04,82
2022-09-11,91
2022-09-18,100
2022-09-25,95
2022-10-02,88
2022-10-09,86
2022-10-16,89
2022-10-23,63
2022-10-30,77
2022-11-06,82
2022-11-13,88
2022-11-20,91
2022-11-27,88
2022-12-04,91
2022-12-11,91
2022-12-18,92
2022-12-25,88
2023-01-01,83
2023-01-08,83
2023-01-15,79
2023-01-22,77
2023-01-29,84
2023-02-05,87
2023-02-12,86
2023-02-19,88
2023-02-26,83
2023-03-05,78
2023-03-12,89
2023-03-19,96
2023-03-26,87
2023-04-02,89
2023-04-09,86
2023-04-16,90
2023-04-23,96
2023-04-30,89
2023-05-07,88
2023-05-14,93
2023-05-21,91
2023-05-28,87
2023-06-04,87
2023-06-11,93
2023-06-18,91
2023-06-25,87
2023-07-02,90
2023-07-09,93
2023-07-16,92
2023-07-23,89
2023-07-30,94
2023-08-06,96
2023-08-13,88
2023-08-20,90
2023-08-27,85
2023-09-03,77
2023-09-10,81
2023-09-17,82
2023-09-24,88
2023-10-01,85
2023-10-08,97
2023-10-15,98
2023-10-22,79
2023-10-29,83
2023-11-05,89
2023-11-12,71
2023-11-19,82
2023-11-26,82
2023-12-03,82
2023-12-10,98
2023-12-17,95
2023-12-24,92
2023-12-31,94
2024-01-07,89
