,Dyes & Pigments
2014-12-28,37
2015-01-04,37
2015-01-11,33
2015-01-18,36
2015-01-25,36
2015-02-01,41
2015-02-08,37
2015-02-15,37
2015-02-22,42
2015-03-01,35
2015-03-08,40
2015-03-15,40
2015-03-22,36
2015-03-29,37
2015-04-05,40
2015-04-12,38
2015-04-19,40
2015-04-26,36
2015-05-03,35
2015-05-10,40
2015-05-17,38
2015-05-24,34
2015-05-31,35
2015-06-07,35
2015-06-14,35
2015-06-21,41
2015-06-28,46
2015-07-05,49
2015-07-12,49
2015-07-19,50
2015-07-26,48
2015-08-02,54
2015-08-09,53
2015-08-16,53
2015-08-23,48
2015-08-30,50
2015-09-06,54
2015-09-13,49
2015-09-20,51
2015-09-27,49
2015-10-04,52
2015-10-11,53
2015-10-18,41
2015-10-25,50
2015-11-01,48
2015-11-08,33
2015-11-15,45
2015-11-22,48
2015-11-29,47
2015-12-06,47
2015-12-13,47
2015-12-20,46
2015-12-27,41
2016-01-03,47
2016-01-10,41
2016-01-17,45
2016-01-24,44
2016-01-31,49
2016-02-07,51
2016-02-14,49
2016-02-21,49
2016-02-28,50
2016-03-06,50
2016-03-13,46
2016-03-20,40
2016-03-27,49
2016-04-03,47
2016-04-10,46
2016-04-17,48
2016-04-24,49
2016-05-01,51
2016-05-08,50
2016-05-15,49
2016-05-22,49
2016-05-29,46
2016-06-05,48
2016-06-12,48
2016-06-19,49
2016-06-26,51
2016-07-03,50
2016-07-10,52
2016-07-17,56
2016-07-24,55
2016-07-31,56
2016-08-07,54
2016-08-14,49
2016-08-21,55
2016-08-28,55
2016-09-04,52
2016-09-11,55
2016-09-18,59
2016-09-25,57
2016-10-02,53
2016-10-09,49
2016-10-16,57
2016-10-23,51
2016-10-30,49
2016-11-06,55
2016-11-13,53
2016-11-20,57
2016-11-27,61
2016-12-04,54
2016-12-11,61
2016-12-18,60
2016-12-25,55
2017-01-01,57
2017-01-08,53
2017-01-15,54
2017-01-22,55
2017-01-29,57
2017-02-05,58
2017-02-12,60
2017-02-19,59
2017-02-26,61
2017-03-05,64
2017-03-12,56
2017-03-19,65
2017-03-26,65
2017-04-02,60
2017-04-09,61
2017-04-16,64
2017-04-23,62
2017-04-30,61
2017-05-07,66
2017-05-14,64
2017-05-21,59
2017-05-28,54
2017-06-04,56
2017-06-11,59
2017-06-18,61
2017-06-25,56
2017-07-02,65
2017-07-09,63
2017-07-16,71
2017-07-23,61
2017-07-30,65
2017-08-06,66
2017-08-13,60
2017-08-20,61
2017-08-27,64
2017-09-03,65
2017-09-10,64
2017-09-17,65
2017-09-24,58
2017-10-01,59
2017-10-08,68
2017-10-15,50
2017-10-22,65
2017-10-29,64
2017-11-05,68
2017-11-12,71
2017-11-19,69
2017-11-26,66
2017-12-03,71
2017-12-10,63
2017-12-17,70
2017-12-24,72
2017-12-31,61
2018-01-07,64
2018-01-14,64
2018-01-21,61
2018-01-28,69
2018-02-04,69
2018-02-11,67
2018-02-18,70
2018-02-25,62
2018-03-04,68
2018-03-11,76
2018-03-18,69
2018-03-25,74
2018-04-01,68
2018-04-08,68
2018-04-15,75
2018-04-22,66
2018-04-29,66
2018-05-06,68
2018-05-13,70
2018-05-20,66
2018-05-27,66
2018-06-03,68
2018-06-10,61
2018-06-17,64
2018-06-24,66
2018-07-01,68
2018-07-08,65
2018-07-15,70
2018-07-22,75
2018-07-29,81
2018-08-05,78
2018-08-12,75
2018-08-19,79
2018-08-26,88
2018-09-02,85
2018-09-09,83
2018-09-16,87
2018-09-23,93
2018-09-30,86
2018-10-07,92
2018-10-14,73
2018-10-21,93
2018-10-28,97
2018-11-04,62
2018-11-11,85
2018-11-18,84
2018-11-25,97
2018-12-02,96
2018-12-09,87
2018-12-16,88
2018-12-23,85
2018-12-30,82
2019-01-06,79
2019-01-13,72
2019-01-20,82
2019-01-27,85
2019-02-03,83
2019-02-10,90
2019-02-17,84
2019-02-24,81
2019-03-03,86
2019-03-10,90
2019-03-17,76
2019-03-24,90
2019-03-31,81
2019-04-07,82
2019-04-14,72
2019-04-21,76
2019-04-28,78
2019-05-05,76
2019-05-12,75
2019-05-19,77
2019-05-26,77
2019-06-02,73
2019-06-09,72
2019-06-16,72
2019-06-23,77
2019-06-30,67
2019-07-07,76
2019-07-14,80
2019-07-21,86
2019-07-28,85
2019-08-04,84
2019-08-11,70
2019-08-18,87
2019-08-25,91
2019-09-01,80
2019-09-08,92
2019-09-15,94
2019-09-22,100
2019-09-29,79
2019-10-06,73
2019-10-13,86
2019-10-20,74
2019-10-27,64
2019-11-03,87
2019-11-10,84
2019-11-17,95
2019-11-24,97
2019-12-01,91
2019-12-08,86
2019-12-15,83
2019-12-22,73
2019-12-29,78
2020-01-05,82
