,Enterprise Resource Planning (ERP)
2014-12-28,38
2015-01-04,45
2015-01-11,40
2015-01-18,45
2015-01-25,39
2015-02-01,50
2015-02-08,47
2015-02-15,49
2015-02-22,53
2015-03-01,41
2015-03-08,46
2015-03-15,53
2015-03-22,47
2015-03-29,51
2015-04-05,54
2015-04-12,45
2015-04-19,46
2015-04-26,40
2015-05-03,43
2015-05-10,45
2015-05-17,46
2015-05-24,44
2015-05-31,44
2015-06-07,44
2015-06-14,46
2015-06-21,49
2015-06-28,57
2015-07-05,65
2015-07-12,61
2015-07-19,61
2015-07-26,62
2015-08-02,59
2015-08-09,57
2015-08-16,61
2015-08-23,55
2015-08-30,55
2015-09-06,61
2015-09-13,51
2015-09-20,53
2015-09-27,52
2015-10-04,58
2015-10-11,55
2015-10-18,42
2015-10-25,54
2015-11-01,52
2015-11-08,32
2015-11-15,50
2015-11-22,51
2015-11-29,50
2015-12-06,50
2015-12-13,52
2015-12-20,44
2015-12-27,40
2016-01-03,52
2016-01-10,44
2016-01-17,50
2016-01-24,45
2016-01-31,54
2016-02-07,52
2016-02-14,54
2016-02-21,55
2016-02-28,53
2016-03-06,55
2016-03-13,60
2016-03-20,46
2016-03-27,54
2016-04-03,54
2016-04-10,54
2016-04-17,53
2016-04-24,56
2016-05-01,58
2016-05-08,60
2016-05-15,52
2016-05-22,54
2016-05-29,50
2016-06-05,51
2016-06-12,52
2016-06-19,52
2016-06-26,56
2016-07-03,55
2016-07-10,59
2016-07-17,66
2016-07-24,70
2016-07-31,73
2016-08-07,59
2016-08-14,49
2016-08-21,64
2016-08-28,61
2016-09-04,54
2016-09-11,56
2016-09-18,65
2016-09-25,61
2016-10-02,60
2016-10-09,48
2016-10-16,66
2016-10-23,52
2016-10-30,51
2016-11-06,54
2016-11-13,53
2016-11-20,60
2016-11-27,54
2016-12-04,52
2016-12-11,55
2016-12-18,58
2016-12-25,54
2017-01-01,58
2017-01-08,51
2017-01-15,55
2017-01-22,52
2017-01-29,59
2017-02-05,61
2017-02-12,61
2017-02-19,56
2017-02-26,61
2017-03-05,56
2017-03-12,56
2017-03-19,66
2017-03-26,63
2017-04-02,62
2017-04-09,62
2017-04-16,63
2017-04-23,58
2017-04-30,55
2017-05-07,57
2017-05-14,58
2017-05-21,51
2017-05-28,56
2017-06-04,55
2017-06-11,61
2017-06-18,64
2017-06-25,70
2017-07-02,74
2017-07-09,75
2017-07-16,75
2017-07-23,68
2017-07-30,70
2017-08-06,68
2017-08-13,63
2017-08-20,66
2017-08-27,75
2017-09-03,70
2017-09-10,72
2017-09-17,64
2017-09-24,59
2017-10-01,61
2017-10-08,69
2017-10-15,43
2017-10-22,65
2017-10-29,64
2017-11-05,66
2017-11-12,67
2017-11-19,65
2017-11-26,67
2017-12-03,64
2017-12-10,63
2017-12-17,70
2017-12-24,58
2017-12-31,61
2018-01-07,60
2018-01-14,58
2018-01-21,56
2018-01-28,65
2018-02-04,62
2018-02-11,62
2018-02-18,64
2018-02-25,58
2018-03-04,64
2018-03-11,67
2018-03-18,67
2018-03-25,69
2018-04-01,67
2018-04-08,73
2018-04-15,68
2018-04-22,63
2018-04-29,61
2018-05-06,57
2018-05-13,63
2018-05-20,63
2018-05-27,63
2018-06-03,60
2018-06-10,60
2018-06-17,62
2018-06-24,64
2018-07-01,69
2018-07-08,69
2018-07-15,67
2018-07-22,66
2018-07-29,75
2018-08-05,79
2018-08-12,72
2018-08-19,81
2018-08-26,83
2018-09-02,80
2018-09-09,68
2018-09-16,80
2018-09-23,83
2018-09-30,82
2018-10-07,89
2018-10-14,64
2018-10-21,77
2018-10-28,78
2018-11-04,45
2018-11-11,71
2018-11-18,72
2018-11-25,78
2018-12-02,76
2018-12-09,72
2018-12-16,77
2018-12-23,64
2018-12-30,69
2019-01-06,71
2019-01-13,63
2019-01-20,71
2019-01-27,73
2019-02-03,73
2019-02-10,75
2019-02-17,74
2019-02-24,71
2019-03-03,72
2019-03-10,72
2019-03-17,68
2019-03-24,77
2019-03-31,80
2019-04-07,76
2019-04-14,73
2019-04-21,71
2019-04-28,68
2019-05-05,70
2019-05-12,70
2019-05-19,66
2019-05-26,69
2019-06-02,62
2019-06-09,65
2019-06-16,67
2019-06-23,71
2019-06-30,68
2019-07-07,73
2019-07-14,80
2019-07-21,85
2019-07-28,80
2019-08-04,75
2019-08-11,66
2019-08-18,81
2019-08-25,84
2019-09-01,71
2019-09-08,83
2019-09-15,92
2019-09-22,89
2019-09-29,77
2019-10-06,74
2019-10-13,100
2019-10-20,79
2019-10-27,70
2019-11-03,84
2019-11-10,80
2019-11-17,89
2019-11-24,79
2019-12-01,81
2019-12-08,76
2019-12-15,75
2019-12-22,70
2019-12-29,75
2020-01-05,84
