,Enterprise Technology
2018-12-30,68
2019-01-06,67
2019-01-13,61
2019-01-20,64
2019-01-27,68
2019-02-03,66
2019-02-10,69
2019-02-17,66
2019-02-24,70
2019-03-03,66
2019-03-10,69
2019-03-17,63
2019-03-24,71
2019-03-31,69
2019-04-07,66
2019-04-14,63
2019-04-21,64
2019-04-28,63
2019-05-05,68
2019-05-12,70
2019-05-19,66
2019-05-26,69
2019-06-02,66
2019-06-09,66
2019-06-16,64
2019-06-23,72
2019-06-30,69
2019-07-07,69
2019-07-14,71
2019-07-21,67
2019-07-28,71
2019-08-04,68
2019-08-11,63
2019-08-18,75
2019-08-25,74
2019-09-01,66
2019-09-08,71
2019-09-15,78
2019-09-22,73
2019-09-29,72
2019-10-06,64
2019-10-13,76
2019-10-20,64
2019-10-27,55
2019-11-03,70
2019-11-10,68
2019-11-17,72
2019-11-24,75
2019-12-01,71
2019-12-08,69
2019-12-15,71
2019-12-22,67
2019-12-29,69
2020-01-05,73
2020-01-12,62
2020-01-19,72
2020-01-26,65
2020-02-02,70
2020-02-09,69
2020-02-16,70
2020-02-23,69
2020-03-01,69
2020-03-08,59
2020-03-15,61
2020-03-22,42
2020-03-29,48
2020-04-05,48
2020-04-12,51
2020-04-19,54
2020-04-26,54
2020-05-03,56
2020-05-10,59
2020-05-17,60
2020-05-24,57
2020-05-31,61
2020-06-07,60
2020-06-14,62
2020-06-21,63
2020-06-28,67
2020-07-05,68
2020-07-12,67
2020-07-19,70
2020-07-26,66
2020-08-02,66
2020-08-09,62
2020-08-16,70
2020-08-23,68
2020-08-30,69
2020-09-06,72
2020-09-13,68
2020-09-20,69
2020-09-27,64
2020-10-04,68
2020-10-11,68
2020-10-18,65
2020-10-25,63
2020-11-01,64
2020-11-08,59
2020-11-15,57
2020-11-22,63
2020-11-29,67
2020-12-06,68
2020-12-13,72
2020-12-20,69
2020-12-27,66
2021-01-03,68
2021-01-10,63
2021-01-17,70
2021-01-24,63
2021-01-31,67
2021-02-07,70
2021-02-14,69
2021-02-21,69
2021-02-28,80
2021-03-07,70
2021-03-14,74
2021-03-21,72
2021-03-28,65
2021-04-04,67
2021-04-11,59
2021-04-18,61
2021-04-25,57
2021-05-02,62
2021-05-09,59
2021-05-16,56
2021-05-23,61
2021-05-30,63
2021-06-06,64
2021-06-13,72
2021-06-20,70
2021-06-27,73
2021-07-04,74
2021-07-11,78
2021-07-18,75
2021-07-25,72
2021-08-01,71
2021-08-08,73
2021-08-15,69
2021-08-22,67
2021-08-29,69
2021-09-05,65
2021-09-12,69
2021-09-19,66
2021-09-26,70
2021-10-03,70
2021-10-10,58
2021-10-17,65
2021-10-24,64
2021-10-31,47
2021-11-07,63
2021-11-14,64
2021-11-21,66
2021-11-28,69
2021-12-05,71
2021-12-12,73
2021-12-19,73
2021-12-26,68
2022-01-02,78
2022-01-09,73
2022-01-16,68
2022-01-23,71
2022-01-30,83
2022-02-06,80
2022-02-13,85
2022-02-20,83
2022-02-27,88
2022-03-06,87
2022-03-13,77
2022-03-20,85
2022-03-27,84
2022-04-03,84
2022-04-10,78
2022-04-17,83
2022-04-24,82
2022-05-01,77
2022-05-08,85
2022-05-15,85
2022-05-22,83
2022-05-29,83
2022-06-05,84
2022-06-12,89
2022-06-19,89
2022-06-26,88
2022-07-03,83
2022-07-10,89
2022-07-17,91
2022-07-24,87
2022-07-31,92
2022-08-07,79
2022-08-14,76
2022-08-21,84
2022-08-28,77
2022-09-04,79
2022-09-11,87
2022-09-18,91
2022-09-25,88
2022-10-02,73
2022-10-09,90
2022-10-16,83
2022-10-23,62
2022-10-30,82
2022-11-06,82
2022-11-13,89
2022-11-20,82
2022-11-27,82
2022-12-04,89
2022-12-11,85
2022-12-18,91
2022-12-25,86
2023-01-01,88
2023-01-08,86
2023-01-15,82
2023-01-22,79
2023-01-29,91
2023-02-05,88
2023-02-12,88
2023-02-19,88
2023-02-26,87
2023-03-05,78
2023-03-12,87
2023-03-19,86
2023-03-26,87
2023-04-02,85
2023-04-09,83
2023-04-16,84
2023-04-23,86
2023-04-30,79
2023-05-07,81
2023-05-14,88
2023-05-21,82
2023-05-28,87
2023-06-04,87
2023-06-11,89
2023-06-18,85
2023-06-25,88
2023-07-02,90
2023-07-09,96
2023-07-16,96
2023-07-23,97
2023-07-30,100
2023-08-06,96
2023-08-13,89
2023-08-20,90
2023-08-27,84
2023-09-03,89
2023-09-10,91
2023-09-17,87
2023-09-24,92
2023-10-01,89
2023-10-08,92
2023-10-15,89
2023-10-22,77
2023-10-29,89
2023-11-05,89
2023-11-12,67
2023-11-19,86
2023-11-26,87
2023-12-03,87
2023-12-10,92
2023-12-17,96
2023-12-24,90
2023-12-31,86
2024-01-07,91
