,Finance
2018-12-30,70
2019-01-06,67
2019-01-13,59
2019-01-20,59
2019-01-27,71
2019-02-03,66
2019-02-10,64
2019-02-17,62
2019-02-24,60
2019-03-03,65
2019-03-10,65
2019-03-17,60
2019-03-24,66
2019-03-31,71
2019-04-07,60
2019-04-14,54
2019-04-21,56
2019-04-28,60
2019-05-05,60
2019-05-12,60
2019-05-19,58
2019-05-26,64
2019-06-02,62
2019-06-09,60
2019-06-16,61
2019-06-23,65
2019-06-30,69
2019-07-07,66
2019-07-14,76
2019-07-21,70
2019-07-28,76
2019-08-04,69
2019-08-11,61
2019-08-18,71
2019-08-25,81
2019-09-01,75
2019-09-08,71
2019-09-15,73
2019-09-22,72
2019-09-29,75
2019-10-06,63
2019-10-13,67
2019-10-20,65
2019-10-27,62
2019-11-03,66
2019-11-10,65
2019-11-17,65
2019-11-24,67
2019-12-01,70
2019-12-08,64
2019-12-15,64
2019-12-22,63
2019-12-29,74
2020-01-05,68
2020-01-12,61
2020-01-19,63
2020-01-26,63
2020-02-02,69
2020-02-09,68
2020-02-16,59
2020-02-23,69
2020-03-01,82
2020-03-08,72
2020-03-15,83
2020-03-22,55
2020-03-29,60
2020-04-05,54
2020-04-12,51
2020-04-19,53
2020-04-26,54
2020-05-03,59
2020-05-10,55
2020-05-17,57
2020-05-24,54
2020-05-31,68
2020-06-07,65
2020-06-14,64
2020-06-21,66
2020-06-28,74
2020-07-05,71
2020-07-12,72
2020-07-19,69
2020-07-26,73
2020-08-02,77
2020-08-09,80
2020-08-16,76
2020-08-23,77
2020-08-30,80
2020-09-06,76
2020-09-13,75
2020-09-20,71
2020-09-27,76
2020-10-04,76
2020-10-11,75
2020-10-18,69
2020-10-25,67
2020-11-01,69
2020-11-08,68
2020-11-15,65
2020-11-22,66
2020-11-29,78
2020-12-06,77
2020-12-13,73
2020-12-20,74
2020-12-27,83
2021-01-03,80
2021-01-10,72
2021-01-17,74
2021-01-24,67
2021-01-31,82
2021-02-07,77
2021-02-14,79
2021-02-21,74
2021-02-28,85
2021-03-07,77
2021-03-14,77
2021-03-21,73
2021-03-28,75
2021-04-04,75
2021-04-11,66
2021-04-18,58
2021-04-25,62
2021-05-02,63
2021-05-09,65
2021-05-16,63
2021-05-23,67
2021-05-30,74
2021-06-06,71
2021-06-13,72
2021-06-20,71
2021-06-27,75
2021-07-04,75
2021-07-11,75
2021-07-18,73
2021-07-25,75
2021-08-01,78
2021-08-08,78
2021-08-15,73
2021-08-22,66
2021-08-29,74
2021-09-05,71
2021-09-12,71
2021-09-19,72
2021-09-26,70
2021-10-03,73
2021-10-10,65
2021-10-17,74
2021-10-24,71
2021-10-31,61
2021-11-07,70
2021-11-14,65
2021-11-21,67
2021-11-28,73
2021-12-05,73
2021-12-12,72
2021-12-19,80
2021-12-26,86
2022-01-02,83
2022-01-09,82
2022-01-16,74
2022-01-23,75
2022-01-30,86
2022-02-06,76
2022-02-13,80
2022-02-20,84
2022-02-27,88
2022-03-06,86
2022-03-13,77
2022-03-20,78
2022-03-27,82
2022-04-03,80
2022-04-10,69
2022-04-17,72
2022-04-24,75
2022-05-01,75
2022-05-08,80
2022-05-15,83
2022-05-22,78
2022-05-29,82
2022-06-05,80
2022-06-12,80
2022-06-19,79
2022-06-26,86
2022-07-03,86
2022-07-10,89
2022-07-17,88
2022-07-24,100
2022-07-31,96
2022-08-07,77
2022-08-14,79
2022-08-21,84
2022-08-28,79
2022-09-04,77
2022-09-11,87
2022-09-18,84
2022-09-25,90
2022-10-02,79
2022-10-09,83
2022-10-16,82
2022-10-23,65
2022-10-30,82
2022-11-06,82
2022-11-13,87
2022-11-20,74
2022-11-27,80
2022-12-04,81
2022-12-11,80
2022-12-18,82
2022-12-25,87
2023-01-01,82
2023-01-08,81
2023-01-15,79
2023-01-22,76
2023-01-29,89
2023-02-05,87
2023-02-12,79
2023-02-19,78
2023-02-26,87
2023-03-05,74
2023-03-12,82
2023-03-19,89
2023-03-26,92
2023-04-02,82
2023-04-09,80
2023-04-16,78
2023-04-23,76
2023-04-30,74
2023-05-07,70
2023-05-14,76
2023-05-21,76
2023-05-28,82
2023-06-04,81
2023-06-11,82
2023-06-18,83
2023-06-25,94
2023-07-02,94
2023-07-09,95
2023-07-16,99
2023-07-23,98
2023-07-30,94
2023-08-06,87
2023-08-13,81
2023-08-20,84
2023-08-27,77
2023-09-03,86
2023-09-10,89
2023-09-17,82
2023-09-24,84
2023-10-01,87
2023-10-08,84
2023-10-15,81
2023-10-22,68
2023-10-29,78
2023-11-05,78
2023-11-12,69
2023-11-19,73
2023-11-26,82
2023-12-03,84
2023-12-10,86
2023-12-17,90
2023-12-24,93
2023-12-31,91
2024-01-07,86
