,Fitness
2018-12-30,62
2019-01-06,60
2019-01-13,55
2019-01-20,56
2019-01-27,55
2019-02-03,57
2019-02-10,56
2019-02-17,56
2019-02-24,53
2019-03-03,60
2019-03-10,61
2019-03-17,54
2019-03-24,59
2019-03-31,57
2019-04-07,54
2019-04-14,56
2019-04-21,55
2019-04-28,55
2019-05-05,55
2019-05-12,52
2019-05-19,55
2019-05-26,58
2019-06-02,57
2019-06-09,61
2019-06-16,80
2019-06-23,61
2019-06-30,61
2019-07-07,59
2019-07-14,62
2019-07-21,61
2019-07-28,60
2019-08-04,56
2019-08-11,54
2019-08-18,58
2019-08-25,58
2019-09-01,54
2019-09-08,60
2019-09-15,57
2019-09-22,57
2019-09-29,54
2019-10-06,50
2019-10-13,55
2019-10-20,52
2019-10-27,48
2019-11-03,56
2019-11-10,57
2019-11-17,60
2019-11-24,55
2019-12-01,53
2019-12-08,51
2019-12-15,52
2019-12-22,59
2019-12-29,54
2020-01-05,53
2020-01-12,51
2020-01-19,52
2020-01-26,51
2020-02-02,51
2020-02-09,51
2020-02-16,52
2020-02-23,54
2020-03-01,52
2020-03-08,47
2020-03-15,52
2020-03-22,49
2020-03-29,52
2020-04-05,53
2020-04-12,51
2020-04-19,51
2020-04-26,51
2020-05-03,54
2020-05-10,58
2020-05-17,60
2020-05-24,55
2020-05-31,58
2020-06-07,62
2020-06-14,67
2020-06-21,92
2020-06-28,67
2020-07-05,63
2020-07-12,64
2020-07-19,65
2020-07-26,64
2020-08-02,60
2020-08-09,63
2020-08-16,62
2020-08-23,59
2020-08-30,58
2020-09-06,61
2020-09-13,59
2020-09-20,58
2020-09-27,59
2020-10-04,58
2020-10-11,60
2020-10-18,57
2020-10-25,54
2020-11-01,49
2020-11-08,44
2020-11-15,48
2020-11-22,50
2020-11-29,53
2020-12-06,54
2020-12-13,55
2020-12-20,60
2020-12-27,56
2021-01-03,58
2021-01-10,50
2021-01-17,54
2021-01-24,53
2021-01-31,55
2021-02-07,57
2021-02-14,56
2021-02-21,55
2021-02-28,58
2021-03-07,57
2021-03-14,58
2021-03-21,55
2021-03-28,53
2021-04-04,58
2021-04-11,55
2021-04-18,59
2021-04-25,61
2021-05-02,61
2021-05-09,63
2021-05-16,61
2021-05-23,63
2021-05-30,62
2021-06-06,61
2021-06-13,64
2021-06-20,80
2021-06-27,59
2021-07-04,57
2021-07-11,60
2021-07-18,64
2021-07-25,60
2021-08-01,60
2021-08-08,58
2021-08-15,59
2021-08-22,60
2021-08-29,57
2021-09-05,58
2021-09-12,58
2021-09-19,57
2021-09-26,55
2021-10-03,51
2021-10-10,48
2021-10-17,49
2021-10-24,47
2021-10-31,40
2021-11-07,47
2021-11-14,49
2021-11-21,46
2021-11-28,48
2021-12-05,48
2021-12-12,49
2021-12-19,52
2021-12-26,51
2022-01-02,58
2022-01-09,54
2022-01-16,50
2022-01-23,52
2022-01-30,58
2022-02-06,56
2022-02-13,60
2022-02-20,62
2022-02-27,60
2022-03-06,65
2022-03-13,55
2022-03-20,63
2022-03-27,57
2022-04-03,58
2022-04-10,58
2022-04-17,56
2022-04-24,56
2022-05-01,58
2022-05-08,58
2022-05-15,58
2022-05-22,61
2022-05-29,63
2022-06-05,62
2022-06-12,71
2022-06-19,100
2022-06-26,66
2022-07-03,66
2022-07-10,66
2022-07-17,70
2022-07-24,63
2022-07-31,67
2022-08-07,62
2022-08-14,61
2022-08-21,67
2022-08-28,64
2022-09-04,62
2022-09-11,70
2022-09-18,68
2022-09-25,59
2022-10-02,61
2022-10-09,66
2022-10-16,59
2022-10-23,51
2022-10-30,63
2022-11-06,65
2022-11-13,62
2022-11-20,61
2022-11-27,60
2022-12-04,59
2022-12-11,63
2022-12-18,64
2022-12-25,67
2023-01-01,63
2023-01-08,63
2023-01-15,60
2023-01-22,60
2023-01-29,66
2023-02-05,67
2023-02-12,64
2023-02-19,65
2023-02-26,64
2023-03-05,59
2023-03-12,67
2023-03-19,65
2023-03-26,62
2023-04-02,69
2023-04-09,66
2023-04-16,66
2023-04-23,65
2023-04-30,64
2023-05-07,62
2023-05-14,62
2023-05-21,59
2023-05-28,62
2023-06-04,69
2023-06-11,68
2023-06-18,93
2023-06-25,69
2023-07-02,74
2023-07-09,70
2023-07-16,66
2023-07-23,68
2023-07-30,69
2023-08-06,65
2023-08-13,64
2023-08-20,65
2023-08-27,63
2023-09-03,66
2023-09-10,62
2023-09-17,63
2023-09-24,65
2023-10-01,67
2023-10-08,65
2023-10-15,60
2023-10-22,54
2023-10-29,59
2023-11-05,55
2023-11-12,49
2023-11-19,58
2023-11-26,60
2023-12-03,60
2023-12-10,63
2023-12-17,62
2023-12-24,65
2023-12-31,63
2024-01-07,63
