,Flooring
2018-12-30,52
2019-01-06,51
2019-01-13,47
2019-01-20,46
2019-01-27,44
2019-02-03,41
2019-02-10,47
2019-02-17,47
2019-02-24,43
2019-03-03,41
2019-03-10,45
2019-03-17,47
2019-03-24,50
2019-03-31,44
2019-04-07,38
2019-04-14,38
2019-04-21,37
2019-04-28,41
2019-05-05,45
2019-05-12,51
2019-05-19,49
2019-05-26,48
2019-06-02,42
2019-06-09,39
2019-06-16,43
2019-06-23,47
2019-06-30,39
2019-07-07,40
2019-07-14,45
2019-07-21,48
2019-07-28,48
2019-08-04,53
2019-08-11,45
2019-08-18,55
2019-08-25,55
2019-09-01,51
2019-09-08,51
2019-09-15,48
2019-09-22,50
2019-09-29,81
2019-10-06,49
2019-10-13,55
2019-10-20,45
2019-10-27,39
2019-11-03,46
2019-11-10,44
2019-11-17,45
2019-11-24,49
2019-12-01,40
2019-12-08,38
2019-12-15,42
2019-12-22,45
2019-12-29,44
2020-01-05,38
2020-01-12,39
2020-01-19,40
2020-01-26,42
2020-02-02,40
2020-02-09,40
2020-02-16,42
2020-02-23,44
2020-03-01,38
2020-03-08,35
2020-03-15,44
2020-03-22,27
2020-03-29,23
2020-04-05,25
2020-04-12,25
2020-04-19,25
2020-04-26,26
2020-05-03,30
2020-05-10,33
2020-05-17,33
2020-05-24,33
2020-05-31,41
2020-06-07,43
2020-06-14,44
2020-06-21,89
2020-06-28,79
2020-07-05,100
2020-07-12,62
2020-07-19,47
2020-07-26,48
2020-08-02,45
2020-08-09,69
2020-08-16,56
2020-08-23,51
2020-08-30,47
2020-09-06,48
2020-09-13,50
2020-09-20,45
2020-09-27,48
2020-10-04,50
2020-10-11,52
2020-10-18,58
2020-10-25,58
2020-11-01,57
2020-11-08,52
2020-11-15,53
2020-11-22,66
2020-11-29,57
2020-12-06,60
2020-12-13,49
2020-12-20,52
2020-12-27,55
2021-01-03,54
2021-01-10,57
2021-01-17,54
2021-01-24,48
2021-01-31,47
2021-02-07,50
2021-02-14,49
2021-02-21,50
2021-02-28,53
2021-03-07,70
2021-03-14,96
2021-03-21,72
2021-03-28,42
2021-04-04,45
2021-04-11,41
2021-04-18,43
2021-04-25,40
2021-05-02,41
2021-05-09,41
2021-05-16,41
2021-05-23,42
2021-05-30,62
2021-06-06,70
2021-06-13,66
2021-06-20,50
2021-06-27,49
2021-07-04,60
2021-07-11,70
2021-07-18,69
2021-07-25,54
2021-08-01,51
2021-08-08,61
2021-08-15,70
2021-08-22,65
2021-08-29,54
2021-09-05,47
2021-09-12,53
2021-09-19,58
2021-09-26,55
2021-10-03,57
2021-10-10,42
2021-10-17,49
2021-10-24,50
2021-10-31,40
2021-11-07,50
2021-11-14,53
2021-11-21,59
2021-11-28,83
2021-12-05,54
2021-12-12,64
2021-12-19,58
2021-12-26,51
2022-01-02,54
2022-01-09,48
2022-01-16,46
2022-01-23,48
2022-01-30,49
2022-02-06,48
2022-02-13,49
2022-02-20,51
2022-02-27,53
2022-03-06,53
2022-03-13,67
2022-03-20,81
2022-03-27,57
2022-04-03,49
2022-04-10,48
2022-04-17,46
2022-04-24,49
2022-05-01,54
2022-05-08,53
2022-05-15,52
2022-05-22,65
2022-05-29,52
2022-06-05,48
2022-06-12,46
2022-06-19,50
2022-06-26,57
2022-07-03,52
2022-07-10,50
2022-07-17,52
2022-07-24,50
2022-07-31,72
2022-08-07,47
2022-08-14,46
2022-08-21,55
2022-08-28,50
2022-09-04,50
2022-09-11,54
2022-09-18,57
2022-09-25,52
2022-10-02,55
2022-10-09,58
2022-10-16,57
2022-10-23,50
2022-10-30,62
2022-11-06,56
2022-11-13,60
2022-11-20,64
2022-11-27,60
2022-12-04,58
2022-12-11,50
2022-12-18,54
2022-12-25,54
2023-01-01,62
2023-01-08,47
2023-01-15,47
2023-01-22,50
2023-01-29,50
2023-02-05,49
2023-02-12,52
2023-02-19,64
2023-02-26,65
2023-03-05,57
2023-03-12,50
2023-03-19,49
2023-03-26,49
2023-04-02,51
2023-04-09,49
2023-04-16,50
2023-04-23,53
2023-04-30,63
2023-05-07,65
2023-05-14,55
2023-05-21,48
2023-05-28,49
2023-06-04,47
2023-06-11,48
2023-06-18,54
2023-06-25,53
2023-07-02,56
2023-07-09,59
2023-07-16,55
2023-07-23,53
2023-07-30,55
2023-08-06,53
2023-08-13,53
2023-08-20,56
2023-08-27,50
2023-09-03,47
2023-09-10,49
2023-09-17,55
2023-09-24,50
2023-10-01,55
2023-10-08,53
2023-10-15,55
2023-10-22,45
2023-10-29,51
2023-11-05,49
2023-11-12,48
2023-11-19,45
2023-11-26,56
2023-12-03,50
2023-12-10,64
2023-12-17,52
2023-12-24,46
2023-12-31,44
2024-01-07,44
