,Gifts & Special Event Items
2014-12-28,43
2015-01-04,29
2015-01-11,34
2015-01-18,31
2015-01-25,30
2015-02-01,44
2015-02-08,41
2015-02-15,33
2015-02-22,32
2015-03-01,33
2015-03-08,30
2015-03-15,39
2015-03-22,31
2015-03-29,32
2015-04-05,31
2015-04-12,34
2015-04-19,30
2015-04-26,31
2015-05-03,39
2015-05-10,41
2015-05-17,30
2015-05-24,29
2015-05-31,30
2015-06-07,30
2015-06-14,34
2015-06-21,43
2015-06-28,41
2015-07-05,40
2015-07-12,49
2015-07-19,41
2015-07-26,46
2015-08-02,46
2015-08-09,45
2015-08-16,47
2015-08-23,60
2015-08-30,56
2015-09-06,41
2015-09-13,45
2015-09-20,43
2015-09-27,41
2015-10-04,41
2015-10-11,48
2015-10-18,66
2015-10-25,44
2015-11-01,45
2015-11-08,60
2015-11-15,37
2015-11-22,37
2015-11-29,38
2015-12-06,41
2015-12-13,40
2015-12-20,47
2015-12-27,50
2016-01-03,36
2016-01-10,38
2016-01-17,35
2016-01-24,37
2016-01-31,44
2016-02-07,62
2016-02-14,39
2016-02-21,35
2016-02-28,34
2016-03-06,39
2016-03-13,36
2016-03-20,38
2016-03-27,34
2016-04-03,47
2016-04-10,44
2016-04-17,34
2016-04-24,35
2016-05-01,48
2016-05-08,50
2016-05-15,36
2016-05-22,35
2016-05-29,38
2016-06-05,39
2016-06-12,44
2016-06-19,49
2016-06-26,40
2016-07-03,47
2016-07-10,39
2016-07-17,44
2016-07-24,46
2016-07-31,49
2016-08-07,51
2016-08-14,57
2016-08-21,53
2016-08-28,50
2016-09-04,52
2016-09-11,49
2016-09-18,42
2016-09-25,50
2016-10-02,47
2016-10-09,73
2016-10-16,49
2016-10-23,66
2016-10-30,57
2016-11-06,40
2016-11-13,42
2016-11-20,44
2016-11-27,47
2016-12-04,46
2016-12-11,48
2016-12-18,55
2016-12-25,61
2017-01-01,50
2017-01-08,46
2017-01-15,43
2017-01-22,45
2017-01-29,47
2017-02-05,68
2017-02-12,54
2017-02-19,46
2017-02-26,43
2017-03-05,46
2017-03-12,44
2017-03-19,43
2017-03-26,58
2017-04-02,41
2017-04-09,51
2017-04-16,42
2017-04-23,43
2017-04-30,44
2017-05-07,56
2017-05-14,63
2017-05-21,44
2017-05-28,43
2017-06-04,44
2017-06-11,50
2017-06-18,62
2017-06-25,46
2017-07-02,48
2017-07-09,49
2017-07-16,51
2017-07-23,51
2017-07-30,62
2017-08-06,64
2017-08-13,54
2017-08-20,54
2017-08-27,49
2017-09-03,58
2017-09-10,44
2017-09-17,55
2017-09-24,88
2017-10-01,50
2017-10-08,51
2017-10-15,78
2017-10-22,44
2017-10-29,49
2017-11-05,46
2017-11-12,46
2017-11-19,45
2017-11-26,46
2017-12-03,46
2017-12-10,47
2017-12-17,54
2017-12-24,57
2017-12-31,52
2018-01-07,48
2018-01-14,46
2018-01-21,47
2018-01-28,46
2018-02-04,73
2018-02-11,61
2018-02-18,46
2018-02-25,48
2018-03-04,46
2018-03-11,53
2018-03-18,55
2018-03-25,48
2018-04-01,43
2018-04-08,48
2018-04-15,47
2018-04-22,43
2018-04-29,46
2018-05-06,63
2018-05-13,70
2018-05-20,45
2018-05-27,45
2018-06-03,44
2018-06-10,53
2018-06-17,64
2018-06-24,46
2018-07-01,48
2018-07-08,48
2018-07-15,47
2018-07-22,51
2018-07-29,54
2018-08-05,56
2018-08-12,61
2018-08-19,70
2018-08-26,71
2018-09-02,77
2018-09-09,67
2018-09-16,55
2018-09-23,53
2018-09-30,56
2018-10-07,71
2018-10-14,100
2018-10-21,65
2018-10-28,66
2018-11-04,87
2018-11-11,58
2018-11-18,59
2018-11-25,55
2018-12-02,59
2018-12-09,58
2018-12-16,62
2018-12-23,67
2018-12-30,66
2019-01-06,55
2019-01-13,52
2019-01-20,55
2019-01-27,58
2019-02-03,80
2019-02-10,66
2019-02-17,53
2019-02-24,51
2019-03-03,60
2019-03-10,52
2019-03-17,54
2019-03-24,47
2019-03-31,67
2019-04-07,49
2019-04-14,57
2019-04-21,44
2019-04-28,52
2019-05-05,81
2019-05-12,71
2019-05-19,49
2019-05-26,51
2019-06-02,50
2019-06-09,58
2019-06-16,62
2019-06-23,49
2019-06-30,49
2019-07-07,48
2019-07-14,54
2019-07-21,51
2019-07-28,56
2019-08-04,60
2019-08-11,72
2019-08-18,68
2019-08-25,57
2019-09-01,72
2019-09-08,59
2019-09-15,51
2019-09-22,54
2019-09-29,63
2019-10-06,91
2019-10-13,57
2019-10-20,72
2019-10-27,67
2019-11-03,51
2019-11-10,59
2019-11-17,50
2019-11-24,47
2019-12-01,49
2019-12-08,49
2019-12-15,53
2019-12-22,58
2019-12-29,59
2020-01-05,43
