,Home Appliances
2018-12-30,26
2019-01-06,25
2019-01-13,23
2019-01-20,27
2019-01-27,24
2019-02-03,23
2019-02-10,25
2019-02-17,26
2019-02-24,25
2019-03-03,25
2019-03-10,26
2019-03-17,28
2019-03-24,29
2019-03-31,29
2019-04-07,27
2019-04-14,27
2019-04-21,26
2019-04-28,27
2019-05-05,28
2019-05-12,27
2019-05-19,29
2019-05-26,29
2019-06-02,36
2019-06-09,28
2019-06-16,56
2019-06-23,37
2019-06-30,32
2019-07-07,26
2019-07-14,29
2019-07-21,28
2019-07-28,27
2019-08-04,26
2019-08-11,26
2019-08-18,27
2019-08-25,26
2019-09-01,24
2019-09-08,26
2019-09-15,25
2019-09-22,27
2019-09-29,33
2019-10-06,28
2019-10-13,31
2019-10-20,34
2019-10-27,25
2019-11-03,27
2019-11-10,27
2019-11-17,25
2019-11-24,24
2019-12-01,23
2019-12-08,22
2019-12-15,23
2019-12-22,25
2019-12-29,26
2020-01-05,23
2020-01-12,23
2020-01-19,25
2020-01-26,24
2020-02-02,22
2020-02-09,23
2020-02-16,23
2020-02-23,24
2020-03-01,24
2020-03-08,22
2020-03-15,23
2020-03-22,17
2020-03-29,15
2020-04-05,17
2020-04-12,18
2020-04-19,18
2020-04-26,18
2020-05-03,23
2020-05-10,25
2020-05-17,32
2020-05-24,35
2020-05-31,33
2020-06-07,32
2020-06-14,32
2020-06-21,33
2020-06-28,33
2020-07-05,32
2020-07-12,32
2020-07-19,32
2020-07-26,34
2020-08-02,33
2020-08-09,35
2020-08-16,33
2020-08-23,31
2020-08-30,33
2020-09-06,30
2020-09-13,29
2020-09-20,30
2020-09-27,30
2020-10-04,30
2020-10-11,36
2020-10-18,38
2020-10-25,34
2020-11-01,32
2020-11-08,35
2020-11-15,30
2020-11-22,27
2020-11-29,25
2020-12-06,27
2020-12-13,27
2020-12-20,29
2020-12-27,30
2021-01-03,28
2021-01-10,25
2021-01-17,29
2021-01-24,27
2021-01-31,25
2021-02-07,26
2021-02-14,25
2021-02-21,27
2021-02-28,26
2021-03-07,26
2021-03-14,28
2021-03-21,26
2021-03-28,27
2021-04-04,28
2021-04-11,26
2021-04-18,25
2021-04-25,25
2021-05-02,26
2021-05-09,25
2021-05-16,26
2021-05-23,26
2021-05-30,29
2021-06-06,29
2021-06-13,29
2021-06-20,29
2021-06-27,29
2021-07-04,29
2021-07-11,30
2021-07-18,29
2021-07-25,30
2021-08-01,28
2021-08-08,29
2021-08-15,28
2021-08-22,25
2021-08-29,26
2021-09-05,25
2021-09-12,25
2021-09-19,25
2021-09-26,26
2021-10-03,29
2021-10-10,25
2021-10-17,29
2021-10-24,43
2021-10-31,70
2021-11-07,24
2021-11-14,23
2021-11-21,23
2021-11-28,23
2021-12-05,22
2021-12-12,22
2021-12-19,26
2021-12-26,25
2022-01-02,27
2022-01-09,25
2022-01-16,26
2022-01-23,27
2022-01-30,26
2022-02-06,25
2022-02-13,27
2022-02-20,28
2022-02-27,29
2022-03-06,27
2022-03-13,28
2022-03-20,31
2022-03-27,31
2022-04-03,30
2022-04-10,31
2022-04-17,29
2022-04-24,31
2022-05-01,30
2022-05-08,30
2022-05-15,29
2022-05-22,29
2022-05-29,29
2022-06-05,31
2022-06-12,31
2022-06-19,29
2022-06-26,29
2022-07-03,31
2022-07-10,31
2022-07-17,31
2022-07-24,28
2022-07-31,30
2022-08-07,32
2022-08-14,32
2022-08-21,34
2022-08-28,34
2022-09-04,84
2022-09-11,31
2022-09-18,33
2022-09-25,33
2022-10-02,31
2022-10-09,33
2022-10-16,43
2022-10-23,31
2022-10-30,31
2022-11-06,26
2022-11-13,28
2022-11-20,28
2022-11-27,30
2022-12-04,27
2022-12-11,29
2022-12-18,29
2022-12-25,31
2023-01-01,28
2023-01-08,28
2023-01-15,29
2023-01-22,29
2023-01-29,29
2023-02-05,30
2023-02-12,28
2023-02-19,30
2023-02-26,32
2023-03-05,28
2023-03-12,29
2023-03-19,32
2023-03-26,36
2023-04-02,30
2023-04-09,29
2023-04-16,32
2023-04-23,29
2023-04-30,29
2023-05-07,30
2023-05-14,31
2023-05-21,32
2023-05-28,33
2023-06-04,35
2023-06-11,33
2023-06-18,33
2023-06-25,32
2023-07-02,33
2023-07-09,31
2023-07-16,32
2023-07-23,30
2023-07-30,32
2023-08-06,32
2023-08-13,32
2023-08-20,49
2023-08-27,32
2023-09-03,39
2023-09-10,29
2023-09-17,28
2023-09-24,30
2023-10-01,42
2023-10-08,100
2023-10-15,54
2023-10-22,70
2023-10-29,63
2023-11-05,54
2023-11-12,31
2023-11-19,30
2023-11-26,29
2023-12-03,29
2023-12-10,30
2023-12-17,30
2023-12-24,33
2023-12-31,34
2024-01-07,84
