,Investing
2014-12-28,34
2015-01-04,34
2015-01-11,33
2015-01-18,33
2015-01-25,31
2015-02-01,34
2015-02-08,33
2015-02-15,33
2015-02-22,35
2015-03-01,32
2015-03-08,32
2015-03-15,35
2015-03-22,32
2015-03-29,28
2015-04-05,34
2015-04-12,31
2015-04-19,32
2015-04-26,28
2015-05-03,30
2015-05-10,30
2015-05-17,29
2015-05-24,27
2015-05-31,30
2015-06-07,29
2015-06-14,27
2015-06-21,33
2015-06-28,35
2015-07-05,41
2015-07-12,40
2015-07-19,54
2015-07-26,51
2015-08-02,51
2015-08-09,46
2015-08-16,46
2015-08-23,53
2015-08-30,42
2015-09-06,41
2015-09-13,36
2015-09-20,35
2015-09-27,34
2015-10-04,40
2015-10-11,38
2015-10-18,32
2015-10-25,36
2015-11-01,36
2015-11-08,32
2015-11-15,37
2015-11-22,34
2015-11-29,37
2015-12-06,35
2015-12-13,35
2015-12-20,35
2015-12-27,37
2016-01-03,40
2016-01-10,39
2016-01-17,41
2016-01-24,33
2016-01-31,39
2016-02-07,42
2016-02-14,41
2016-02-21,38
2016-02-28,41
2016-03-06,36
2016-03-13,37
2016-03-20,29
2016-03-27,36
2016-04-03,35
2016-04-10,31
2016-04-17,34
2016-04-24,37
2016-05-01,35
2016-05-08,38
2016-05-15,35
2016-05-22,42
2016-05-29,40
2016-06-05,39
2016-06-12,38
2016-06-19,45
2016-06-26,45
2016-07-03,42
2016-07-10,47
2016-07-17,48
2016-07-24,47
2016-07-31,46
2016-08-07,44
2016-08-14,37
2016-08-21,42
2016-08-28,45
2016-09-04,43
2016-09-11,41
2016-09-18,44
2016-09-25,44
2016-10-02,43
2016-10-09,37
2016-10-16,47
2016-10-23,44
2016-10-30,40
2016-11-06,60
2016-11-13,40
2016-11-20,45
2016-11-27,46
2016-12-04,43
2016-12-11,44
2016-12-18,42
2016-12-25,44
2017-01-01,47
2017-01-08,43
2017-01-15,43
2017-01-22,41
2017-01-29,48
2017-02-05,48
2017-02-12,46
2017-02-19,42
2017-02-26,45
2017-03-05,42
2017-03-12,45
2017-03-19,52
2017-03-26,50
2017-04-02,50
2017-04-09,47
2017-04-16,50
2017-04-23,53
2017-04-30,47
2017-05-07,51
2017-05-14,54
2017-05-21,53
2017-05-28,52
2017-06-04,54
2017-06-11,54
2017-06-18,56
2017-06-25,50
2017-07-02,61
2017-07-09,69
2017-07-16,64
2017-07-23,59
2017-07-30,63
2017-08-06,60
2017-08-13,56
2017-08-20,57
2017-08-27,57
2017-09-03,62
2017-09-10,64
2017-09-17,63
2017-09-24,59
2017-10-01,56
2017-10-08,65
2017-10-15,54
2017-10-22,69
2017-10-29,71
2017-11-05,71
2017-11-12,68
2017-11-19,65
2017-11-26,69
2017-12-03,66
2017-12-10,72
2017-12-17,76
2017-12-24,76
2017-12-31,80
2018-01-07,80
2018-01-14,80
2018-01-21,72
2018-01-28,79
2018-02-04,82
2018-02-11,73
2018-02-18,70
2018-02-25,60
2018-03-04,67
2018-03-11,70
2018-03-18,72
2018-03-25,63
2018-04-01,68
2018-04-08,68
2018-04-15,70
2018-04-22,66
2018-04-29,64
2018-05-06,67
2018-05-13,66
2018-05-20,69
2018-05-27,69
2018-06-03,64
2018-06-10,69
2018-06-17,65
2018-06-24,63
2018-07-01,66
2018-07-08,71
2018-07-15,69
2018-07-22,79
2018-07-29,82
2018-08-05,81
2018-08-12,72
2018-08-19,74
2018-08-26,81
2018-09-02,78
2018-09-09,68
2018-09-16,68
2018-09-23,80
2018-09-30,74
2018-10-07,89
2018-10-14,68
2018-10-21,74
2018-10-28,84
2018-11-04,66
2018-11-11,74
2018-11-18,67
2018-11-25,73
2018-12-02,76
2018-12-09,73
2018-12-16,79
2018-12-23,71
2018-12-30,72
2019-01-06,69
2019-01-13,67
2019-01-20,67
2019-01-27,72
2019-02-03,76
2019-02-10,73
2019-02-17,70
2019-02-24,72
2019-03-03,74
2019-03-10,80
2019-03-17,76
2019-03-24,77
2019-03-31,79
2019-04-07,71
2019-04-14,65
2019-04-21,68
2019-04-28,61
2019-05-05,72
2019-05-12,70
2019-05-19,78
2019-05-26,78
2019-06-02,71
2019-06-09,71
2019-06-16,69
2019-06-23,73
2019-06-30,76
2019-07-07,75
2019-07-14,78
2019-07-21,83
2019-07-28,82
2019-08-04,84
2019-08-11,74
2019-08-18,88
2019-08-25,91
2019-09-01,84
2019-09-08,88
2019-09-15,100
2019-09-22,99
2019-09-29,87
2019-10-06,81
2019-10-13,90
2019-10-20,93
2019-10-27,80
2019-11-03,93
2019-11-10,88
2019-11-17,92
2019-11-24,86
2019-12-01,84
2019-12-08,93
2019-12-15,83
2019-12-22,75
2019-12-29,82
2020-01-05,99
