,Industrial Materials & Equipment
2018-12-30,31
2019-01-06,37
2019-01-13,31
2019-01-20,36
2019-01-27,37
2019-02-03,34
2019-02-10,40
2019-02-17,37
2019-02-24,36
2019-03-03,38
2019-03-10,37
2019-03-17,38
2019-03-24,44
2019-03-31,45
2019-04-07,31
2019-04-14,25
2019-04-21,33
2019-04-28,28
2019-05-05,28
2019-05-12,28
2019-05-19,31
2019-05-26,36
2019-06-02,37
2019-06-09,37
2019-06-16,38
2019-06-23,40
2019-06-30,37
2019-07-07,36
2019-07-14,32
2019-07-21,36
2019-07-28,40
2019-08-04,37
2019-08-11,33
2019-08-18,37
2019-08-25,32
2019-09-01,35
2019-09-08,31
2019-09-15,31
2019-09-22,35
2019-09-29,35
2019-10-06,34
2019-10-13,28
2019-10-20,29
2019-10-27,31
2019-11-03,28
2019-11-10,23
2019-11-17,28
2019-11-24,30
2019-12-01,30
2019-12-08,28
2019-12-15,30
2019-12-22,26
2019-12-29,28
2020-01-05,27
2020-01-12,26
2020-01-19,29
2020-01-26,32
2020-02-02,29
2020-02-09,32
2020-02-16,32
2020-02-23,34
2020-03-01,31
2020-03-08,23
2020-03-15,19
2020-03-22,19
2020-03-29,17
2020-04-05,18
2020-04-12,18
2020-04-19,17
2020-04-26,24
2020-05-03,24
2020-05-10,23
2020-05-17,24
2020-05-24,28
2020-05-31,30
2020-06-07,28
2020-06-14,30
2020-06-21,33
2020-06-28,30
2020-07-05,31
2020-07-12,32
2020-07-19,33
2020-07-26,34
2020-08-02,25
2020-08-09,33
2020-08-16,39
2020-08-23,32
2020-08-30,31
2020-09-06,31
2020-09-13,35
2020-09-20,34
2020-09-27,31
2020-10-04,31
2020-10-11,29
2020-10-18,26
2020-10-25,26
2020-11-01,25
2020-11-08,28
2020-11-15,30
2020-11-22,32
2020-11-29,38
2020-12-06,32
2020-12-13,34
2020-12-20,29
2020-12-27,27
2021-01-03,32
2021-01-10,28
2021-01-17,35
2021-01-24,32
2021-01-31,30
2021-02-07,31
2021-02-14,36
2021-02-21,33
2021-02-28,34
2021-03-07,34
2021-03-14,35
2021-03-21,34
2021-03-28,38
2021-04-04,32
2021-04-11,22
2021-04-18,33
2021-04-25,34
2021-05-02,34
2021-05-09,33
2021-05-16,34
2021-05-23,32
2021-05-30,32
2021-06-06,34
2021-06-13,34
2021-06-20,38
2021-06-27,39
2021-07-04,39
2021-07-11,40
2021-07-18,41
2021-07-25,39
2021-08-01,39
2021-08-08,37
2021-08-15,36
2021-08-22,32
2021-08-29,35
2021-09-05,35
2021-09-12,38
2021-09-19,37
2021-09-26,36
2021-10-03,38
2021-10-10,38
2021-10-17,36
2021-10-24,39
2021-10-31,38
2021-11-07,37
2021-11-14,35
2021-11-21,40
2021-11-28,44
2021-12-05,37
2021-12-12,37
2021-12-19,33
2021-12-26,32
2022-01-02,47
2022-01-09,45
2022-01-16,42
2022-01-23,49
2022-01-30,43
2022-02-06,49
2022-02-13,47
2022-02-20,63
2022-02-27,69
2022-03-06,65
2022-03-13,62
2022-03-20,68
2022-03-27,100
2022-04-03,75
2022-04-10,44
2022-04-17,63
2022-04-24,66
2022-05-01,60
2022-05-08,61
2022-05-15,64
2022-05-22,59
2022-05-29,57
2022-06-05,56
2022-06-12,57
2022-06-19,66
2022-06-26,59
2022-07-03,58
2022-07-10,58
2022-07-17,65
2022-07-24,61
2022-07-31,57
2022-08-07,52
2022-08-14,63
2022-08-21,67
2022-08-28,60
2022-09-04,46
2022-09-11,47
2022-09-18,57
2022-09-25,62
2022-10-02,52
2022-10-09,53
2022-10-16,54
2022-10-23,51
2022-10-30,45
2022-11-06,42
2022-11-13,49
2022-11-20,43
2022-11-27,48
2022-12-04,46
2022-12-11,46
2022-12-18,46
2022-12-25,44
2023-01-01,44
2023-01-08,49
2023-01-15,46
2023-01-22,46
2023-01-29,47
2023-02-05,44
2023-02-12,43
2023-02-19,42
2023-02-26,39
2023-03-05,39
2023-03-12,39
2023-03-19,40
2023-03-26,38
2023-04-02,37
2023-04-09,28
2023-04-16,33
2023-04-23,37
2023-04-30,33
2023-05-07,40
2023-05-14,43
2023-05-21,43
2023-05-28,40
2023-06-04,44
2023-06-11,43
2023-06-18,47
2023-06-25,42
2023-07-02,44
2023-07-09,46
2023-07-16,46
2023-07-23,45
2023-07-30,47
2023-08-06,46
2023-08-13,44
2023-08-20,44
2023-08-27,43
2023-09-03,44
2023-09-10,45
2023-09-17,42
2023-09-24,41
2023-10-01,44
2023-10-08,44
2023-10-15,49
2023-10-22,62
2023-10-29,48
2023-11-05,47
2023-11-12,45
2023-11-19,45
2023-11-26,45
2023-12-03,50
2023-12-10,46
2023-12-17,43
2023-12-24,42
2023-12-31,48
2024-01-07,52
