,Insurance
2018-12-30,66
2019-01-06,78
2019-01-13,84
2019-01-20,81
2019-01-27,70
2019-02-03,77
2019-02-10,76
2019-02-17,70
2019-02-24,93
2019-03-03,72
2019-03-10,66
2019-03-17,77
2019-03-24,51
2019-03-31,68
2019-04-07,61
2019-04-14,59
2019-04-21,64
2019-04-28,77
2019-05-05,48
2019-05-12,64
2019-05-19,56
2019-05-26,56
2019-06-02,43
2019-06-09,73
2019-06-16,72
2019-06-23,79
2019-06-30,71
2019-07-07,94
2019-07-14,82
2019-07-21,72
2019-07-28,60
2019-08-04,55
2019-08-11,52
2019-08-18,54
2019-08-25,65
2019-09-01,93
2019-09-08,68
2019-09-15,81
2019-09-22,74
2019-09-29,64
2019-10-06,81
2019-10-13,76
2019-10-20,52
2019-10-27,55
2019-11-03,58
2019-11-10,68
2019-11-17,55
2019-11-24,48
2019-12-01,66
2019-12-08,54
2019-12-15,59
2019-12-22,58
2019-12-29,58
2020-01-05,71
2020-01-12,53
2020-01-19,57
2020-01-26,58
2020-02-02,72
2020-02-09,63
2020-02-16,45
2020-02-23,70
2020-03-01,78
2020-03-08,69
2020-03-15,59
2020-03-22,44
2020-03-29,38
2020-04-05,39
2020-04-12,32
2020-04-19,29
2020-04-26,33
2020-05-03,15
2020-05-10,25
2020-05-17,30
2020-05-24,32
2020-05-31,18
2020-06-07,27
2020-06-14,45
2020-06-21,48
2020-06-28,37
2020-07-05,49
2020-07-12,42
2020-07-19,54
2020-07-26,51
2020-08-02,27
2020-08-09,36
2020-08-16,52
2020-08-23,38
2020-08-30,31
2020-09-06,17
2020-09-13,46
2020-09-20,41
2020-09-27,44
2020-10-04,37
2020-10-11,34
2020-10-18,30
2020-10-25,32
2020-11-01,25
2020-11-08,38
2020-11-15,28
2020-11-22,51
2020-11-29,56
2020-12-06,48
2020-12-13,29
2020-12-20,33
2020-12-27,39
2021-01-03,33
2021-01-10,46
2021-01-17,51
2021-01-24,54
2021-01-31,53
2021-02-07,58
2021-02-14,57
2021-02-21,46
2021-02-28,60
2021-03-07,48
2021-03-14,58
2021-03-21,53
2021-03-28,65
2021-04-04,60
2021-04-11,58
2021-04-18,66
2021-04-25,55
2021-05-02,43
2021-05-09,53
2021-05-16,42
2021-05-23,31
2021-05-30,50
2021-06-06,60
2021-06-13,59
2021-06-20,63
2021-06-27,48
2021-07-04,48
2021-07-11,48
2021-07-18,41
2021-07-25,62
2021-08-01,63
2021-08-08,68
2021-08-15,73
2021-08-22,70
2021-08-29,78
2021-09-05,79
2021-09-12,66
2021-09-19,59
2021-09-26,60
2021-10-03,57
2021-10-10,61
2021-10-17,43
2021-10-24,62
2021-10-31,84
2021-11-07,63
2021-11-14,90
2021-11-21,65
2021-11-28,75
2021-12-05,93
2021-12-12,82
2021-12-19,81
2021-12-26,85
2022-01-02,78
2022-01-09,71
2022-01-16,67
2022-01-23,77
2022-01-30,61
2022-02-06,100
2022-02-13,75
2022-02-20,61
2022-02-27,65
2022-03-06,70
2022-03-13,75
2022-03-20,62
2022-03-27,51
2022-04-03,73
2022-04-10,68
2022-04-17,73
2022-04-24,86
2022-05-01,55
2022-05-08,65
2022-05-15,69
2022-05-22,69
2022-05-29,58
2022-06-05,60
2022-06-12,69
2022-06-19,72
2022-06-26,60
2022-07-03,48
2022-07-10,70
2022-07-17,53
2022-07-24,52
2022-07-31,51
2022-08-07,62
2022-08-14,71
2022-08-21,47
2022-08-28,62
2022-09-04,50
2022-09-11,67
2022-09-18,62
2022-09-25,56
2022-10-02,58
2022-10-09,65
2022-10-16,68
2022-10-23,50
2022-10-30,62
2022-11-06,55
2022-11-13,58
2022-11-20,72
2022-11-27,50
2022-12-04,70
2022-12-11,62
2022-12-18,39
2022-12-25,61
2023-01-01,69
2023-01-08,58
2023-01-15,80
2023-01-22,59
2023-01-29,67
2023-02-05,58
2023-02-12,48
2023-02-19,52
2023-02-26,81
2023-03-05,48
2023-03-12,65
2023-03-19,51
2023-03-26,72
2023-04-02,49
2023-04-09,54
2023-04-16,50
2023-04-23,61
2023-04-30,47
2023-05-07,49
2023-05-14,55
2023-05-21,56
2023-05-28,69
2023-06-04,48
2023-06-11,57
2023-06-18,54
2023-06-25,27
2023-07-02,54
2023-07-09,72
2023-07-16,58
2023-07-23,62
2023-07-30,60
2023-08-06,79
2023-08-13,53
2023-08-20,47
2023-08-27,62
2023-09-03,89
2023-09-10,55
2023-09-17,60
2023-09-24,47
2023-10-01,55
2023-10-08,62
2023-10-15,53
2023-10-22,38
2023-10-29,57
2023-11-05,66
2023-11-12,58
2023-11-19,52
2023-11-26,47
2023-12-03,75
2023-12-10,70
2023-12-17,72
2023-12-24,58
2023-12-31,65
2024-01-07,81
