,Internet & Telecom
2014-12-28,92
2015-01-04,84
2015-01-11,85
2015-01-18,90
2015-01-25,96
2015-02-01,100
2015-02-08,97
2015-02-15,92
2015-02-22,90
2015-03-01,90
2015-03-08,89
2015-03-15,89
2015-03-22,81
2015-03-29,96
2015-04-05,100
2015-04-12,87
2015-04-19,88
2015-04-26,85
2015-05-03,92
2015-05-10,86
2015-05-17,82
2015-05-24,85
2015-05-31,79
2015-06-07,78
2015-06-14,69
2015-06-21,79
2015-06-28,86
2015-07-05,91
2015-07-12,92
2015-07-19,87
2015-07-26,87
2015-08-02,99
2015-08-09,99
2015-08-16,93
2015-08-23,91
2015-08-30,95
2015-09-06,99
2015-09-13,87
2015-09-20,73
2015-09-27,96
2015-10-04,95
2015-10-11,90
2015-10-18,86
2015-10-25,90
2015-11-01,94
2015-11-08,93
2015-11-15,84
2015-11-22,83
2015-11-29,82
2015-12-06,80
2015-12-13,78
2015-12-20,83
2015-12-27,89
2016-01-03,81
2016-01-10,90
2016-01-17,82
2016-01-24,85
2016-01-31,85
2016-02-07,90
2016-02-14,83
2016-02-21,76
2016-02-28,83
2016-03-06,87
2016-03-13,84
2016-03-20,86
2016-03-27,88
2016-04-03,81
2016-04-10,87
2016-04-17,83
2016-04-24,78
2016-05-01,85
2016-05-08,86
2016-05-15,88
2016-05-22,88
2016-05-29,79
2016-06-05,73
2016-06-12,79
2016-06-19,75
2016-06-26,80
2016-07-03,84
2016-07-10,95
2016-07-17,97
2016-07-24,86
2016-07-31,88
2016-08-07,65
2016-08-14,89
2016-08-21,93
2016-08-28,60
2016-09-04,99
2016-09-11,79
2016-09-18,45
2016-09-25,29
2016-10-02,30
2016-10-09,32
2016-10-16,30
2016-10-23,27
2016-10-30,31
2016-11-06,31
2016-11-13,33
2016-11-20,33
2016-11-27,28
2016-12-04,29
2016-12-11,27
2016-12-18,29
2016-12-25,29
2017-01-01,28
2017-01-08,34
2017-01-15,34
2017-01-22,30
2017-01-29,43
2017-02-05,77
2017-02-12,70
2017-02-19,72
2017-02-26,74
2017-03-05,77
2017-03-12,78
2017-03-19,75
2017-03-26,84
2017-04-02,81
2017-04-09,85
2017-04-16,73
2017-04-23,74
2017-04-30,74
2017-05-07,70
2017-05-14,64
2017-05-21,67
2017-05-28,60
2017-06-04,60
2017-06-11,62
2017-06-18,60
2017-06-25,53
2017-07-02,69
2017-07-09,67
2017-07-16,67
2017-07-23,62
2017-07-30,66
2017-08-06,63
2017-08-13,71
2017-08-20,67
2017-08-27,58
2017-09-03,55
2017-09-10,77
2017-09-17,65
2017-09-24,61
2017-10-01,64
2017-10-08,65
2017-10-15,62
2017-10-22,62
2017-10-29,66
2017-11-05,68
2017-11-12,68
2017-11-19,65
2017-11-26,69
2017-12-03,69
2017-12-10,62
2017-12-17,64
2017-12-24,72
2017-12-31,64
2018-01-07,63
2018-01-14,62
2018-01-21,64
2018-01-28,69
2018-02-04,74
2018-02-11,76
2018-02-18,73
2018-02-25,72
2018-03-04,65
2018-03-11,72
2018-03-18,71
2018-03-25,77
2018-04-01,73
2018-04-08,66
2018-04-15,74
2018-04-22,64
2018-04-29,74
2018-05-06,69
2018-05-13,56
2018-05-20,64
2018-05-27,62
2018-06-03,62
2018-06-10,60
2018-06-17,62
2018-06-24,68
2018-07-01,65
2018-07-08,64
2018-07-15,69
2018-07-22,62
2018-07-29,69
2018-08-05,65
2018-08-12,70
2018-08-19,56
2018-08-26,63
2018-09-02,65
2018-09-09,67
2018-09-16,63
2018-09-23,63
2018-09-30,73
2018-10-07,69
2018-10-14,65
2018-10-21,67
2018-10-28,69
2018-11-04,61
2018-11-11,59
2018-11-18,60
2018-11-25,61
2018-12-02,61
2018-12-09,61
2018-12-16,59
2018-12-23,65
2018-12-30,64
2019-01-06,66
2019-01-13,57
2019-01-20,62
2019-01-27,65
2019-02-03,66
2019-02-10,64
2019-02-17,74
2019-02-24,69
2019-03-03,60
2019-03-10,59
2019-03-17,70
2019-03-24,64
2019-03-31,64
2019-04-07,62
2019-04-14,65
2019-04-21,63
2019-04-28,63
2019-05-05,53
2019-05-12,54
2019-05-19,59
2019-05-26,56
2019-06-02,53
2019-06-09,63
2019-06-16,62
2019-06-23,60
2019-06-30,60
2019-07-07,57
2019-07-14,65
2019-07-21,60
2019-07-28,61
2019-08-04,64
2019-08-11,54
2019-08-18,62
2019-08-25,65
2019-09-01,60
2019-09-08,77
2019-09-15,67
2019-09-22,61
2019-09-29,69
2019-10-06,70
2019-10-13,70
2019-10-20,65
2019-10-27,67
2019-11-03,62
2019-11-10,60
2019-11-17,61
2019-11-24,65
2019-12-01,64
2019-12-08,65
2019-12-15,64
2019-12-22,69
2019-12-29,71
2020-01-05,64
