,Job
2018-12-30,80
2019-01-06,85
2019-01-13,81
2019-01-20,81
2019-01-27,77
2019-02-03,73
2019-02-10,73
2019-02-17,73
2019-02-24,77
2019-03-03,81
2019-03-10,75
2019-03-17,70
2019-03-24,68
2019-03-31,67
2019-04-07,57
2019-04-14,62
2019-04-21,58
2019-04-28,71
2019-05-05,83
2019-05-12,67
2019-05-19,87
2019-05-26,93
2019-06-02,75
2019-06-09,80
2019-06-16,80
2019-06-23,85
2019-06-30,82
2019-07-07,90
2019-07-14,80
2019-07-21,82
2019-07-28,81
2019-08-04,79
2019-08-11,70
2019-08-18,66
2019-08-25,59
2019-09-01,86
2019-09-08,98
2019-09-15,100
2019-09-22,89
2019-09-29,85
2019-10-06,77
2019-10-13,86
2019-10-20,78
2019-10-27,73
2019-11-03,74
2019-11-10,62
2019-11-17,79
2019-11-24,77
2019-12-01,79
2019-12-08,70
2019-12-15,76
2019-12-22,64
2019-12-29,86
2020-01-05,82
2020-01-12,94
2020-01-19,95
2020-01-26,83
2020-02-02,86
2020-02-09,88
2020-02-16,87
2020-02-23,88
2020-03-01,84
2020-03-08,64
2020-03-15,40
2020-03-22,29
2020-03-29,26
2020-04-05,26
2020-04-12,28
2020-04-19,34
2020-04-26,30
2020-05-03,37
2020-05-10,51
2020-05-17,52
2020-05-24,53
2020-05-31,55
2020-06-07,66
2020-06-14,62
2020-06-21,59
2020-06-28,65
2020-07-05,67
2020-07-12,59
2020-07-19,65
2020-07-26,63
2020-08-02,54
2020-08-09,75
2020-08-16,90
2020-08-23,85
2020-08-30,78
2020-09-06,83
2020-09-13,83
2020-09-20,79
2020-09-27,67
2020-10-04,55
2020-10-11,55
2020-10-18,55
2020-10-25,47
2020-11-01,45
2020-11-08,54
2020-11-15,59
2020-11-22,62
2020-11-29,62
2020-12-06,58
2020-12-13,60
2020-12-20,55
2020-12-27,53
2021-01-03,69
2021-01-10,58
2021-01-17,63
2021-01-24,65
2021-01-31,67
2021-02-07,71
2021-02-14,66
2021-02-21,62
2021-02-28,66
2021-03-07,58
2021-03-14,66
2021-03-21,59
2021-03-28,60
2021-04-04,57
2021-04-11,42
2021-04-18,60
2021-04-25,55
2021-05-02,64
2021-05-09,59
2021-05-16,51
2021-05-23,51
2021-05-30,51
2021-06-06,58
2021-06-13,51
2021-06-20,49
2021-06-27,55
2021-07-04,58
2021-07-11,61
2021-07-18,59
2021-07-25,56
2021-08-01,57
2021-08-08,52
2021-08-15,49
2021-08-22,53
2021-08-29,57
2021-09-05,52
2021-09-12,53
2021-09-19,53
2021-09-26,57
2021-10-03,44
2021-10-10,6
2021-10-17,0
2021-10-24,0
2021-10-31,1
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,1
2021-12-05,1
2021-12-12,2
2021-12-19,1
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,1
2022-01-23,2
2022-01-30,1
2022-02-06,2
2022-02-13,2
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,2
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,2
2022-04-24,2
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,1
2022-09-18,1
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,2
2022-11-06,2
2022-11-13,1
2022-11-20,1
2022-11-27,2
2022-12-04,1
2022-12-11,2
2022-12-18,1
2022-12-25,1
2023-01-01,2
2023-01-08,1
2023-01-15,1
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,1
2023-02-19,2
2023-02-26,3
2023-03-05,11
2023-03-12,15
2023-03-19,15
2023-03-26,12
2023-04-02,11
2023-04-09,9
2023-04-16,13
2023-04-23,11
2023-04-30,12
2023-05-07,13
2023-05-14,15
2023-05-21,12
2023-05-28,9
2023-06-04,11
2023-06-11,11
2023-06-18,11
2023-06-25,8
2023-07-02,8
2023-07-09,5
2023-07-16,57
2023-07-23,55
2023-07-30,60
2023-08-06,60
2023-08-13,63
2023-08-20,59
2023-08-27,53
2023-09-03,58
2023-09-10,52
2023-09-17,57
2023-09-24,51
2023-10-01,49
2023-10-08,47
2023-10-15,44
2023-10-22,42
2023-10-29,42
2023-11-05,43
2023-11-12,47
2023-11-19,46
2023-11-26,48
2023-12-03,56
2023-12-10,52
2023-12-17,46
2023-12-24,44
2023-12-31,54
2024-01-07,50
