,jobs
2014-12-28,58
2015-01-04,49
2015-01-11,59
2015-01-18,61
2015-01-25,67
2015-02-01,60
2015-02-08,67
2015-02-15,67
2015-02-22,67
2015-03-01,61
2015-03-08,63
2015-03-15,67
2015-03-22,65
2015-03-29,64
2015-04-05,61
2015-04-12,45
2015-04-19,70
2015-04-26,65
2015-05-03,67
2015-05-10,74
2015-05-17,74
2015-05-24,64
2015-05-31,65
2015-06-07,71
2015-06-14,66
2015-06-21,64
2015-06-28,70
2015-07-05,72
2015-07-12,65
2015-07-19,70
2015-07-26,59
2015-08-02,67
2015-08-09,65
2015-08-16,59
2015-08-23,70
2015-08-30,68
2015-09-06,68
2015-09-13,69
2015-09-20,63
2015-09-27,67
2015-10-04,73
2015-10-11,65
2015-10-18,69
2015-10-25,61
2015-11-01,63
2015-11-08,67
2015-11-15,62
2015-11-22,64
2015-11-29,66
2015-12-06,68
2015-12-13,67
2015-12-20,63
2015-12-27,65
2016-01-03,79
2016-01-10,71
2016-01-17,73
2016-01-24,71
2016-01-31,70
2016-02-07,71
2016-02-14,71
2016-02-21,67
2016-02-28,69
2016-03-06,67
2016-03-13,68
2016-03-20,65
2016-03-27,68
2016-04-03,62
2016-04-10,38
2016-04-17,66
2016-04-24,67
2016-05-01,77
2016-05-08,70
2016-05-15,64
2016-05-22,62
2016-05-29,75
2016-06-05,79
2016-06-12,79
2016-06-19,73
2016-06-26,74
2016-07-03,74
2016-07-10,80
2016-07-17,68
2016-07-24,70
2016-07-31,69
2016-08-07,67
2016-08-14,68
2016-08-21,70
2016-08-28,74
2016-09-04,78
2016-09-11,76
2016-09-18,80
2016-09-25,75
2016-10-02,76
2016-10-09,72
2016-10-16,74
2016-10-23,68
2016-10-30,74
2016-11-06,88
2016-11-13,69
2016-11-20,73
2016-11-27,66
2016-12-04,64
2016-12-11,59
2016-12-18,68
2016-12-25,62
2017-01-01,76
2017-01-08,76
2017-01-15,76
2017-01-22,73
2017-01-29,69
2017-02-05,72
2017-02-12,73
2017-02-19,71
2017-02-26,69
2017-03-05,72
2017-03-12,70
2017-03-19,69
2017-03-26,73
2017-04-02,65
2017-04-09,41
2017-04-16,72
2017-04-23,71
2017-04-30,69
2017-05-07,59
2017-05-14,70
2017-05-21,68
2017-05-28,69
2017-06-04,63
2017-06-11,70
2017-06-18,70
2017-06-25,68
2017-07-02,77
2017-07-09,73
2017-07-16,74
2017-07-23,67
2017-07-30,71
2017-08-06,71
2017-08-13,83
2017-08-20,71
2017-08-27,66
2017-09-03,74
2017-09-10,74
2017-09-17,75
2017-09-24,75
2017-10-01,68
2017-10-08,77
2017-10-15,71
2017-10-22,66
2017-10-29,68
2017-11-05,73
2017-11-12,78
2017-11-19,73
2017-11-26,69
2017-12-03,73
2017-12-10,66
2017-12-17,64
2017-12-24,67
2017-12-31,74
2018-01-07,77
2018-01-14,70
2018-01-21,72
2018-01-28,72
2018-02-04,66
2018-02-11,71
2018-02-18,73
2018-02-25,66
2018-03-04,68
2018-03-11,68
2018-03-18,72
2018-03-25,70
2018-04-01,67
2018-04-08,52
2018-04-15,55
2018-04-22,63
2018-04-29,59
2018-05-06,63
2018-05-13,73
2018-05-20,73
2018-05-27,68
2018-06-03,73
2018-06-10,75
2018-06-17,71
2018-06-24,68
2018-07-01,83
2018-07-08,82
2018-07-15,74
2018-07-22,71
2018-07-29,78
2018-08-05,74
2018-08-12,78
2018-08-19,72
2018-08-26,78
2018-09-02,80
2018-09-09,81
2018-09-16,77
2018-09-23,69
2018-09-30,72
2018-10-07,85
2018-10-14,88
2018-10-21,73
2018-10-28,72
2018-11-04,74
2018-11-11,70
2018-11-18,58
2018-11-25,72
2018-12-02,72
2018-12-09,70
2018-12-16,67
2018-12-23,64
2018-12-30,91
2019-01-06,90
2019-01-13,77
2019-01-20,84
2019-01-27,80
2019-02-03,80
2019-02-10,83
2019-02-17,82
2019-02-24,81
2019-03-03,78
2019-03-10,79
2019-03-17,74
2019-03-24,75
2019-03-31,66
2019-04-07,59
2019-04-14,61
2019-04-21,57
2019-04-28,69
2019-05-05,86
2019-05-12,71
2019-05-19,82
2019-05-26,96
2019-06-02,85
2019-06-09,86
2019-06-16,86
2019-06-23,97
2019-06-30,97
2019-07-07,96
2019-07-14,86
2019-07-21,93
2019-07-28,97
2019-08-04,91
2019-08-11,73
2019-08-18,86
2019-08-25,87
2019-09-01,96
2019-09-08,95
2019-09-15,92
2019-09-22,87
2019-09-29,87
2019-10-06,79
2019-10-13,87
2019-10-20,85
2019-10-27,74
2019-11-03,70
2019-11-10,59
2019-11-17,80
2019-11-24,83
2019-12-01,78
2019-12-08,71
2019-12-15,84
2019-12-22,71
2019-12-29,100
2020-01-05,90
