,Agriculture & Forestry
2018-12-30,41
2019-01-06,43
2019-01-13,44
2019-01-20,43
2019-01-27,43
2019-02-03,38
2019-02-10,43
2019-02-17,41
2019-02-24,42
2019-03-03,42
2019-03-10,43
2019-03-17,44
2019-03-24,43
2019-03-31,37
2019-04-07,30
2019-04-14,35
2019-04-21,29
2019-04-28,31
2019-05-05,33
2019-05-12,29
2019-05-19,36
2019-05-26,37
2019-06-02,38
2019-06-09,39
2019-06-16,44
2019-06-23,44
2019-06-30,41
2019-07-07,42
2019-07-14,43
2019-07-21,42
2019-07-28,40
2019-08-04,42
2019-08-11,39
2019-08-18,42
2019-08-25,43
2019-09-01,46
2019-09-08,48
2019-09-15,48
2019-09-22,42
2019-09-29,37
2019-10-06,39
2019-10-13,39
2019-10-20,42
2019-10-27,39
2019-11-03,38
2019-11-10,35
2019-11-17,38
2019-11-24,38
2019-12-01,40
2019-12-08,40
2019-12-15,42
2019-12-22,43
2019-12-29,42
2020-01-05,47
2020-01-12,46
2020-01-19,45
2020-01-26,42
2020-02-02,42
2020-02-09,42
2020-02-16,47
2020-02-23,45
2020-03-01,45
2020-03-08,39
2020-03-15,31
2020-03-22,32
2020-03-29,41
2020-04-05,48
2020-04-12,40
2020-04-19,44
2020-04-26,43
2020-05-03,45
2020-05-10,45
2020-05-17,46
2020-05-24,43
2020-05-31,46
2020-06-07,46
2020-06-14,44
2020-06-21,48
2020-06-28,48
2020-07-05,45
2020-07-12,47
2020-07-19,50
2020-07-26,48
2020-08-02,46
2020-08-09,47
2020-08-16,46
2020-08-23,46
2020-08-30,44
2020-09-06,51
2020-09-13,47
2020-09-20,47
2020-09-27,43
2020-10-04,41
2020-10-11,46
2020-10-18,45
2020-10-25,47
2020-11-01,46
2020-11-08,48
2020-11-15,50
2020-11-22,49
2020-11-29,50
2020-12-06,53
2020-12-13,56
2020-12-20,54
2020-12-27,50
2021-01-03,51
2021-01-10,53
2021-01-17,49
2021-01-24,49
2021-01-31,48
2021-02-07,52
2021-02-14,54
2021-02-21,54
2021-02-28,51
2021-03-07,51
2021-03-14,53
2021-03-21,53
2021-03-28,53
2021-04-04,50
2021-04-11,38
2021-04-18,48
2021-04-25,49
2021-05-02,52
2021-05-09,54
2021-05-16,56
2021-05-23,55
2021-05-30,67
2021-06-06,66
2021-06-13,63
2021-06-20,65
2021-06-27,64
2021-07-04,65
2021-07-11,68
2021-07-18,61
2021-07-25,60
2021-08-01,55
2021-08-08,57
2021-08-15,57
2021-08-22,57
2021-08-29,58
2021-09-05,59
2021-09-12,64
2021-09-19,59
2021-09-26,59
2021-10-03,60
2021-10-10,60
2021-10-17,57
2021-10-24,57
2021-10-31,57
2021-11-07,56
2021-11-14,56
2021-11-21,55
2021-11-28,54
2021-12-05,54
2021-12-12,59
2021-12-19,57
2021-12-26,64
2022-01-02,82
2022-01-09,76
2022-01-16,67
2022-01-23,73
2022-01-30,73
2022-02-06,77
2022-02-13,75
2022-02-20,75
2022-02-27,75
2022-03-06,65
2022-03-13,73
2022-03-20,75
2022-03-27,62
2022-04-03,56
2022-04-10,57
2022-04-17,64
2022-04-24,69
2022-05-01,68
2022-05-08,63
2022-05-15,63
2022-05-22,72
2022-05-29,72
2022-06-05,71
2022-06-12,73
2022-06-19,78
2022-06-26,74
2022-07-03,75
2022-07-10,70
2022-07-17,71
2022-07-24,68
2022-07-31,75
2022-08-07,84
2022-08-14,75
2022-08-21,75
2022-08-28,79
2022-09-04,77
2022-09-11,71
2022-09-18,87
2022-09-25,78
2022-10-02,81
2022-10-09,80
2022-10-16,73
2022-10-23,71
2022-10-30,81
2022-11-06,80
2022-11-13,75
2022-11-20,72
2022-11-27,74
2022-12-04,75
2022-12-11,74
2022-12-18,78
2022-12-25,80
2023-01-01,71
2023-01-08,77
2023-01-15,75
2023-01-22,81
2023-01-29,75
2023-02-05,72
2023-02-12,76
2023-02-19,90
2023-02-26,78
2023-03-05,83
2023-03-12,74
2023-03-19,76
2023-03-26,69
2023-04-02,73
2023-04-09,64
2023-04-16,74
2023-04-23,78
2023-04-30,73
2023-05-07,86
2023-05-14,85
2023-05-21,80
2023-05-28,80
2023-06-04,81
2023-06-11,82
2023-06-18,84
2023-06-25,85
2023-07-02,85
2023-07-09,96
2023-07-16,88
2023-07-23,85
2023-07-30,89
2023-08-06,89
2023-08-13,91
2023-08-20,88
2023-08-27,82
2023-09-03,86
2023-09-10,88
2023-09-17,84
2023-09-24,86
2023-10-01,88
2023-10-08,87
2023-10-15,91
2023-10-22,85
2023-10-29,89
2023-11-05,83
2023-11-12,90
2023-11-19,86
2023-11-26,94
2023-12-03,91
2023-12-10,92
2023-12-17,88
2023-12-24,94
2023-12-31,100
2024-01-07,93
