,Aviation
2023-01-01,38
2023-01-08,32
2023-01-15,39
2023-01-22,37
2023-01-29,40
2023-02-05,41
2023-02-12,43
2023-02-19,44
2023-02-26,37
2023-03-05,37
2023-03-12,38
2023-03-19,37
2023-03-26,39
2023-04-02,38
2023-04-09,27
2023-04-16,31
2023-04-23,34
2023-04-30,34
2023-05-07,34
2023-05-14,40
2023-05-21,38
2023-05-28,37
2023-06-04,39
2023-06-11,41
2023-06-18,40
2023-06-25,36
2023-07-02,39
2023-07-09,43
2023-07-16,48
2023-07-23,43
2023-07-30,38
2023-08-06,41
2023-08-13,38
2023-08-20,43
2023-08-27,39
2023-09-03,37
2023-09-10,44
2023-09-17,41
2023-09-24,38
2023-10-01,46
2023-10-08,42
2023-10-15,38
2023-10-22,39
2023-10-29,40
2023-11-05,36
2023-11-12,34
2023-11-19,39
2023-11-26,42
2023-12-03,37
2023-12-10,37
2023-12-17,35
2023-12-24,38
2023-12-31,46
2024-01-07,40
2024-01-14,44
2024-01-21,39
2024-01-28,49
2024-02-04,45
2024-02-11,44
2024-02-18,44
2024-02-25,45
2024-03-03,42
2024-03-10,47
2024-03-17,40
2024-03-24,43
2024-03-31,43
2024-04-07,30
2024-04-14,43
2024-04-21,40
2024-04-28,35
2024-05-05,42
2024-05-12,43
2024-05-19,44
2024-05-26,44
2024-06-02,44
2024-06-09,45
2024-06-16,44
2024-06-23,41
2024-06-30,48
2024-07-07,48
2024-07-14,54
2024-07-21,50
2024-07-28,50
2024-08-04,57
2024-08-11,53
2024-08-18,53
2024-08-25,43
2024-09-01,43
2024-09-08,53
2024-09-15,43
2024-09-22,40
2024-09-29,49
2024-10-06,50
2024-10-13,45
2024-10-20,47
2024-10-27,46
2024-11-03,42
2024-11-10,41
2024-11-17,45
2024-11-24,58
2024-12-01,46
2024-12-08,42
2024-12-15,46
2024-12-22,40
2024-12-29,62
2025-01-05,49
2025-01-12,50
2025-01-19,49
2025-01-26,56
2025-02-02,47
2025-02-09,44
2025-02-16,47
2025-02-23,55
2025-03-02,47
2025-03-09,48
2025-03-16,42
2025-03-23,49
2025-03-30,43
2025-04-06,43
2025-04-13,43
2025-04-20,42
2025-04-27,49
2025-05-04,49
2025-05-11,46
2025-05-18,51
2025-05-25,47
2025-06-01,65
2025-06-08,100
2025-06-15,96
2025-06-22,77
2025-06-29,59
2025-07-06,55
2025-07-13,51
2025-07-20,47
2025-07-27,50
2025-08-03,47
2025-08-10,53
2025-08-17,47
2025-08-24,46
2025-08-31,50
2025-09-07,44
2025-09-14,49
2025-09-21,50
2025-09-28,47
2025-10-05,36
2025-10-12,49
2025-10-19,43
2025-10-26,48
2025-11-02,43
2025-11-09,42
2025-11-16,48
2025-11-23,46
2025-11-30,39
2025-12-07,48
2025-12-14,47
2025-12-21,42
2025-12-28,41
