,Building Materials & Supplies
2018-12-30,53
2019-01-06,57
2019-01-13,53
2019-01-20,53
2019-01-27,56
2019-02-03,54
2019-02-10,59
2019-02-17,60
2019-02-24,60
2019-03-03,64
2019-03-10,58
2019-03-17,60
2019-03-24,65
2019-03-31,60
2019-04-07,56
2019-04-14,45
2019-04-21,42
2019-04-28,47
2019-05-05,53
2019-05-12,50
2019-05-19,54
2019-05-26,62
2019-06-02,55
2019-06-09,56
2019-06-16,57
2019-06-23,58
2019-06-30,61
2019-07-07,59
2019-07-14,54
2019-07-21,63
2019-07-28,58
2019-08-04,62
2019-08-11,54
2019-08-18,57
2019-08-25,57
2019-09-01,54
2019-09-08,55
2019-09-15,56
2019-09-22,56
2019-09-29,53
2019-10-06,52
2019-10-13,53
2019-10-20,54
2019-10-27,53
2019-11-03,50
2019-11-10,51
2019-11-17,51
2019-11-24,55
2019-12-01,53
2019-12-08,51
2019-12-15,57
2019-12-22,58
2019-12-29,56
2020-01-05,55
2020-01-12,53
2020-01-19,55
2020-01-26,55
2020-02-02,54
2020-02-09,56
2020-02-16,60
2020-02-23,61
2020-03-01,53
2020-03-08,51
2020-03-15,42
2020-03-22,39
2020-03-29,33
2020-04-05,38
2020-04-12,33
2020-04-19,33
2020-04-26,43
2020-05-03,44
2020-05-10,48
2020-05-17,50
2020-05-24,49
2020-05-31,56
2020-06-07,57
2020-06-14,59
2020-06-21,61
2020-06-28,54
2020-07-05,63
2020-07-12,63
2020-07-19,64
2020-07-26,61
2020-08-02,54
2020-08-09,63
2020-08-16,60
2020-08-23,61
2020-08-30,58
2020-09-06,60
2020-09-13,57
2020-09-20,56
2020-09-27,53
2020-10-04,53
2020-10-11,62
2020-10-18,60
2020-10-25,53
2020-11-01,48
2020-11-08,54
2020-11-15,55
2020-11-22,57
2020-11-29,54
2020-12-06,61
2020-12-13,61
2020-12-20,59
2020-12-27,55
2021-01-03,56
2021-01-10,54
2021-01-17,54
2021-01-24,57
2021-01-31,55
2021-02-07,61
2021-02-14,62
2021-02-21,60
2021-02-28,58
2021-03-07,58
2021-03-14,65
2021-03-21,64
2021-03-28,64
2021-04-04,62
2021-04-11,48
2021-04-18,68
2021-04-25,67
2021-05-02,69
2021-05-09,61
2021-05-16,67
2021-05-23,56
2021-05-30,65
2021-06-06,65
2021-06-13,66
2021-06-20,70
2021-06-27,75
2021-07-04,78
2021-07-11,77
2021-07-18,79
2021-07-25,76
2021-08-01,72
2021-08-08,70
2021-08-15,68
2021-08-22,57
2021-08-29,65
2021-09-05,68
2021-09-12,74
2021-09-19,71
2021-09-26,74
2021-10-03,77
2021-10-10,83
2021-10-17,81
2021-10-24,78
2021-10-31,80
2021-11-07,79
2021-11-14,79
2021-11-21,79
2021-11-28,78
2021-12-05,81
2021-12-12,71
2021-12-19,75
2021-12-26,73
2022-01-02,89
2022-01-09,84
2022-01-16,79
2022-01-23,84
2022-01-30,83
2022-02-06,88
2022-02-13,83
2022-02-20,100
2022-02-27,88
2022-03-06,91
2022-03-13,89
2022-03-20,91
2022-03-27,85
2022-04-03,76
2022-04-10,60
2022-04-17,79
2022-04-24,88
2022-05-01,84
2022-05-08,68
2022-05-15,69
2022-05-22,79
2022-05-29,84
2022-06-05,79
2022-06-12,73
2022-06-19,75
2022-06-26,82
2022-07-03,75
2022-07-10,68
2022-07-17,77
2022-07-24,72
2022-07-31,78
2022-08-07,76
2022-08-14,81
2022-08-21,76
2022-08-28,79
2022-09-04,74
2022-09-11,69
2022-09-18,76
2022-09-25,71
2022-10-02,73
2022-10-09,73
2022-10-16,71
2022-10-23,70
2022-10-30,70
2022-11-06,69
2022-11-13,74
2022-11-20,68
2022-11-27,67
2022-12-04,69
2022-12-11,70
2022-12-18,72
2022-12-25,72
2023-01-01,63
2023-01-08,70
2023-01-15,67
2023-01-22,74
2023-01-29,68
2023-02-05,69
2023-02-12,74
2023-02-19,73
2023-02-26,68
2023-03-05,63
2023-03-12,65
2023-03-19,68
2023-03-26,67
2023-04-02,67
2023-04-09,56
2023-04-16,67
2023-04-23,64
2023-04-30,56
2023-05-07,61
2023-05-14,71
2023-05-21,68
2023-05-28,63
2023-06-04,67
2023-06-11,70
2023-06-18,67
2023-06-25,67
2023-07-02,63
2023-07-09,77
2023-07-16,75
2023-07-23,69
2023-07-30,69
2023-08-06,71
2023-08-13,72
2023-08-20,69
2023-08-27,70
2023-09-03,76
2023-09-10,73
2023-09-17,71
2023-09-24,68
2023-10-01,70
2023-10-08,74
2023-10-15,65
2023-10-22,66
2023-10-29,64
2023-11-05,64
2023-11-12,70
2023-11-19,70
2023-11-26,64
2023-12-03,71
2023-12-10,70
2023-12-17,70
2023-12-24,69
2023-12-31,67
2024-01-07,69
