,Construction Consulting & Contracting
2023-01-01,62
2023-01-08,79
2023-01-15,68
2023-01-22,64
2023-01-29,84
2023-02-05,59
2023-02-12,58
2023-02-19,75
2023-02-26,77
2023-03-05,62
2023-03-12,78
2023-03-19,60
2023-03-26,60
2023-04-02,62
2023-04-09,55
2023-04-16,57
2023-04-23,62
2023-04-30,60
2023-05-07,68
2023-05-14,72
2023-05-21,66
2023-05-28,46
2023-06-04,61
2023-06-11,80
2023-06-18,73
2023-06-25,60
2023-07-02,77
2023-07-09,77
2023-07-16,69
2023-07-23,64
2023-07-30,71
2023-08-06,72
2023-08-13,76
2023-08-20,47
2023-08-27,56
2023-09-03,80
2023-09-10,78
2023-09-17,71
2023-09-24,66
2023-10-01,64
2023-10-08,53
2023-10-15,56
2023-10-22,73
2023-10-29,61
2023-11-05,68
2023-11-12,69
2023-11-19,70
2023-11-26,76
2023-12-03,70
2023-12-10,73
2023-12-17,56
2023-12-24,73
2023-12-31,75
2024-01-07,85
2024-01-14,85
2024-01-21,70
2024-01-28,66
2024-02-04,76
2024-02-11,69
2024-02-18,74
2024-02-25,100
2024-03-03,87
2024-03-10,98
2024-03-17,86
2024-03-24,90
2024-03-31,65
2024-04-07,51
2024-04-14,61
2024-04-21,53
2024-04-28,77
2024-05-05,75
2024-05-12,76
2024-05-19,76
2024-05-26,72
2024-06-02,57
2024-06-09,71
2024-06-16,80
2024-06-23,73
2024-06-30,81
2024-07-07,69
2024-07-14,71
2024-07-21,80
2024-07-28,74
2024-08-04,83
2024-08-11,73
2024-08-18,78
2024-08-25,80
2024-09-01,76
2024-09-08,68
2024-09-15,53
2024-09-22,65
2024-09-29,77
2024-10-06,59
2024-10-13,76
2024-10-20,77
2024-10-27,79
2024-11-03,71
2024-11-10,65
2024-11-17,65
2024-11-24,62
2024-12-01,71
2024-12-08,80
2024-12-15,78
2024-12-22,68
2024-12-29,72
2025-01-05,78
2025-01-12,58
2025-01-19,72
2025-01-26,95
2025-02-02,92
2025-02-09,63
2025-02-16,83
2025-02-23,73
2025-03-02,81
2025-03-09,69
2025-03-16,65
2025-03-23,66
2025-03-30,67
2025-04-06,77
2025-04-13,61
2025-04-20,78
2025-04-27,67
2025-05-04,77
2025-05-11,69
2025-05-18,76
2025-05-25,63
2025-06-01,90
2025-06-08,72
2025-06-15,80
2025-06-22,75
2025-06-29,78
2025-07-06,59
2025-07-13,82
2025-07-20,68
2025-07-27,77
2025-08-03,75
2025-08-10,89
2025-08-17,74
2025-08-24,69
2025-08-31,57
2025-09-07,67
2025-09-14,75
2025-09-21,67
2025-09-28,58
2025-10-05,57
2025-10-12,72
2025-10-19,56
2025-10-26,66
2025-11-02,68
2025-11-09,58
2025-11-16,73
2025-11-23,67
2025-11-30,55
2025-12-07,74
2025-12-14,68
2025-12-21,70
2025-12-28,70
