,Energy & Utilities
2014-12-28,41
2015-01-04,38
2015-01-11,43
2015-01-18,49
2015-01-25,48
2015-02-01,44
2015-02-08,54
2015-02-15,55
2015-02-22,48
2015-03-01,50
2015-03-08,52
2015-03-15,53
2015-03-22,51
2015-03-29,54
2015-04-05,46
2015-04-12,32
2015-04-19,52
2015-04-26,46
2015-05-03,53
2015-05-10,56
2015-05-17,55
2015-05-24,56
2015-05-31,52
2015-06-07,59
2015-06-14,54
2015-06-21,54
2015-06-28,52
2015-07-05,52
2015-07-12,55
2015-07-19,56
2015-07-26,53
2015-08-02,54
2015-08-09,53
2015-08-16,48
2015-08-23,52
2015-08-30,54
2015-09-06,59
2015-09-13,50
2015-09-20,49
2015-09-27,61
2015-10-04,57
2015-10-11,57
2015-10-18,60
2015-10-25,55
2015-11-01,50
2015-11-08,51
2015-11-15,55
2015-11-22,55
2015-11-29,55
2015-12-06,51
2015-12-13,52
2015-12-20,43
2015-12-27,48
2016-01-03,60
2016-01-10,51
2016-01-17,53
2016-01-24,51
2016-01-31,48
2016-02-07,62
2016-02-14,62
2016-02-21,60
2016-02-28,62
2016-03-06,55
2016-03-13,91
2016-03-20,60
2016-03-27,64
2016-04-03,53
2016-04-10,32
2016-04-17,59
2016-04-24,54
2016-05-01,65
2016-05-08,68
2016-05-15,66
2016-05-22,61
2016-05-29,65
2016-06-05,68
2016-06-12,55
2016-06-19,62
2016-06-26,63
2016-07-03,63
2016-07-10,65
2016-07-17,63
2016-07-24,58
2016-07-31,60
2016-08-07,65
2016-08-14,58
2016-08-21,59
2016-08-28,56
2016-09-04,67
2016-09-11,54
2016-09-18,65
2016-09-25,66
2016-10-02,64
2016-10-09,67
2016-10-16,73
2016-10-23,60
2016-10-30,66
2016-11-06,64
2016-11-13,62
2016-11-20,59
2016-11-27,60
2016-12-04,58
2016-12-11,47
2016-12-18,52
2016-12-25,55
2017-01-01,63
2017-01-08,61
2017-01-15,69
2017-01-22,67
2017-01-29,65
2017-02-05,65
2017-02-12,71
2017-02-19,67
2017-02-26,73
2017-03-05,72
2017-03-12,71
2017-03-19,72
2017-03-26,74
2017-04-02,64
2017-04-09,52
2017-04-16,91
2017-04-23,88
2017-04-30,80
2017-05-07,70
2017-05-14,75
2017-05-21,83
2017-05-28,93
2017-06-04,74
2017-06-11,94
2017-06-18,84
2017-06-25,78
2017-07-02,82
2017-07-09,88
2017-07-16,87
2017-07-23,100
2017-07-30,89
2017-08-06,82
2017-08-13,81
2017-08-20,78
2017-08-27,71
2017-09-03,70
2017-09-10,77
2017-09-17,76
2017-09-24,76
2017-10-01,80
2017-10-08,87
2017-10-15,83
2017-10-22,75
2017-10-29,75
2017-11-05,86
2017-11-12,86
2017-11-19,84
2017-11-26,84
2017-12-03,84
2017-12-10,70
2017-12-17,66
2017-12-24,61
2017-12-31,62
2018-01-07,73
2018-01-14,69
2018-01-21,71
2018-01-28,71
2018-02-04,67
2018-02-11,66
2018-02-18,73
2018-02-25,66
2018-03-04,61
2018-03-11,64
2018-03-18,74
2018-03-25,66
2018-04-01,61
2018-04-08,45
2018-04-15,54
2018-04-22,61
2018-04-29,59
2018-05-06,66
2018-05-13,69
2018-05-20,72
2018-05-27,66
2018-06-03,63
2018-06-10,62
2018-06-17,58
2018-06-24,57
2018-07-01,65
2018-07-08,68
2018-07-15,68
2018-07-22,67
2018-07-29,68
2018-08-05,72
2018-08-12,66
2018-08-19,62
2018-08-26,65
2018-09-02,68
2018-09-09,73
2018-09-16,68
2018-09-23,60
2018-09-30,66
2018-10-07,70
2018-10-14,74
2018-10-21,61
2018-10-28,71
2018-11-04,65
2018-11-11,60
2018-11-18,60
2018-11-25,64
2018-12-02,60
2018-12-09,62
2018-12-16,62
2018-12-23,57
2018-12-30,61
2019-01-06,61
2019-01-13,60
2019-01-20,60
2019-01-27,68
2019-02-03,63
2019-02-10,70
2019-02-17,61
2019-02-24,66
2019-03-03,65
2019-03-10,67
2019-03-17,83
2019-03-24,82
2019-03-31,79
2019-04-07,55
2019-04-14,47
2019-04-21,50
2019-04-28,54
2019-05-05,58
2019-05-12,53
2019-05-19,60
2019-05-26,73
2019-06-02,67
2019-06-09,77
2019-06-16,74
2019-06-23,73
2019-06-30,76
2019-07-07,74
2019-07-14,69
2019-07-21,78
2019-07-28,77
2019-08-04,78
2019-08-11,63
2019-08-18,72
2019-08-25,61
2019-09-01,72
2019-09-08,65
2019-09-15,67
2019-09-22,59
2019-09-29,61
2019-10-06,60
2019-10-13,70
2019-10-20,64
2019-10-27,71
2019-11-03,72
2019-11-10,58
2019-11-17,65
2019-11-24,70
2019-12-01,65
2019-12-08,57
2019-12-15,67
2019-12-22,60
2019-12-29,62
2020-01-05,63
