,GPS & Navigation
2018-12-30,58
2019-01-06,57
2019-01-13,46
2019-01-20,50
2019-01-27,56
2019-02-03,63
2019-02-10,51
2019-02-17,53
2019-02-24,61
2019-03-03,56
2019-03-10,58
2019-03-17,53
2019-03-24,59
2019-03-31,50
2019-04-07,40
2019-04-14,45
2019-04-21,44
2019-04-28,49
2019-05-05,53
2019-05-12,48
2019-05-19,52
2019-05-26,45
2019-06-02,53
2019-06-09,52
2019-06-16,59
2019-06-23,60
2019-06-30,47
2019-07-07,48
2019-07-14,50
2019-07-21,66
2019-07-28,61
2019-08-04,86
2019-08-11,65
2019-08-18,65
2019-08-25,55
2019-09-01,45
2019-09-08,56
2019-09-15,55
2019-09-22,68
2019-09-29,60
2019-10-06,56
2019-10-13,52
2019-10-20,46
2019-10-27,50
2019-11-03,43
2019-11-10,50
2019-11-17,51
2019-11-24,55
2019-12-01,51
2019-12-08,47
2019-12-15,56
2019-12-22,51
2019-12-29,54
2020-01-05,60
2020-01-12,56
2020-01-19,59
2020-01-26,53
2020-02-02,49
2020-02-09,66
2020-02-16,57
2020-02-23,55
2020-03-01,48
2020-03-08,53
2020-03-15,37
2020-03-22,30
2020-03-29,36
2020-04-05,35
2020-04-12,30
2020-04-19,32
2020-04-26,36
2020-05-03,32
2020-05-10,40
2020-05-17,38
2020-05-24,45
2020-05-31,40
2020-06-07,49
2020-06-14,50
2020-06-21,49
2020-06-28,41
2020-07-05,49
2020-07-12,52
2020-07-19,52
2020-07-26,48
2020-08-02,52
2020-08-09,47
2020-08-16,58
2020-08-23,47
2020-08-30,52
2020-09-06,52
2020-09-13,52
2020-09-20,50
2020-09-27,50
2020-10-04,44
2020-10-11,55
2020-10-18,49
2020-10-25,52
2020-11-01,43
2020-11-08,39
2020-11-15,45
2020-11-22,45
2020-11-29,43
2020-12-06,49
2020-12-13,46
2020-12-20,53
2020-12-27,46
2021-01-03,50
2021-01-10,43
2021-01-17,46
2021-01-24,44
2021-01-31,44
2021-02-07,45
2021-02-14,49
2021-02-21,43
2021-02-28,52
2021-03-07,48
2021-03-14,54
2021-03-21,53
2021-03-28,49
2021-04-04,50
2021-04-11,34
2021-04-18,55
2021-04-25,48
2021-05-02,43
2021-05-09,43
2021-05-16,46
2021-05-23,30
2021-05-30,38
2021-06-06,48
2021-06-13,47
2021-06-20,41
2021-06-27,46
2021-07-04,46
2021-07-11,46
2021-07-18,41
2021-07-25,46
2021-08-01,50
2021-08-08,44
2021-08-15,47
2021-08-22,38
2021-08-29,39
2021-09-05,41
2021-09-12,41
2021-09-19,45
2021-09-26,45
2021-10-03,50
2021-10-10,46
2021-10-17,44
2021-10-24,43
2021-10-31,41
2021-11-07,51
2021-11-14,42
2021-11-21,39
2021-11-28,44
2021-12-05,54
2021-12-12,53
2021-12-19,58
2021-12-26,56
2022-01-02,57
2022-01-09,71
2022-01-16,60
2022-01-23,68
2022-01-30,66
2022-02-06,60
2022-02-13,64
2022-02-20,66
2022-02-27,66
2022-03-06,57
2022-03-13,56
2022-03-20,67
2022-03-27,54
2022-04-03,50
2022-04-10,48
2022-04-17,53
2022-04-24,62
2022-05-01,58
2022-05-08,53
2022-05-15,55
2022-05-22,66
2022-05-29,70
2022-06-05,64
2022-06-12,57
2022-06-19,65
2022-06-26,67
2022-07-03,54
2022-07-10,53
2022-07-17,62
2022-07-24,57
2022-07-31,56
2022-08-07,50
2022-08-14,60
2022-08-21,59
2022-08-28,53
2022-09-04,54
2022-09-11,63
2022-09-18,55
2022-09-25,56
2022-10-02,58
2022-10-09,48
2022-10-16,60
2022-10-23,50
2022-10-30,60
2022-11-06,58
2022-11-13,53
2022-11-20,50
2022-11-27,54
2022-12-04,55
2022-12-11,50
2022-12-18,62
2022-12-25,70
2023-01-01,53
2023-01-08,65
2023-01-15,65
2023-01-22,53
2023-01-29,63
2023-02-05,56
2023-02-12,53
2023-02-19,53
2023-02-26,59
2023-03-05,49
2023-03-12,58
2023-03-19,68
2023-03-26,51
2023-04-02,49
2023-04-09,48
2023-04-16,60
2023-04-23,61
2023-04-30,53
2023-05-07,63
2023-05-14,58
2023-05-21,62
2023-05-28,60
2023-06-04,60
2023-06-11,59
2023-06-18,59
2023-06-25,67
2023-07-02,56
2023-07-09,100
2023-07-16,79
2023-07-23,69
2023-07-30,64
2023-08-06,60
2023-08-13,60
2023-08-20,60
2023-08-27,68
2023-09-03,55
2023-09-10,61
2023-09-17,66
2023-09-24,70
2023-10-01,66
2023-10-08,66
2023-10-15,57
2023-10-22,56
2023-10-29,63
2023-11-05,58
2023-11-12,73
2023-11-19,61
2023-11-26,62
2023-12-03,61
2023-12-10,70
2023-12-17,62
2023-12-24,59
2023-12-31,77
2024-01-07,83
