,Grocery & Food Retailers
2023-01-01,66
2023-01-08,72
2023-01-15,64
2023-01-22,67
2023-01-29,67
2023-02-05,62
2023-02-12,81
2023-02-19,73
2023-02-26,78
2023-03-05,78
2023-03-12,78
2023-03-19,71
2023-03-26,74
2023-04-02,66
2023-04-09,68
2023-04-16,74
2023-04-23,68
2023-04-30,71
2023-05-07,62
2023-05-14,70
2023-05-21,72
2023-05-28,77
2023-06-04,71
2023-06-11,68
2023-06-18,75
2023-06-25,66
2023-07-02,67
2023-07-09,71
2023-07-16,69
2023-07-23,69
2023-07-30,69
2023-08-06,79
2023-08-13,94
2023-08-20,71
2023-08-27,82
2023-09-03,77
2023-09-10,70
2023-09-17,68
2023-09-24,66
2023-10-01,85
2023-10-08,76
2023-10-15,71
2023-10-22,62
2023-10-29,77
2023-11-05,72
2023-11-12,69
2023-11-19,73
2023-11-26,72
2023-12-03,66
2023-12-10,62
2023-12-17,74
2023-12-24,74
2023-12-31,67
2024-01-07,79
2024-01-14,78
2024-01-21,63
2024-01-28,89
2024-02-04,78
2024-02-11,71
2024-02-18,74
2024-02-25,80
2024-03-03,78
2024-03-10,83
2024-03-17,71
2024-03-24,100
2024-03-31,67
2024-04-07,62
2024-04-14,74
2024-04-21,73
2024-04-28,80
2024-05-05,77
2024-05-12,74
2024-05-19,80
2024-05-26,88
2024-06-02,71
2024-06-09,74
2024-06-16,63
2024-06-23,76
2024-06-30,76
2024-07-07,81
2024-07-14,91
2024-07-21,67
2024-07-28,78
2024-08-04,69
2024-08-11,78
2024-08-18,82
2024-08-25,76
2024-09-01,78
2024-09-08,65
2024-09-15,73
2024-09-22,62
2024-09-29,70
2024-10-06,71
2024-10-13,59
2024-10-20,69
2024-10-27,72
2024-11-03,64
2024-11-10,80
2024-11-17,76
2024-11-24,74
2024-12-01,73
2024-12-08,76
2024-12-15,77
2024-12-22,86
2024-12-29,75
2025-01-05,75
2025-01-12,77
2025-01-19,88
2025-01-26,71
2025-02-02,73
2025-02-09,69
2025-02-16,73
2025-02-23,78
2025-03-02,87
2025-03-09,78
2025-03-16,89
2025-03-23,74
2025-03-30,75
2025-04-06,71
2025-04-13,66
2025-04-20,75
2025-04-27,61
2025-05-04,70
2025-05-11,81
2025-05-18,69
2025-05-25,75
2025-06-01,78
2025-06-08,77
2025-06-15,73
2025-06-22,74
2025-06-29,76
2025-07-06,74
2025-07-13,77
2025-07-20,84
2025-07-27,69
2025-08-03,83
2025-08-10,82
2025-08-17,80
2025-08-24,72
2025-08-31,73
2025-09-07,74
2025-09-14,81
2025-09-21,68
2025-09-28,77
2025-10-05,73
2025-10-12,74
2025-10-19,87
2025-10-26,80
2025-11-02,73
2025-11-09,77
2025-11-16,72
2025-11-23,93
2025-11-30,79
2025-12-07,69
2025-12-14,84
2025-12-21,81
2025-12-28,90
