,Import & Export
2018-12-30,59
2019-01-06,66
2019-01-13,59
2019-01-20,54
2019-01-27,59
2019-02-03,56
2019-02-10,58
2019-02-17,64
2019-02-24,66
2019-03-03,76
2019-03-10,61
2019-03-17,51
2019-03-24,53
2019-03-31,55
2019-04-07,40
2019-04-14,46
2019-04-21,62
2019-04-28,59
2019-05-05,60
2019-05-12,46
2019-05-19,63
2019-05-26,57
2019-06-02,63
2019-06-09,65
2019-06-16,66
2019-06-23,66
2019-06-30,60
2019-07-07,60
2019-07-14,51
2019-07-21,71
2019-07-28,60
2019-08-04,55
2019-08-11,50
2019-08-18,63
2019-08-25,58
2019-09-01,57
2019-09-08,63
2019-09-15,66
2019-09-22,54
2019-09-29,52
2019-10-06,52
2019-10-13,62
2019-10-20,59
2019-10-27,56
2019-11-03,53
2019-11-10,46
2019-11-17,61
2019-11-24,67
2019-12-01,65
2019-12-08,50
2019-12-15,60
2019-12-22,50
2019-12-29,61
2020-01-05,60
2020-01-12,64
2020-01-19,61
2020-01-26,50
2020-02-02,57
2020-02-09,59
2020-02-16,59
2020-02-23,59
2020-03-01,55
2020-03-08,54
2020-03-15,50
2020-03-22,51
2020-03-29,48
2020-04-05,39
2020-04-12,46
2020-04-19,46
2020-04-26,43
2020-05-03,46
2020-05-10,65
2020-05-17,73
2020-05-24,68
2020-05-31,62
2020-06-07,59
2020-06-14,65
2020-06-21,63
2020-06-28,72
2020-07-05,75
2020-07-12,69
2020-07-19,73
2020-07-26,69
2020-08-02,54
2020-08-09,63
2020-08-16,78
2020-08-23,67
2020-08-30,63
2020-09-06,70
2020-09-13,69
2020-09-20,73
2020-09-27,59
2020-10-04,59
2020-10-11,64
2020-10-18,58
2020-10-25,58
2020-11-01,61
2020-11-08,52
2020-11-15,74
2020-11-22,69
2020-11-29,69
2020-12-06,69
2020-12-13,65
2020-12-20,63
2020-12-27,54
2021-01-03,63
2021-01-10,58
2021-01-17,64
2021-01-24,61
2021-01-31,63
2021-02-07,60
2021-02-14,74
2021-02-21,65
2021-02-28,66
2021-03-07,69
2021-03-14,59
2021-03-21,60
2021-03-28,68
2021-04-04,59
2021-04-11,40
2021-04-18,63
2021-04-25,50
2021-05-02,63
2021-05-09,60
2021-05-16,64
2021-05-23,62
2021-05-30,69
2021-06-06,53
2021-06-13,66
2021-06-20,64
2021-06-27,76
2021-07-04,65
2021-07-11,76
2021-07-18,66
2021-07-25,62
2021-08-01,70
2021-08-08,65
2021-08-15,71
2021-08-22,61
2021-08-29,62
2021-09-05,69
2021-09-12,80
2021-09-19,66
2021-09-26,69
2021-10-03,67
2021-10-10,67
2021-10-17,57
2021-10-24,62
2021-10-31,75
2021-11-07,52
2021-11-14,58
2021-11-21,57
2021-11-28,49
2021-12-05,60
2021-12-12,68
2021-12-19,57
2021-12-26,60
2022-01-02,68
2022-01-09,69
2022-01-16,57
2022-01-23,64
2022-01-30,78
2022-02-06,83
2022-02-13,80
2022-02-20,87
2022-02-27,82
2022-03-06,100
2022-03-13,83
2022-03-20,92
2022-03-27,78
2022-04-03,71
2022-04-10,52
2022-04-17,80
2022-04-24,90
2022-05-01,74
2022-05-08,66
2022-05-15,78
2022-05-22,86
2022-05-29,97
2022-06-05,85
2022-06-12,73
2022-06-19,81
2022-06-26,87
2022-07-03,79
2022-07-10,72
2022-07-17,82
2022-07-24,80
2022-07-31,75
2022-08-07,80
2022-08-14,87
2022-08-21,91
2022-08-28,82
2022-09-04,90
2022-09-11,82
2022-09-18,81
2022-09-25,84
2022-10-02,88
2022-10-09,79
2022-10-16,76
2022-10-23,81
2022-10-30,86
2022-11-06,68
2022-11-13,89
2022-11-20,77
2022-11-27,73
2022-12-04,68
2022-12-11,78
2022-12-18,78
2022-12-25,66
2023-01-01,77
2023-01-08,85
2023-01-15,74
2023-01-22,83
2023-01-29,77
2023-02-05,74
2023-02-12,76
2023-02-19,80
2023-02-26,83
2023-03-05,82
2023-03-12,82
2023-03-19,80
2023-03-26,79
2023-04-02,78
2023-04-09,55
2023-04-16,81
2023-04-23,89
2023-04-30,62
2023-05-07,82
2023-05-14,85
2023-05-21,86
2023-05-28,86
2023-06-04,86
2023-06-11,95
2023-06-18,89
2023-06-25,69
2023-07-02,72
2023-07-09,97
2023-07-16,87
2023-07-23,81
2023-07-30,82
2023-08-06,87
2023-08-13,87
2023-08-20,91
2023-08-27,67
2023-09-03,78
2023-09-10,74
2023-09-17,76
2023-09-24,67
2023-10-01,87
2023-10-08,69
2023-10-15,79
2023-10-22,79
2023-10-29,70
2023-11-05,70
2023-11-12,74
2023-11-19,82
2023-11-26,72
2023-12-03,76
2023-12-10,87
2023-12-17,82
2023-12-24,58
2023-12-31,84
2024-01-07,79
