,Pharmacy
2014-12-28,42
2015-01-04,39
2015-01-11,40
2015-01-18,49
2015-01-25,48
2015-02-01,43
2015-02-08,48
2015-02-15,50
2015-02-22,45
2015-03-01,46
2015-03-08,50
2015-03-15,41
2015-03-22,48
2015-03-29,47
2015-04-05,44
2015-04-12,36
2015-04-19,47
2015-04-26,44
2015-05-03,46
2015-05-10,48
2015-05-17,53
2015-05-24,48
2015-05-31,51
2015-06-07,52
2015-06-14,55
2015-06-21,52
2015-06-28,53
2015-07-05,54
2015-07-12,50
2015-07-19,56
2015-07-26,47
2015-08-02,54
2015-08-09,51
2015-08-16,50
2015-08-23,54
2015-08-30,57
2015-09-06,48
2015-09-13,49
2015-09-20,48
2015-09-27,50
2015-10-04,45
2015-10-11,51
2015-10-18,51
2015-10-25,48
2015-11-01,52
2015-11-08,51
2015-11-15,53
2015-11-22,55
2015-11-29,54
2015-12-06,55
2015-12-13,54
2015-12-20,54
2015-12-27,59
2016-01-03,50
2016-01-10,52
2016-01-17,52
2016-01-24,52
2016-01-31,46
2016-02-07,56
2016-02-14,58
2016-02-21,54
2016-02-28,52
2016-03-06,52
2016-03-13,53
2016-03-20,49
2016-03-27,54
2016-04-03,55
2016-04-10,37
2016-04-17,53
2016-04-24,50
2016-05-01,57
2016-05-08,53
2016-05-15,47
2016-05-22,57
2016-05-29,60
2016-06-05,56
2016-06-12,58
2016-06-19,60
2016-06-26,61
2016-07-03,61
2016-07-10,57
2016-07-17,64
2016-07-24,60
2016-07-31,62
2016-08-07,66
2016-08-14,61
2016-08-21,70
2016-08-28,61
2016-09-04,60
2016-09-11,52
2016-09-18,58
2016-09-25,57
2016-10-02,63
2016-10-09,56
2016-10-16,62
2016-10-23,58
2016-10-30,54
2016-11-06,60
2016-11-13,63
2016-11-20,59
2016-11-27,67
2016-12-04,57
2016-12-11,66
2016-12-18,60
2016-12-25,70
2017-01-01,68
2017-01-08,63
2017-01-15,65
2017-01-22,67
2017-01-29,64
2017-02-05,63
2017-02-12,63
2017-02-19,64
2017-02-26,64
2017-03-05,69
2017-03-12,66
2017-03-19,67
2017-03-26,61
2017-04-02,55
2017-04-09,49
2017-04-16,68
2017-04-23,59
2017-04-30,61
2017-05-07,58
2017-05-14,63
2017-05-21,70
2017-05-28,67
2017-06-04,62
2017-06-11,64
2017-06-18,63
2017-06-25,65
2017-07-02,72
2017-07-09,73
2017-07-16,71
2017-07-23,65
2017-07-30,71
2017-08-06,70
2017-08-13,75
2017-08-20,62
2017-08-27,63
2017-09-03,68
2017-09-10,72
2017-09-17,65
2017-09-24,70
2017-10-01,67
2017-10-08,74
2017-10-15,67
2017-10-22,64
2017-10-29,67
2017-11-05,59
2017-11-12,63
2017-11-19,63
2017-11-26,63
2017-12-03,71
2017-12-10,68
2017-12-17,77
2017-12-24,75
2017-12-31,75
2018-01-07,86
2018-01-14,70
2018-01-21,74
2018-01-28,74
2018-02-04,73
2018-02-11,75
2018-02-18,76
2018-02-25,77
2018-03-04,72
2018-03-11,78
2018-03-18,76
2018-03-25,72
2018-04-01,69
2018-04-08,60
2018-04-15,69
2018-04-22,68
2018-04-29,70
2018-05-06,70
2018-05-13,70
2018-05-20,73
2018-05-27,73
2018-06-03,80
2018-06-10,76
2018-06-17,82
2018-06-24,74
2018-07-01,83
2018-07-08,81
2018-07-15,82
2018-07-22,83
2018-07-29,83
2018-08-05,82
2018-08-12,78
2018-08-19,76
2018-08-26,76
2018-09-02,78
2018-09-09,76
2018-09-16,77
2018-09-23,73
2018-09-30,70
2018-10-07,79
2018-10-14,85
2018-10-21,75
2018-10-28,73
2018-11-04,81
2018-11-11,82
2018-11-18,76
2018-11-25,74
2018-12-02,78
2018-12-09,79
2018-12-16,79
2018-12-23,84
2018-12-30,79
2019-01-06,86
2019-01-13,77
2019-01-20,85
2019-01-27,82
2019-02-03,86
2019-02-10,89
2019-02-17,79
2019-02-24,81
2019-03-03,81
2019-03-10,83
2019-03-17,83
2019-03-24,80
2019-03-31,79
2019-04-07,67
2019-04-14,76
2019-04-21,62
2019-04-28,72
2019-05-05,75
2019-05-12,65
2019-05-19,71
2019-05-26,75
2019-06-02,77
2019-06-09,76
2019-06-16,82
2019-06-23,84
2019-06-30,89
2019-07-07,86
2019-07-14,87
2019-07-21,91
2019-07-28,94
2019-08-04,89
2019-08-11,85
2019-08-18,98
2019-08-25,88
2019-09-01,84
2019-09-08,80
2019-09-15,84
2019-09-22,83
2019-09-29,83
2019-10-06,84
2019-10-13,91
2019-10-20,79
2019-10-27,79
2019-11-03,83
2019-11-10,78
2019-11-17,85
2019-11-24,85
2019-12-01,86
2019-12-08,86
2019-12-15,88
2019-12-22,100
2019-12-29,100
2020-01-05,83
