,Professional & Trade Associations
2018-12-30,28
2019-01-06,23
2019-01-13,18
2019-01-20,26
2019-01-27,24
2019-02-03,18
2019-02-10,33
2019-02-17,31
2019-02-24,26
2019-03-03,28
2019-03-10,34
2019-03-17,19
2019-03-24,28
2019-03-31,18
2019-04-07,20
2019-04-14,17
2019-04-21,15
2019-04-28,20
2019-05-05,23
2019-05-12,15
2019-05-19,24
2019-05-26,18
2019-06-02,17
2019-06-09,24
2019-06-16,35
2019-06-23,24
2019-06-30,20
2019-07-07,28
2019-07-14,32
2019-07-21,23
2019-07-28,23
2019-08-04,17
2019-08-11,23
2019-08-18,32
2019-08-25,30
2019-09-01,21
2019-09-08,23
2019-09-15,25
2019-09-22,34
2019-09-29,24
2019-10-06,28
2019-10-13,30
2019-10-20,22
2019-10-27,25
2019-11-03,22
2019-11-10,22
2019-11-17,26
2019-11-24,23
2019-12-01,45
2019-12-08,45
2019-12-15,27
2019-12-22,24
2019-12-29,28
2020-01-05,25
2020-01-12,29
2020-01-19,23
2020-01-26,17
2020-02-02,23
2020-02-09,28
2020-02-16,29
2020-02-23,22
2020-03-01,23
2020-03-08,20
2020-03-15,16
2020-03-22,11
2020-03-29,12
2020-04-05,18
2020-04-12,16
2020-04-19,18
2020-04-26,18
2020-05-03,17
2020-05-10,20
2020-05-17,18
2020-05-24,33
2020-05-31,27
2020-06-07,25
2020-06-14,51
2020-06-21,57
2020-06-28,48
2020-07-05,45
2020-07-12,62
2020-07-19,59
2020-07-26,62
2020-08-02,53
2020-08-09,51
2020-08-16,38
2020-08-23,33
2020-08-30,39
2020-09-06,36
2020-09-13,28
2020-09-20,29
2020-09-27,34
2020-10-04,49
2020-10-11,54
2020-10-18,56
2020-10-25,59
2020-11-01,56
2020-11-08,68
2020-11-15,56
2020-11-22,51
2020-11-29,61
2020-12-06,60
2020-12-13,45
2020-12-20,54
2020-12-27,53
2021-01-03,67
2021-01-10,47
2021-01-17,54
2021-01-24,49
2021-01-31,39
2021-02-07,47
2021-02-14,42
2021-02-21,37
2021-02-28,41
2021-03-07,38
2021-03-14,52
2021-03-21,59
2021-03-28,50
2021-04-04,42
2021-04-11,25
2021-04-18,45
2021-04-25,67
2021-05-02,71
2021-05-09,59
2021-05-16,56
2021-05-23,47
2021-05-30,66
2021-06-06,66
2021-06-13,68
2021-06-20,43
2021-06-27,57
2021-07-04,63
2021-07-11,62
2021-07-18,66
2021-07-25,59
2021-08-01,64
2021-08-08,53
2021-08-15,50
2021-08-22,57
2021-08-29,40
2021-09-05,61
2021-09-12,58
2021-09-19,61
2021-09-26,72
2021-10-03,66
2021-10-10,61
2021-10-17,63
2021-10-24,76
2021-10-31,60
2021-11-07,61
2021-11-14,54
2021-11-21,62
2021-11-28,65
2021-12-05,56
2021-12-12,53
2021-12-19,53
2021-12-26,62
2022-01-02,72
2022-01-09,48
2022-01-16,53
2022-01-23,73
2022-01-30,72
2022-02-06,75
2022-02-13,63
2022-02-20,52
2022-02-27,73
2022-03-06,70
2022-03-13,48
2022-03-20,65
2022-03-27,58
2022-04-03,67
2022-04-10,49
2022-04-17,55
2022-04-24,68
2022-05-01,58
2022-05-08,73
2022-05-15,68
2022-05-22,60
2022-05-29,68
2022-06-05,68
2022-06-12,73
2022-06-19,75
2022-06-26,87
2022-07-03,100
2022-07-10,83
2022-07-17,77
2022-07-24,80
2022-07-31,79
2022-08-07,76
2022-08-14,81
2022-08-21,84
2022-08-28,76
2022-09-04,80
2022-09-11,69
2022-09-18,62
2022-09-25,74
2022-10-02,72
2022-10-09,77
2022-10-16,73
2022-10-23,81
2022-10-30,78
2022-11-06,70
2022-11-13,77
2022-11-20,63
2022-11-27,60
2022-12-04,69
2022-12-11,73
2022-12-18,75
2022-12-25,61
2023-01-01,67
2023-01-08,59
2023-01-15,53
2023-01-22,72
2023-01-29,70
2023-02-05,54
2023-02-12,54
2023-02-19,49
2023-02-26,66
2023-03-05,50
2023-03-12,59
2023-03-19,53
2023-03-26,59
2023-04-02,49
2023-04-09,39
2023-04-16,46
2023-04-23,60
2023-04-30,42
2023-05-07,56
2023-05-14,53
2023-05-21,46
2023-05-28,52
2023-06-04,62
2023-06-11,65
2023-06-18,57
2023-06-25,75
2023-07-02,61
2023-07-09,67
2023-07-16,69
2023-07-23,59
2023-07-30,63
2023-08-06,84
2023-08-13,63
2023-08-20,73
2023-08-27,69
2023-09-03,66
2023-09-10,64
2023-09-17,64
2023-09-24,65
2023-10-01,75
2023-10-08,62
2023-10-15,55
2023-10-22,55
2023-10-29,53
2023-11-05,71
2023-11-12,59
2023-11-19,61
2023-11-26,63
2023-12-03,49
2023-12-10,59
2023-12-17,49
2023-12-24,44
2023-12-31,57
2024-01-07,69
