,Real Estate
2018-12-30,73
2019-01-06,76
2019-01-13,69
2019-01-20,68
2019-01-27,69
2019-02-03,68
2019-02-10,71
2019-02-17,71
2019-02-24,70
2019-03-03,71
2019-03-10,72
2019-03-17,72
2019-03-24,68
2019-03-31,68
2019-04-07,60
2019-04-14,61
2019-04-21,53
2019-04-28,60
2019-05-05,60
2019-05-12,58
2019-05-19,63
2019-05-26,66
2019-06-02,65
2019-06-09,67
2019-06-16,68
2019-06-23,68
2019-06-30,72
2019-07-07,70
2019-07-14,73
2019-07-21,79
2019-07-28,69
2019-08-04,71
2019-08-11,68
2019-08-18,72
2019-08-25,71
2019-09-01,68
2019-09-08,73
2019-09-15,77
2019-09-22,66
2019-09-29,65
2019-10-06,65
2019-10-13,73
2019-10-20,71
2019-10-27,66
2019-11-03,63
2019-11-10,67
2019-11-17,70
2019-11-24,68
2019-12-01,67
2019-12-08,62
2019-12-15,71
2019-12-22,74
2019-12-29,73
2020-01-05,71
2020-01-12,74
2020-01-19,70
2020-01-26,65
2020-02-02,75
2020-02-09,70
2020-02-16,73
2020-02-23,71
2020-03-01,69
2020-03-08,57
2020-03-15,47
2020-03-22,38
2020-03-29,37
2020-04-05,45
2020-04-12,40
2020-04-19,43
2020-04-26,45
2020-05-03,47
2020-05-10,54
2020-05-17,71
2020-05-24,63
2020-05-31,66
2020-06-07,66
2020-06-14,73
2020-06-21,76
2020-06-28,72
2020-07-05,73
2020-07-12,74
2020-07-19,71
2020-07-26,72
2020-08-02,74
2020-08-09,72
2020-08-16,71
2020-08-23,67
2020-08-30,75
2020-09-06,70
2020-09-13,73
2020-09-20,71
2020-09-27,69
2020-10-04,65
2020-10-11,71
2020-10-18,66
2020-10-25,62
2020-11-01,54
2020-11-08,60
2020-11-15,63
2020-11-22,63
2020-11-29,66
2020-12-06,71
2020-12-13,70
2020-12-20,76
2020-12-27,69
2021-01-03,76
2021-01-10,72
2021-01-17,76
2021-01-24,66
2021-01-31,73
2021-02-07,83
2021-02-14,74
2021-02-21,72
2021-02-28,72
2021-03-07,70
2021-03-14,79
2021-03-21,82
2021-03-28,78
2021-04-04,69
2021-04-11,66
2021-04-18,76
2021-04-25,75
2021-05-02,76
2021-05-09,71
2021-05-16,67
2021-05-23,64
2021-05-30,68
2021-06-06,69
2021-06-13,69
2021-06-20,74
2021-06-27,78
2021-07-04,78
2021-07-11,79
2021-07-18,87
2021-07-25,79
2021-08-01,73
2021-08-08,69
2021-08-15,68
2021-08-22,69
2021-08-29,80
2021-09-05,70
2021-09-12,80
2021-09-19,79
2021-09-26,77
2021-10-03,79
2021-10-10,74
2021-10-17,72
2021-10-24,73
2021-10-31,88
2021-11-07,92
2021-11-14,82
2021-11-21,77
2021-11-28,77
2021-12-05,78
2021-12-12,77
2021-12-19,82
2021-12-26,83
2022-01-02,100
2022-01-09,94
2022-01-16,81
2022-01-23,84
2022-01-30,91
2022-02-06,89
2022-02-13,91
2022-02-20,94
2022-02-27,85
2022-03-06,82
2022-03-13,91
2022-03-20,89
2022-03-27,74
2022-04-03,66
2022-04-10,63
2022-04-17,84
2022-04-24,86
2022-05-01,83
2022-05-08,72
2022-05-15,73
2022-05-22,75
2022-05-29,78
2022-06-05,76
2022-06-12,72
2022-06-19,72
2022-06-26,72
2022-07-03,67
2022-07-10,63
2022-07-17,69
2022-07-24,71
2022-07-31,75
2022-08-07,88
2022-08-14,84
2022-08-21,84
2022-08-28,84
2022-09-04,77
2022-09-11,77
2022-09-18,74
2022-09-25,79
2022-10-02,72
2022-10-09,75
2022-10-16,72
2022-10-23,72
2022-10-30,73
2022-11-06,72
2022-11-13,73
2022-11-20,71
2022-11-27,70
2022-12-04,77
2022-12-11,73
2022-12-18,81
2022-12-25,79
2023-01-01,76
2023-01-08,68
2023-01-15,78
2023-01-22,74
2023-01-29,72
2023-02-05,74
2023-02-12,74
2023-02-19,76
2023-02-26,68
2023-03-05,69
2023-03-12,76
2023-03-19,73
2023-03-26,73
2023-04-02,65
2023-04-09,64
2023-04-16,74
2023-04-23,75
2023-04-30,77
2023-05-07,74
2023-05-14,73
2023-05-21,67
2023-05-28,69
2023-06-04,80
2023-06-11,80
2023-06-18,76
2023-06-25,77
2023-07-02,77
2023-07-09,79
2023-07-16,80
2023-07-23,79
2023-07-30,73
2023-08-06,76
2023-08-13,79
2023-08-20,85
2023-08-27,78
2023-09-03,75
2023-09-10,73
2023-09-17,73
2023-09-24,74
2023-10-01,72
2023-10-08,73
2023-10-15,66
2023-10-22,67
2023-10-29,73
2023-11-05,76
2023-11-12,71
2023-11-19,74
2023-11-26,74
2023-12-03,76
2023-12-10,78
2023-12-17,81
2023-12-24,77
2023-12-31,76
2024-01-07,79
