,Tobacco Products
2023-01-01,71
2023-01-08,61
2023-01-15,66
2023-01-22,71
2023-01-29,76
2023-02-05,68
2023-02-12,67
2023-02-19,65
2023-02-26,66
2023-03-05,75
2023-03-12,71
2023-03-19,72
2023-03-26,66
2023-04-02,63
2023-04-09,70
2023-04-16,74
2023-04-23,76
2023-04-30,62
2023-05-07,67
2023-05-14,66
2023-05-21,66
2023-05-28,67
2023-06-04,72
2023-06-11,74
2023-06-18,76
2023-06-25,80
2023-07-02,79
2023-07-09,74
2023-07-16,78
2023-07-23,76
2023-07-30,80
2023-08-06,78
2023-08-13,74
2023-08-20,82
2023-08-27,66
2023-09-03,77
2023-09-10,64
2023-09-17,67
2023-09-24,71
2023-10-01,69
2023-10-08,73
2023-10-15,61
2023-10-22,65
2023-10-29,63
2023-11-05,72
2023-11-12,65
2023-11-19,92
2023-11-26,76
2023-12-03,71
2023-12-10,67
2023-12-17,71
2023-12-24,66
2023-12-31,100
2024-01-07,82
2024-01-14,59
2024-01-21,69
2024-01-28,69
2024-02-04,77
2024-02-11,75
2024-02-18,70
2024-02-25,56
2024-03-03,65
2024-03-10,68
2024-03-17,62
2024-03-24,65
2024-03-31,58
2024-04-07,58
2024-04-14,57
2024-04-21,58
2024-04-28,64
2024-05-05,67
2024-05-12,64
2024-05-19,55
2024-05-26,66
2024-06-02,78
2024-06-09,72
2024-06-16,63
2024-06-23,58
2024-06-30,72
2024-07-07,71
2024-07-14,69
2024-07-21,70
2024-07-28,77
2024-08-04,72
2024-08-11,76
2024-08-18,65
2024-08-25,77
2024-09-01,63
2024-09-08,78
2024-09-15,62
2024-09-22,69
2024-09-29,58
2024-10-06,80
2024-10-13,67
2024-10-20,80
2024-10-27,66
2024-11-03,71
2024-11-10,79
2024-11-17,61
2024-11-24,69
2024-12-01,88
2024-12-08,64
2024-12-15,91
2024-12-22,81
2024-12-29,80
2025-01-05,80
2025-01-12,87
2025-01-19,86
2025-01-26,76
2025-02-02,76
2025-02-09,74
2025-02-16,82
2025-02-23,69
2025-03-02,71
2025-03-09,79
2025-03-16,72
2025-03-23,61
2025-03-30,68
2025-04-06,72
2025-04-13,64
2025-04-20,70
2025-04-27,67
2025-05-04,63
2025-05-11,55
2025-05-18,64
2025-05-25,68
2025-06-01,67
2025-06-08,70
2025-06-15,68
2025-06-22,78
2025-06-29,72
2025-07-06,59
2025-07-13,59
2025-07-20,67
2025-07-27,73
2025-08-03,60
2025-08-10,73
2025-08-17,77
2025-08-24,70
2025-08-31,73
2025-09-07,69
2025-09-14,56
2025-09-21,62
2025-09-28,64
2025-10-05,63
2025-10-12,65
2025-10-19,60
2025-10-26,60
2025-11-02,70
2025-11-09,66
2025-11-16,74
2025-11-23,53
2025-11-30,60
2025-12-07,68
2025-12-14,71
2025-12-21,76
2025-12-28,74
