,Travel Agencies & Services
2018-12-30,35
2019-01-06,31
2019-01-13,29
2019-01-20,27
2019-01-27,28
2019-02-03,28
2019-02-10,30
2019-02-17,29
2019-02-24,28
2019-03-03,28
2019-03-10,27
2019-03-17,29
2019-03-24,25
2019-03-31,25
2019-04-07,22
2019-04-14,23
2019-04-21,21
2019-04-28,23
2019-05-05,24
2019-05-12,21
2019-05-19,23
2019-05-26,26
2019-06-02,22
2019-06-09,25
2019-06-16,23
2019-06-23,25
2019-06-30,27
2019-07-07,27
2019-07-14,26
2019-07-21,24
2019-07-28,28
2019-08-04,27
2019-08-11,26
2019-08-18,27
2019-08-25,26
2019-09-01,25
2019-09-08,24
2019-09-15,24
2019-09-22,31
2019-09-29,25
2019-10-06,23
2019-10-13,26
2019-10-20,23
2019-10-27,24
2019-11-03,24
2019-11-10,23
2019-11-17,25
2019-11-24,27
2019-12-01,28
2019-12-08,27
2019-12-15,31
2019-12-22,29
2019-12-29,33
2020-01-05,25
2020-01-12,28
2020-01-19,26
2020-01-26,25
2020-02-02,27
2020-02-09,26
2020-02-16,24
2020-02-23,23
2020-03-01,24
2020-03-08,24
2020-03-15,25
2020-03-22,23
2020-03-29,24
2020-04-05,22
2020-04-12,20
2020-04-19,18
2020-04-26,21
2020-05-03,19
2020-05-10,21
2020-05-17,24
2020-05-24,23
2020-05-31,20
2020-06-07,23
2020-06-14,24
2020-06-21,25
2020-06-28,25
2020-07-05,26
2020-07-12,25
2020-07-19,24
2020-07-26,25
2020-08-02,22
2020-08-09,25
2020-08-16,22
2020-08-23,22
2020-08-30,22
2020-09-06,22
2020-09-13,22
2020-09-20,24
2020-09-27,22
2020-10-04,23
2020-10-11,26
2020-10-18,29
2020-10-25,34
2020-11-01,30
2020-11-08,34
2020-11-15,35
2020-11-22,33
2020-11-29,30
2020-12-06,32
2020-12-13,32
2020-12-20,36
2020-12-27,35
2021-01-03,30
2021-01-10,33
2021-01-17,31
2021-01-24,34
2021-01-31,31
2021-02-07,32
2021-02-14,29
2021-02-21,28
2021-02-28,29
2021-03-07,28
2021-03-14,32
2021-03-21,29
2021-03-28,31
2021-04-04,31
2021-04-11,27
2021-04-18,33
2021-04-25,36
2021-05-02,41
2021-05-09,47
2021-05-16,47
2021-05-23,48
2021-05-30,52
2021-06-06,51
2021-06-13,49
2021-06-20,45
2021-06-27,46
2021-07-04,37
2021-07-11,37
2021-07-18,37
2021-07-25,38
2021-08-01,36
2021-08-08,36
2021-08-15,42
2021-08-22,45
2021-08-29,44
2021-09-05,37
2021-09-12,35
2021-09-19,38
2021-09-26,35
2021-10-03,37
2021-10-10,32
2021-10-17,36
2021-10-24,34
2021-10-31,32
2021-11-07,33
2021-11-14,31
2021-11-21,31
2021-11-28,34
2021-12-05,31
2021-12-12,37
2021-12-19,35
2021-12-26,41
2022-01-02,47
2022-01-09,45
2022-01-16,41
2022-01-23,45
2022-01-30,48
2022-02-06,48
2022-02-13,51
2022-02-20,47
2022-02-27,51
2022-03-06,43
2022-03-13,47
2022-03-20,46
2022-03-27,43
2022-04-03,42
2022-04-10,39
2022-04-17,46
2022-04-24,48
2022-05-01,49
2022-05-08,50
2022-05-15,45
2022-05-22,48
2022-05-29,54
2022-06-05,72
2022-06-12,69
2022-06-19,75
2022-06-26,76
2022-07-03,70
2022-07-10,64
2022-07-17,66
2022-07-24,61
2022-07-31,63
2022-08-07,58
2022-08-14,59
2022-08-21,56
2022-08-28,62
2022-09-04,92
2022-09-11,84
2022-09-18,86
2022-09-25,82
2022-10-02,85
2022-10-09,89
2022-10-16,82
2022-10-23,82
2022-10-30,74
2022-11-06,70
2022-11-13,70
2022-11-20,70
2022-11-27,66
2022-12-04,69
2022-12-11,66
2022-12-18,72
2022-12-25,77
2023-01-01,70
2023-01-08,65
2023-01-15,65
2023-01-22,69
2023-01-29,65
2023-02-05,62
2023-02-12,65
2023-02-19,66
2023-02-26,61
2023-03-05,65
2023-03-12,59
2023-03-19,59
2023-03-26,57
2023-04-02,60
2023-04-09,55
2023-04-16,58
2023-04-23,60
2023-04-30,57
2023-05-07,60
2023-05-14,57
2023-05-21,57
2023-05-28,58
2023-06-04,60
2023-06-11,64
2023-06-18,69
2023-06-25,69
2023-07-02,66
2023-07-09,65
2023-07-16,66
2023-07-23,70
2023-07-30,66
2023-08-06,65
2023-08-13,65
2023-08-20,65
2023-08-27,64
2023-09-03,63
2023-09-10,59
2023-09-17,59
2023-09-24,66
2023-10-01,63
2023-10-08,57
2023-10-15,60
2023-10-22,58
2023-10-29,57
2023-11-05,54
2023-11-12,60
2023-11-19,64
2023-11-26,62
2023-12-03,60
2023-12-10,59
2023-12-17,64
2023-12-24,66
2023-12-31,100
2024-01-07,91
