,Unemployment
2014-12-28,0
2015-01-04,0
2015-01-11,0
2015-01-18,32
2015-01-25,54
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,35
2015-03-15,0
2015-03-22,34
2015-03-29,39
2015-04-05,48
2015-04-12,0
2015-04-19,39
2015-04-26,34
2015-05-03,0
2015-05-10,34
2015-05-17,38
2015-05-24,0
2015-05-31,32
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,33
2015-07-12,32
2015-07-19,0
2015-07-26,42
2015-08-02,45
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,33
2015-09-06,0
2015-09-13,38
2015-09-20,0
2015-09-27,40
2015-10-04,0
2015-10-11,29
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,34
2015-11-15,40
2015-11-22,35
2015-11-29,33
2015-12-06,31
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,36
2016-01-17,0
2016-01-24,0
2016-01-31,37
2016-02-07,0
2016-02-14,0
2016-02-21,38
2016-02-28,0
2016-03-06,0
2016-03-13,35
2016-03-20,0
2016-03-27,33
2016-04-03,43
2016-04-10,0
2016-04-17,32
2016-04-24,0
2016-05-01,32
2016-05-08,0
2016-05-15,38
2016-05-22,33
2016-05-29,26
2016-06-05,32
2016-06-12,0
2016-06-19,28
2016-06-26,0
2016-07-03,36
2016-07-10,56
2016-07-17,0
2016-07-24,0
2016-07-31,36
2016-08-07,30
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,28
2016-10-02,25
2016-10-09,26
2016-10-16,0
2016-10-23,28
2016-10-30,25
2016-11-06,0
2016-11-13,27
2016-11-20,27
2016-11-27,37
2016-12-04,32
2016-12-11,31
2016-12-18,23
2016-12-25,0
2017-01-01,31
2017-01-08,33
2017-01-15,44
2017-01-22,33
2017-01-29,0
2017-02-05,42
2017-02-12,22
2017-02-19,27
2017-02-26,38
2017-03-05,51
2017-03-12,53
2017-03-19,0
2017-03-26,0
2017-04-02,28
2017-04-09,0
2017-04-16,27
2017-04-23,41
2017-04-30,33
2017-05-07,36
2017-05-14,31
2017-05-21,33
2017-05-28,0
2017-06-04,0
2017-06-11,25
2017-06-18,33
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,41
2017-07-30,35
2017-08-06,34
2017-08-13,44
2017-08-20,35
2017-08-27,34
2017-09-03,24
2017-09-10,0
2017-09-17,0
2017-09-24,25
2017-10-01,0
2017-10-08,40
2017-10-15,0
2017-10-22,37
2017-10-29,0
2017-11-05,40
2017-11-12,26
2017-11-19,50
2017-11-26,36
2017-12-03,29
2017-12-10,0
2017-12-17,23
2017-12-24,29
2017-12-31,0
2018-01-07,0
2018-01-14,37
2018-01-21,37
2018-01-28,29
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,35
2018-03-04,0
2018-03-11,26
2018-03-18,0
2018-03-25,0
2018-04-01,46
2018-04-08,47
2018-04-15,51
2018-04-22,31
2018-04-29,49
2018-05-06,27
2018-05-13,32
2018-05-20,0
2018-05-27,51
2018-06-03,34
2018-06-10,29
2018-06-17,54
2018-06-24,41
2018-07-01,41
2018-07-08,32
2018-07-15,39
2018-07-22,0
2018-07-29,100
2018-08-05,72
2018-08-12,47
2018-08-19,45
2018-08-26,40
2018-09-02,47
2018-09-09,47
2018-09-16,29
2018-09-23,25
2018-09-30,30
2018-10-07,39
2018-10-14,37
2018-10-21,42
2018-10-28,25
2018-11-04,33
2018-11-11,25
2018-11-18,41
2018-11-25,0
2018-12-02,50
2018-12-09,23
2018-12-16,22
2018-12-23,0
2018-12-30,0
2019-01-06,24
2019-01-13,0
2019-01-20,36
2019-01-27,46
2019-02-03,25
2019-02-10,0
2019-02-17,31
2019-02-24,62
2019-03-03,32
2019-03-10,39
2019-03-17,42
2019-03-24,40
2019-03-31,35
2019-04-07,33
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,25
2019-05-12,23
2019-05-19,95
2019-05-26,85
2019-06-02,30
2019-06-09,0
2019-06-16,24
2019-06-23,0
2019-06-30,32
2019-07-07,52
2019-07-14,37
2019-07-21,76
2019-07-28,69
2019-08-04,31
2019-08-11,24
2019-08-18,0
2019-08-25,36
2019-09-01,30
2019-09-08,48
2019-09-15,37
2019-09-22,37
2019-09-29,39
2019-10-06,23
2019-10-13,23
2019-10-20,36
2019-10-27,29
2019-11-03,38
2019-11-10,0
2019-11-17,25
2019-11-24,47
2019-12-01,0
2019-12-08,41
2019-12-15,56
2019-12-22,57
2019-12-29,38
2020-01-05,49
