,Vehicle Licensing & Registration
2014-12-28,35
2015-01-04,31
2015-01-11,41
2015-01-18,44
2015-01-25,50
2015-02-01,37
2015-02-08,51
2015-02-15,42
2015-02-22,48
2015-03-01,36
2015-03-08,55
2015-03-15,39
2015-03-22,32
2015-03-29,29
2015-04-05,44
2015-04-12,27
2015-04-19,41
2015-04-26,43
2015-05-03,47
2015-05-10,48
2015-05-17,54
2015-05-24,51
2015-05-31,36
2015-06-07,43
2015-06-14,51
2015-06-21,60
2015-06-28,60
2015-07-05,54
2015-07-12,58
2015-07-19,48
2015-07-26,47
2015-08-02,53
2015-08-09,55
2015-08-16,55
2015-08-23,44
2015-08-30,54
2015-09-06,48
2015-09-13,57
2015-09-20,52
2015-09-27,62
2015-10-04,58
2015-10-11,58
2015-10-18,55
2015-10-25,51
2015-11-01,61
2015-11-08,46
2015-11-15,64
2015-11-22,67
2015-11-29,63
2015-12-06,63
2015-12-13,66
2015-12-20,71
2015-12-27,77
2016-01-03,73
2016-01-10,70
2016-01-17,65
2016-01-24,64
2016-01-31,64
2016-02-07,66
2016-02-14,70
2016-02-21,65
2016-02-28,74
2016-03-06,59
2016-03-13,57
2016-03-20,54
2016-03-27,63
2016-04-03,58
2016-04-10,43
2016-04-17,56
2016-04-24,60
2016-05-01,79
2016-05-08,58
2016-05-15,50
2016-05-22,65
2016-05-29,71
2016-06-05,62
2016-06-12,50
2016-06-19,55
2016-06-26,53
2016-07-03,57
2016-07-10,57
2016-07-17,54
2016-07-24,58
2016-07-31,73
2016-08-07,62
2016-08-14,57
2016-08-21,53
2016-08-28,54
2016-09-04,59
2016-09-11,56
2016-09-18,61
2016-09-25,64
2016-10-02,50
2016-10-09,55
2016-10-16,57
2016-10-23,52
2016-10-30,56
2016-11-06,57
2016-11-13,49
2016-11-20,79
2016-11-27,67
2016-12-04,66
2016-12-11,49
2016-12-18,79
2016-12-25,64
2017-01-01,50
2017-01-08,48
2017-01-15,58
2017-01-22,47
2017-01-29,53
2017-02-05,51
2017-02-12,68
2017-02-19,69
2017-02-26,61
2017-03-05,58
2017-03-12,52
2017-03-19,63
2017-03-26,46
2017-04-02,70
2017-04-09,42
2017-04-16,65
2017-04-23,67
2017-04-30,64
2017-05-07,52
2017-05-14,72
2017-05-21,62
2017-05-28,58
2017-06-04,51
2017-06-11,59
2017-06-18,59
2017-06-25,49
2017-07-02,54
2017-07-09,68
2017-07-16,69
2017-07-23,58
2017-07-30,52
2017-08-06,68
2017-08-13,75
2017-08-20,61
2017-08-27,64
2017-09-03,74
2017-09-10,59
2017-09-17,64
2017-09-24,69
2017-10-01,63
2017-10-08,59
2017-10-15,60
2017-10-22,60
2017-10-29,68
2017-11-05,57
2017-11-12,67
2017-11-19,75
2017-11-26,47
2017-12-03,71
2017-12-10,70
2017-12-17,73
2017-12-24,70
2017-12-31,66
2018-01-07,82
2018-01-14,77
2018-01-21,79
2018-01-28,67
2018-02-04,79
2018-02-11,74
2018-02-18,79
2018-02-25,70
2018-03-04,80
2018-03-11,67
2018-03-18,87
2018-03-25,84
2018-04-01,67
2018-04-08,60
2018-04-15,63
2018-04-22,72
2018-04-29,80
2018-05-06,75
2018-05-13,96
2018-05-20,84
2018-05-27,77
2018-06-03,80
2018-06-10,78
2018-06-17,81
2018-06-24,76
2018-07-01,84
2018-07-08,71
2018-07-15,76
2018-07-22,68
2018-07-29,89
2018-08-05,80
2018-08-12,83
2018-08-19,82
2018-08-26,86
2018-09-02,84
2018-09-09,80
2018-09-16,71
2018-09-23,85
2018-09-30,91
2018-10-07,87
2018-10-14,85
2018-10-21,61
2018-10-28,81
2018-11-04,65
2018-11-11,61
2018-11-18,66
2018-11-25,71
2018-12-02,68
2018-12-09,76
2018-12-16,72
2018-12-23,72
2018-12-30,78
2019-01-06,83
2019-01-13,78
2019-01-20,90
2019-01-27,80
2019-02-03,76
2019-02-10,86
2019-02-17,95
2019-02-24,90
2019-03-03,81
2019-03-10,74
2019-03-17,67
2019-03-24,81
2019-03-31,76
2019-04-07,62
2019-04-14,73
2019-04-21,61
2019-04-28,78
2019-05-05,75
2019-05-12,63
2019-05-19,65
2019-05-26,71
2019-06-02,70
2019-06-09,74
2019-06-16,81
2019-06-23,83
2019-06-30,75
2019-07-07,83
2019-07-14,86
2019-07-21,81
2019-07-28,88
2019-08-04,93
2019-08-11,82
2019-08-18,88
2019-08-25,83
2019-09-01,98
2019-09-08,93
2019-09-15,88
2019-09-22,78
2019-09-29,79
2019-10-06,88
2019-10-13,90
2019-10-20,88
2019-10-27,87
2019-11-03,78
2019-11-10,66
2019-11-17,80
2019-11-24,84
2019-12-01,96
2019-12-08,73
2019-12-15,94
2019-12-22,84
2019-12-29,100
2020-01-05,85
