,Vehicle Shopping
2023-01-01,66
2023-01-08,67
2023-01-15,69
2023-01-22,68
2023-01-29,76
2023-02-05,79
2023-02-12,75
2023-02-19,75
2023-02-26,74
2023-03-05,65
2023-03-12,65
2023-03-19,67
2023-03-26,70
2023-04-02,74
2023-04-09,63
2023-04-16,68
2023-04-23,76
2023-04-30,72
2023-05-07,74
2023-05-14,72
2023-05-21,71
2023-05-28,82
2023-06-04,80
2023-06-11,80
2023-06-18,73
2023-06-25,79
2023-07-02,83
2023-07-09,79
2023-07-16,76
2023-07-23,74
2023-07-30,80
2023-08-06,76
2023-08-13,76
2023-08-20,70
2023-08-27,74
2023-09-03,82
2023-09-10,76
2023-09-17,73
2023-09-24,71
2023-10-01,79
2023-10-08,70
2023-10-15,70
2023-10-22,66
2023-10-29,72
2023-11-05,71
2023-11-12,71
2023-11-19,73
2023-11-26,73
2023-12-03,81
2023-12-10,84
2023-12-17,79
2023-12-24,77
2023-12-31,90
2024-01-07,81
2024-01-14,77
2024-01-21,77
2024-01-28,85
2024-02-04,78
2024-02-11,75
2024-02-18,70
2024-02-25,71
2024-03-03,73
2024-03-10,69
2024-03-17,75
2024-03-24,75
2024-03-31,74
2024-04-07,63
2024-04-14,67
2024-04-21,64
2024-04-28,74
2024-05-05,74
2024-05-12,77
2024-05-19,67
2024-05-26,78
2024-06-02,78
2024-06-09,74
2024-06-16,77
2024-06-23,73
2024-06-30,80
2024-07-07,81
2024-07-14,75
2024-07-21,74
2024-07-28,77
2024-08-04,74
2024-08-11,76
2024-08-18,75
2024-08-25,79
2024-09-01,79
2024-09-08,83
2024-09-15,67
2024-09-22,65
2024-09-29,84
2024-10-06,75
2024-10-13,71
2024-10-20,72
2024-10-27,78
2024-11-03,78
2024-11-10,71
2024-11-17,74
2024-11-24,75
2024-12-01,82
2024-12-08,76
2024-12-15,78
2024-12-22,77
2024-12-29,68
2025-01-05,68
2025-01-12,78
2025-01-19,79
2025-01-26,74
2025-02-02,87
2025-02-09,77
2025-02-16,75
2025-02-23,80
2025-03-02,83
2025-03-09,74
2025-03-16,77
2025-03-23,76
2025-03-30,84
2025-04-06,67
2025-04-13,70
2025-04-20,79
2025-04-27,88
2025-05-04,84
2025-05-11,84
2025-05-18,95
2025-05-25,94
2025-06-01,89
2025-06-08,84
2025-06-15,92
2025-06-22,100
2025-06-29,97
2025-07-06,87
2025-07-13,89
2025-07-20,82
2025-07-27,85
2025-08-03,90
2025-08-10,86
2025-08-17,88
2025-08-24,81
2025-08-31,87
2025-09-07,74
2025-09-14,77
2025-09-21,81
2025-09-28,81
2025-10-05,80
2025-10-12,79
2025-10-19,80
2025-10-26,76
2025-11-02,81
2025-11-09,81
2025-11-16,88
2025-11-23,75
2025-11-30,66
2025-12-07,76
2025-12-14,82
2025-12-21,86
2025-12-28,89
