,Lawyer
2018-12-30,78
2019-01-06,64
2019-01-13,39
2019-01-20,70
2019-01-27,55
2019-02-03,57
2019-02-10,43
2019-02-17,61
2019-02-24,76
2019-03-03,77
2019-03-10,56
2019-03-17,50
2019-03-24,79
2019-03-31,100
2019-04-07,51
2019-04-14,64
2019-04-21,63
2019-04-28,71
2019-05-05,46
2019-05-12,45
2019-05-19,43
2019-05-26,61
2019-06-02,83
2019-06-09,89
2019-06-16,65
2019-06-23,45
2019-06-30,48
2019-07-07,69
2019-07-14,69
2019-07-21,86
2019-07-28,79
2019-08-04,49
2019-08-11,0
2019-08-18,55
2019-08-25,61
2019-09-01,37
2019-09-08,47
2019-09-15,74
2019-09-22,40
2019-09-29,60
2019-10-06,46
2019-10-13,0
2019-10-20,57
2019-10-27,47
2019-11-03,53
2019-11-10,48
2019-11-17,56
2019-11-24,68
2019-12-01,41
2019-12-08,45
2019-12-15,0
2019-12-22,0
2019-12-29,60
2020-01-05,42
2020-01-12,0
2020-01-19,0
2020-01-26,45
2020-02-02,33
2020-02-09,49
2020-02-16,45
2020-02-23,33
2020-03-01,64
2020-03-08,0
2020-03-15,53
2020-03-22,34
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,47
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,55
2020-06-28,0
2020-07-05,0
2020-07-12,50
2020-07-19,49
2020-07-26,54
2020-08-02,0
2020-08-09,0
2020-08-16,68
2020-08-23,96
2020-08-30,54
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,54
2020-10-04,39
2020-10-11,41
2020-10-18,39
2020-10-25,54
2020-11-01,0
2020-11-08,40
2020-11-15,0
2020-11-22,62
2020-11-29,0
2020-12-06,37
2020-12-13,0
2020-12-20,50
2020-12-27,62
2021-01-03,73
2021-01-10,41
2021-01-17,0
2021-01-24,0
2021-01-31,32
2021-02-07,42
2021-02-14,40
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,38
2021-03-21,38
2021-03-28,48
2021-04-04,35
2021-04-11,0
2021-04-18,52
2021-04-25,46
2021-05-02,31
2021-05-09,52
2021-05-16,34
2021-05-23,42
2021-05-30,39
2021-06-06,28
2021-06-13,49
2021-06-20,0
2021-06-27,39
2021-07-04,41
2021-07-11,34
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,40
2021-08-22,0
2021-08-29,37
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,44
2021-10-03,33
2021-10-10,35
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,44
2021-11-14,45
2021-11-21,37
2021-11-28,60
2021-12-05,0
2021-12-12,0
2021-12-19,47
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,39
2022-01-23,32
2022-01-30,40
2022-02-06,32
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,38
2022-03-13,28
2022-03-20,33
2022-03-27,0
2022-04-03,0
2022-04-10,25
2022-04-17,21
2022-04-24,0
2022-05-01,31
2022-05-08,22
2022-05-15,47
2022-05-22,39
2022-05-29,39
2022-06-05,30
2022-06-12,25
2022-06-19,42
2022-06-26,29
2022-07-03,0
2022-07-10,40
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,26
2022-08-14,32
2022-08-21,33
2022-08-28,23
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,32
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,23
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,34
2023-01-15,0
2023-01-22,0
2023-01-29,31
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,24
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,25
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,44
2023-06-18,24
2023-06-25,0
2023-07-02,27
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,23
2023-08-13,24
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,23
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,20
2023-11-12,23
2023-11-19,0
2023-11-26,33
2023-12-03,0
2023-12-10,23
2023-12-17,0
2023-12-24,32
2023-12-31,0
2024-01-07,25
