,Legal Services
2014-12-28,12
2015-01-04,9
2015-01-11,8
2015-01-18,9
2015-01-25,14
2015-02-01,7
2015-02-08,12
2015-02-15,9
2015-02-22,8
2015-03-01,10
2015-03-08,9
2015-03-15,5
2015-03-22,10
2015-03-29,9
2015-04-05,8
2015-04-12,0
2015-04-19,7
2015-04-26,10
2015-05-03,8
2015-05-10,12
2015-05-17,12
2015-05-24,10
2015-05-31,7
2015-06-07,10
2015-06-14,8
2015-06-21,7
2015-06-28,11
2015-07-05,10
2015-07-12,11
2015-07-19,13
2015-07-26,13
2015-08-02,13
2015-08-09,15
2015-08-16,14
2015-08-23,10
2015-08-30,11
2015-09-06,11
2015-09-13,9
2015-09-20,11
2015-09-27,14
2015-10-04,11
2015-10-11,9
2015-10-18,10
2015-10-25,13
2015-11-01,11
2015-11-08,13
2015-11-15,12
2015-11-22,10
2015-11-29,11
2015-12-06,10
2015-12-13,10
2015-12-20,7
2015-12-27,10
2016-01-03,13
2016-01-10,8
2016-01-17,8
2016-01-24,11
2016-01-31,10
2016-02-07,14
2016-02-14,10
2016-02-21,9
2016-02-28,14
2016-03-06,10
2016-03-13,9
2016-03-20,10
2016-03-27,12
2016-04-03,9
2016-04-10,9
2016-04-17,9
2016-04-24,12
2016-05-01,12
2016-05-08,11
2016-05-15,8
2016-05-22,15
2016-05-29,11
2016-06-05,17
2016-06-12,16
2016-06-19,12
2016-06-26,10
2016-07-03,16
2016-07-10,15
2016-07-17,12
2016-07-24,12
2016-07-31,11
2016-08-07,16
2016-08-14,15
2016-08-21,13
2016-08-28,12
2016-09-04,10
2016-09-11,12
2016-09-18,100
2016-09-25,92
2016-10-02,49
2016-10-09,36
2016-10-16,30
2016-10-23,28
2016-10-30,20
2016-11-06,18
2016-11-13,16
2016-11-20,20
2016-11-27,13
2016-12-04,17
2016-12-11,13
2016-12-18,11
2016-12-25,10
2017-01-01,18
2017-01-08,13
2017-01-15,18
2017-01-22,16
2017-01-29,12
2017-02-05,16
2017-02-12,19
2017-02-19,15
2017-02-26,15
2017-03-05,9
2017-03-12,20
2017-03-19,16
2017-03-26,15
2017-04-02,14
2017-04-09,11
2017-04-16,12
2017-04-23,13
2017-04-30,17
2017-05-07,12
2017-05-14,17
2017-05-21,15
2017-05-28,10
2017-06-04,13
2017-06-11,12
2017-06-18,12
2017-06-25,9
2017-07-02,10
2017-07-09,14
2017-07-16,18
2017-07-23,16
2017-07-30,14
2017-08-06,18
2017-08-13,20
2017-08-20,13
2017-08-27,15
2017-09-03,13
2017-09-10,18
2017-09-17,13
2017-09-24,17
2017-10-01,15
2017-10-08,16
2017-10-15,12
2017-10-22,13
2017-10-29,12
2017-11-05,12
2017-11-12,14
2017-11-19,12
2017-11-26,9
2017-12-03,17
2017-12-10,13
2017-12-17,14
2017-12-24,11
2017-12-31,16
2018-01-07,17
2018-01-14,15
2018-01-21,11
2018-01-28,12
2018-02-04,8
2018-02-11,13
2018-02-18,12
2018-02-25,13
2018-03-04,14
2018-03-11,15
2018-03-18,11
2018-03-25,15
2018-04-01,14
2018-04-08,7
2018-04-15,9
2018-04-22,15
2018-04-29,18
2018-05-06,16
2018-05-13,16
2018-05-20,15
2018-05-27,13
2018-06-03,12
2018-06-10,13
2018-06-17,14
2018-06-24,10
2018-07-01,15
2018-07-08,13
2018-07-15,17
2018-07-22,16
2018-07-29,15
2018-08-05,13
2018-08-12,14
2018-08-19,20
2018-08-26,23
2018-09-02,19
2018-09-09,22
2018-09-16,18
2018-09-23,20
2018-09-30,17
2018-10-07,24
2018-10-14,23
2018-10-21,24
2018-10-28,24
2018-11-04,24
2018-11-11,27
2018-11-18,25
2018-11-25,33
2018-12-02,33
2018-12-09,26
2018-12-16,26
2018-12-23,25
2018-12-30,23
2019-01-06,18
2019-01-13,20
2019-01-20,16
2019-01-27,18
2019-02-03,19
2019-02-10,21
2019-02-17,17
2019-02-24,24
2019-03-03,16
2019-03-10,19
2019-03-17,23
2019-03-24,21
2019-03-31,19
2019-04-07,18
2019-04-14,16
2019-04-21,17
2019-04-28,20
2019-05-05,19
2019-05-12,22
2019-05-19,21
2019-05-26,22
2019-06-02,22
2019-06-09,24
2019-06-16,23
2019-06-23,25
2019-06-30,25
2019-07-07,25
2019-07-14,23
2019-07-21,25
2019-07-28,26
2019-08-04,27
2019-08-11,19
2019-08-18,21
2019-08-25,22
2019-09-01,27
2019-09-08,22
2019-09-15,20
2019-09-22,23
2019-09-29,20
2019-10-06,24
2019-10-13,31
2019-10-20,24
2019-10-27,27
2019-11-03,23
2019-11-10,31
2019-11-17,32
2019-11-24,27
2019-12-01,25
2019-12-08,24
2019-12-15,26
2019-12-22,22
2019-12-29,24
2020-01-05,19
