,Libraries & Museums
2023-01-01,52
2023-01-08,62
2023-01-15,60
2023-01-22,60
2023-01-29,66
2023-02-05,60
2023-02-12,58
2023-02-19,68
2023-02-26,60
2023-03-05,66
2023-03-12,62
2023-03-19,64
2023-03-26,59
2023-04-02,63
2023-04-09,35
2023-04-16,54
2023-04-23,62
2023-04-30,78
2023-05-07,63
2023-05-14,62
2023-05-21,60
2023-05-28,64
2023-06-04,60
2023-06-11,65
2023-06-18,63
2023-06-25,59
2023-07-02,66
2023-07-09,64
2023-07-16,71
2023-07-23,68
2023-07-30,65
2023-08-06,68
2023-08-13,79
2023-08-20,77
2023-08-27,73
2023-09-03,71
2023-09-10,61
2023-09-17,73
2023-09-24,67
2023-10-01,75
2023-10-08,59
2023-10-15,64
2023-10-22,63
2023-10-29,55
2023-11-05,59
2023-11-12,61
2023-11-19,59
2023-11-26,67
2023-12-03,63
2023-12-10,62
2023-12-17,60
2023-12-24,51
2023-12-31,66
2024-01-07,66
2024-01-14,70
2024-01-21,63
2024-01-28,68
2024-02-04,64
2024-02-11,70
2024-02-18,62
2024-02-25,67
2024-03-03,59
2024-03-10,67
2024-03-17,77
2024-03-24,64
2024-03-31,63
2024-04-07,49
2024-04-14,63
2024-04-21,69
2024-04-28,61
2024-05-05,100
2024-05-12,77
2024-05-19,56
2024-05-26,70
2024-06-02,62
2024-06-09,63
2024-06-16,67
2024-06-23,62
2024-06-30,78
2024-07-07,81
2024-07-14,67
2024-07-21,73
2024-07-28,72
2024-08-04,77
2024-08-11,81
2024-08-18,71
2024-08-25,63
2024-09-01,64
2024-09-08,63
2024-09-15,56
2024-09-22,58
2024-09-29,65
2024-10-06,69
2024-10-13,67
2024-10-20,74
2024-10-27,72
2024-11-03,63
2024-11-10,60
2024-11-17,64
2024-11-24,70
2024-12-01,57
2024-12-08,62
2024-12-15,65
2024-12-22,65
2024-12-29,63
2025-01-05,70
2025-01-12,60
2025-01-19,62
2025-01-26,68
2025-02-02,65
2025-02-09,70
2025-02-16,70
2025-02-23,62
2025-03-02,69
2025-03-09,60
2025-03-16,94
2025-03-23,67
2025-03-30,50
2025-04-06,60
2025-04-13,48
2025-04-20,57
2025-04-27,57
2025-05-04,89
2025-05-11,58
2025-05-18,62
2025-05-25,73
2025-06-01,58
2025-06-08,56
2025-06-15,64
2025-06-22,66
2025-06-29,63
2025-07-06,68
2025-07-13,62
2025-07-20,59
2025-07-27,67
2025-08-03,70
2025-08-10,68
2025-08-17,67
2025-08-24,63
2025-08-31,65
2025-09-07,60
2025-09-14,64
2025-09-21,67
2025-09-28,65
2025-10-05,69
2025-10-12,66
2025-10-19,85
2025-10-26,64
2025-11-02,65
2025-11-09,60
2025-11-16,62
2025-11-23,54
2025-11-30,57
2025-12-07,55
2025-12-14,66
2025-12-21,58
2025-12-28,65
2026-01-04,66
