,Luggage
2014-12-28,36
2015-01-04,39
2015-01-11,26
2015-01-18,45
2015-01-25,42
2015-02-01,45
2015-02-08,59
2015-02-15,47
2015-02-22,47
2015-03-01,41
2015-03-08,36
2015-03-15,28
2015-03-22,39
2015-03-29,49
2015-04-05,40
2015-04-12,38
2015-04-19,42
2015-04-26,40
2015-05-03,22
2015-05-10,38
2015-05-17,31
2015-05-24,39
2015-05-31,38
2015-06-07,39
2015-06-14,59
2015-06-21,43
2015-06-28,41
2015-07-05,36
2015-07-12,42
2015-07-19,46
2015-07-26,77
2015-08-02,53
2015-08-09,52
2015-08-16,36
2015-08-23,44
2015-08-30,53
2015-09-06,42
2015-09-13,57
2015-09-20,50
2015-09-27,33
2015-10-04,39
2015-10-11,37
2015-10-18,32
2015-10-25,38
2015-11-01,38
2015-11-08,38
2015-11-15,37
2015-11-22,35
2015-11-29,38
2015-12-06,29
2015-12-13,57
2015-12-20,52
2015-12-27,61
2016-01-03,43
2016-01-10,36
2016-01-17,29
2016-01-24,45
2016-01-31,26
2016-02-07,47
2016-02-14,44
2016-02-21,27
2016-02-28,43
2016-03-06,38
2016-03-13,31
2016-03-20,23
2016-03-27,49
2016-04-03,57
2016-04-10,49
2016-04-17,46
2016-04-24,30
2016-05-01,41
2016-05-08,48
2016-05-15,28
2016-05-22,0
2016-05-29,48
2016-06-05,28
2016-06-12,52
2016-06-19,49
2016-06-26,35
2016-07-03,57
2016-07-10,43
2016-07-17,60
2016-07-24,34
2016-07-31,42
2016-08-07,61
2016-08-14,44
2016-08-21,45
2016-08-28,50
2016-09-04,42
2016-09-11,37
2016-09-18,53
2016-09-25,40
2016-10-02,46
2016-10-09,41
2016-10-16,26
2016-10-23,46
2016-10-30,27
2016-11-06,34
2016-11-13,44
2016-11-20,64
2016-11-27,51
2016-12-04,55
2016-12-11,36
2016-12-18,50
2016-12-25,62
2017-01-01,68
2017-01-08,68
2017-01-15,29
2017-01-22,49
2017-01-29,55
2017-02-05,67
2017-02-12,64
2017-02-19,64
2017-02-26,53
2017-03-05,37
2017-03-12,51
2017-03-19,61
2017-03-26,49
2017-04-02,57
2017-04-09,60
2017-04-16,49
2017-04-23,53
2017-04-30,40
2017-05-07,41
2017-05-14,38
2017-05-21,36
2017-05-28,45
2017-06-04,40
2017-06-11,52
2017-06-18,59
2017-06-25,67
2017-07-02,49
2017-07-09,61
2017-07-16,60
2017-07-23,54
2017-07-30,66
2017-08-06,68
2017-08-13,55
2017-08-20,55
2017-08-27,58
2017-09-03,65
2017-09-10,55
2017-09-17,55
2017-09-24,51
2017-10-01,37
2017-10-08,40
2017-10-15,36
2017-10-22,41
2017-10-29,58
2017-11-05,44
2017-11-12,38
2017-11-19,66
2017-11-26,48
2017-12-03,51
2017-12-10,68
2017-12-17,45
2017-12-24,60
2017-12-31,59
2018-01-07,68
2018-01-14,62
2018-01-21,49
2018-01-28,39
2018-02-04,41
2018-02-11,50
2018-02-18,41
2018-02-25,55
2018-03-04,48
2018-03-11,54
2018-03-18,63
2018-03-25,58
2018-04-01,47
2018-04-08,52
2018-04-15,70
2018-04-22,49
2018-04-29,48
2018-05-06,42
2018-05-13,36
2018-05-20,40
2018-05-27,46
2018-06-03,49
2018-06-10,49
2018-06-17,37
2018-06-24,67
2018-07-01,48
2018-07-08,58
2018-07-15,59
2018-07-22,62
2018-07-29,72
2018-08-05,61
2018-08-12,65
2018-08-19,67
2018-08-26,74
2018-09-02,60
2018-09-09,69
2018-09-16,64
2018-09-23,62
2018-09-30,55
2018-10-07,59
2018-10-14,42
2018-10-21,41
2018-10-28,83
2018-11-04,58
2018-11-11,64
2018-11-18,55
2018-11-25,79
2018-12-02,47
2018-12-09,64
2018-12-16,76
2018-12-23,84
2018-12-30,87
2019-01-06,81
2019-01-13,100
2019-01-20,76
2019-01-27,71
2019-02-03,59
2019-02-10,80
2019-02-17,89
2019-02-24,74
2019-03-03,65
2019-03-10,61
2019-03-17,80
2019-03-24,71
2019-03-31,65
2019-04-07,77
2019-04-14,81
2019-04-21,35
2019-04-28,44
2019-05-05,48
2019-05-12,46
2019-05-19,47
2019-05-26,48
2019-06-02,51
2019-06-09,54
2019-06-16,56
2019-06-23,47
2019-06-30,55
2019-07-07,64
2019-07-14,64
2019-07-21,61
2019-07-28,80
2019-08-04,72
2019-08-11,66
2019-08-18,77
2019-08-25,62
2019-09-01,70
2019-09-08,71
2019-09-15,75
2019-09-22,66
2019-09-29,69
2019-10-06,53
2019-10-13,63
2019-10-20,65
2019-10-27,72
2019-11-03,70
2019-11-10,69
2019-11-17,65
2019-11-24,74
2019-12-01,71
2019-12-08,75
2019-12-15,66
2019-12-22,74
2019-12-29,95
2020-01-05,75
