,Luxury Goods
2014-12-28,25
2015-01-04,24
2015-01-11,23
2015-01-18,22
2015-01-25,24
2015-02-01,25
2015-02-08,25
2015-02-15,25
2015-02-22,26
2015-03-01,22
2015-03-08,28
2015-03-15,27
2015-03-22,26
2015-03-29,27
2015-04-05,29
2015-04-12,26
2015-04-19,26
2015-04-26,25
2015-05-03,25
2015-05-10,25
2015-05-17,26
2015-05-24,27
2015-05-31,26
2015-06-07,26
2015-06-14,26
2015-06-21,31
2015-06-28,33
2015-07-05,34
2015-07-12,36
2015-07-19,35
2015-07-26,33
2015-08-02,41
2015-08-09,33
2015-08-16,32
2015-08-23,32
2015-08-30,34
2015-09-06,33
2015-09-13,32
2015-09-20,34
2015-09-27,32
2015-10-04,31
2015-10-11,33
2015-10-18,30
2015-10-25,32
2015-11-01,32
2015-11-08,34
2015-11-15,30
2015-11-22,30
2015-11-29,30
2015-12-06,30
2015-12-13,30
2015-12-20,31
2015-12-27,30
2016-01-03,28
2016-01-10,27
2016-01-17,30
2016-01-24,28
2016-01-31,31
2016-02-07,34
2016-02-14,30
2016-02-21,32
2016-02-28,31
2016-03-06,50
2016-03-13,39
2016-03-20,34
2016-03-27,34
2016-04-03,33
2016-04-10,32
2016-04-17,32
2016-04-24,32
2016-05-01,34
2016-05-08,34
2016-05-15,34
2016-05-22,33
2016-05-29,34
2016-06-05,33
2016-06-12,34
2016-06-19,36
2016-06-26,36
2016-07-03,34
2016-07-10,34
2016-07-17,37
2016-07-24,38
2016-07-31,39
2016-08-07,41
2016-08-14,37
2016-08-21,45
2016-08-28,39
2016-09-04,40
2016-09-11,38
2016-09-18,39
2016-09-25,39
2016-10-02,38
2016-10-09,34
2016-10-16,38
2016-10-23,37
2016-10-30,39
2016-11-06,36
2016-11-13,34
2016-11-20,38
2016-11-27,37
2016-12-04,36
2016-12-11,39
2016-12-18,40
2016-12-25,42
2017-01-01,44
2017-01-08,38
2017-01-15,39
2017-01-22,41
2017-01-29,46
2017-02-05,42
2017-02-12,40
2017-02-19,47
2017-02-26,44
2017-03-05,40
2017-03-12,36
2017-03-19,38
2017-03-26,41
2017-04-02,39
2017-04-09,42
2017-04-16,39
2017-04-23,44
2017-04-30,43
2017-05-07,38
2017-05-14,39
2017-05-21,39
2017-05-28,40
2017-06-04,42
2017-06-11,44
2017-06-18,46
2017-06-25,42
2017-07-02,44
2017-07-09,46
2017-07-16,50
2017-07-23,48
2017-07-30,44
2017-08-06,45
2017-08-13,42
2017-08-20,40
2017-08-27,40
2017-09-03,40
2017-09-10,43
2017-09-17,41
2017-09-24,40
2017-10-01,38
2017-10-08,43
2017-10-15,37
2017-10-22,42
2017-10-29,48
2017-11-05,40
2017-11-12,44
2017-11-19,43
2017-11-26,43
2017-12-03,44
2017-12-10,45
2017-12-17,48
2017-12-24,46
2017-12-31,44
2018-01-07,41
2018-01-14,47
2018-01-21,41
2018-01-28,43
2018-02-04,42
2018-02-11,43
2018-02-18,43
2018-02-25,43
2018-03-04,45
2018-03-11,43
2018-03-18,64
2018-03-25,51
2018-04-01,45
2018-04-08,44
2018-04-15,44
2018-04-22,47
2018-04-29,47
2018-05-06,48
2018-05-13,44
2018-05-20,45
2018-05-27,49
2018-06-03,45
2018-06-10,48
2018-06-17,47
2018-06-24,49
2018-07-01,47
2018-07-08,52
2018-07-15,53
2018-07-22,54
2018-07-29,59
2018-08-05,68
2018-08-12,59
2018-08-19,58
2018-08-26,70
2018-09-02,78
2018-09-09,68
2018-09-16,76
2018-09-23,71
2018-09-30,72
2018-10-07,76
2018-10-14,68
2018-10-21,76
2018-10-28,83
2018-11-04,65
2018-11-11,71
2018-11-18,75
2018-11-25,74
2018-12-02,71
2018-12-09,72
2018-12-16,79
2018-12-23,76
2018-12-30,75
2019-01-06,68
2019-01-13,73
2019-01-20,73
2019-01-27,73
2019-02-03,77
2019-02-10,73
2019-02-17,75
2019-02-24,66
2019-03-03,70
2019-03-10,74
2019-03-17,75
2019-03-24,65
2019-03-31,54
2019-04-07,100
2019-04-14,53
2019-04-21,55
2019-04-28,53
2019-05-05,54
2019-05-12,51
2019-05-19,54
2019-05-26,55
2019-06-02,50
2019-06-09,51
2019-06-16,54
2019-06-23,52
2019-06-30,46
2019-07-07,50
2019-07-14,57
2019-07-21,55
2019-07-28,57
2019-08-04,58
2019-08-11,55
2019-08-18,57
2019-08-25,56
2019-09-01,55
2019-09-08,53
2019-09-15,54
2019-09-22,58
2019-09-29,51
2019-10-06,48
2019-10-13,48
2019-10-20,50
2019-10-27,54
2019-11-03,50
2019-11-10,53
2019-11-17,55
2019-11-24,52
2019-12-01,49
2019-12-08,49
2019-12-15,51
2019-12-22,53
2019-12-29,58
2020-01-05,51
