,Mail & Package Delivery
2014-12-28,67
2015-01-04,85
2015-01-11,68
2015-01-18,59
2015-01-25,92
2015-02-01,73
2015-02-08,85
2015-02-15,70
2015-02-22,62
2015-03-01,66
2015-03-08,77
2015-03-15,71
2015-03-22,83
2015-03-29,80
2015-04-05,90
2015-04-12,74
2015-04-19,69
2015-04-26,74
2015-05-03,62
2015-05-10,69
2015-05-17,51
2015-05-24,63
2015-05-31,65
2015-06-07,63
2015-06-14,68
2015-06-21,64
2015-06-28,67
2015-07-05,85
2015-07-12,80
2015-07-19,99
2015-07-26,61
2015-08-02,99
2015-08-09,85
2015-08-16,85
2015-08-23,64
2015-08-30,73
2015-09-06,80
2015-09-13,74
2015-09-20,55
2015-09-27,87
2015-10-04,81
2015-10-11,82
2015-10-18,89
2015-10-25,70
2015-11-01,87
2015-11-08,69
2015-11-15,86
2015-11-22,81
2015-11-29,41
2015-12-06,66
2015-12-13,76
2015-12-20,67
2015-12-27,62
2016-01-03,74
2016-01-10,51
2016-01-17,65
2016-01-24,63
2016-01-31,59
2016-02-07,48
2016-02-14,57
2016-02-21,68
2016-02-28,78
2016-03-06,71
2016-03-13,59
2016-03-20,62
2016-03-27,66
2016-04-03,63
2016-04-10,57
2016-04-17,49
2016-04-24,55
2016-05-01,53
2016-05-08,45
2016-05-15,66
2016-05-22,58
2016-05-29,42
2016-06-05,64
2016-06-12,67
2016-06-19,61
2016-06-26,71
2016-07-03,51
2016-07-10,81
2016-07-17,63
2016-07-24,59
2016-07-31,74
2016-08-07,44
2016-08-14,60
2016-08-21,57
2016-08-28,45
2016-09-04,32
2016-09-11,52
2016-09-18,33
2016-09-25,42
2016-10-02,0
2016-10-09,0
2016-10-16,30
2016-10-23,24
2016-10-30,30
2016-11-06,28
2016-11-13,23
2016-11-20,22
2016-11-27,44
2016-12-04,22
2016-12-11,0
2016-12-18,35
2016-12-25,23
2017-01-01,32
2017-01-08,31
2017-01-15,29
2017-01-22,28
2017-01-29,24
2017-02-05,58
2017-02-12,50
2017-02-19,78
2017-02-26,55
2017-03-05,61
2017-03-12,54
2017-03-19,53
2017-03-26,65
2017-04-02,51
2017-04-09,49
2017-04-16,57
2017-04-23,84
2017-04-30,57
2017-05-07,43
2017-05-14,58
2017-05-21,56
2017-05-28,74
2017-06-04,73
2017-06-11,68
2017-06-18,55
2017-06-25,43
2017-07-02,77
2017-07-09,66
2017-07-16,44
2017-07-23,52
2017-07-30,61
2017-08-06,56
2017-08-13,54
2017-08-20,50
2017-08-27,54
2017-09-03,44
2017-09-10,48
2017-09-17,52
2017-09-24,46
2017-10-01,50
2017-10-08,72
2017-10-15,59
2017-10-22,56
2017-10-29,54
2017-11-05,72
2017-11-12,80
2017-11-19,54
2017-11-26,71
2017-12-03,64
2017-12-10,68
2017-12-17,70
2017-12-24,69
2017-12-31,52
2018-01-07,55
2018-01-14,60
2018-01-21,52
2018-01-28,59
2018-02-04,64
2018-02-11,72
2018-02-18,50
2018-02-25,48
2018-03-04,78
2018-03-11,72
2018-03-18,59
2018-03-25,72
2018-04-01,68
2018-04-08,65
2018-04-15,74
2018-04-22,68
2018-04-29,76
2018-05-06,57
2018-05-13,56
2018-05-20,74
2018-05-27,50
2018-06-03,61
2018-06-10,75
2018-06-17,54
2018-06-24,45
2018-07-01,45
2018-07-08,59
2018-07-15,53
2018-07-22,74
2018-07-29,58
2018-08-05,61
2018-08-12,61
2018-08-19,53
2018-08-26,59
2018-09-02,54
2018-09-09,48
2018-09-16,68
2018-09-23,53
2018-09-30,53
2018-10-07,80
2018-10-14,43
2018-10-21,67
2018-10-28,61
2018-11-04,75
2018-11-11,55
2018-11-18,52
2018-11-25,58
2018-12-02,68
2018-12-09,69
2018-12-16,80
2018-12-23,85
2018-12-30,49
2019-01-06,84
2019-01-13,63
2019-01-20,69
2019-01-27,63
2019-02-03,61
2019-02-10,54
2019-02-17,73
2019-02-24,79
2019-03-03,75
2019-03-10,65
2019-03-17,85
2019-03-24,65
2019-03-31,68
2019-04-07,84
2019-04-14,83
2019-04-21,63
2019-04-28,57
2019-05-05,63
2019-05-12,79
2019-05-19,61
2019-05-26,84
2019-06-02,65
2019-06-09,74
2019-06-16,73
2019-06-23,76
2019-06-30,73
2019-07-07,80
2019-07-14,70
2019-07-21,72
2019-07-28,67
2019-08-04,60
2019-08-11,47
2019-08-18,68
2019-08-25,50
2019-09-01,60
2019-09-08,73
2019-09-15,45
2019-09-22,74
2019-09-29,52
2019-10-06,75
2019-10-13,72
2019-10-20,73
2019-10-27,62
2019-11-03,70
2019-11-10,57
2019-11-17,73
2019-11-24,69
2019-12-01,71
2019-12-08,88
2019-12-15,100
2019-12-22,78
2019-12-29,68
2020-01-05,76
