,Office Supplies
2014-12-28,28
2015-01-04,27
2015-01-11,27
2015-01-18,28
2015-01-25,28
2015-02-01,29
2015-02-08,29
2015-02-15,29
2015-02-22,30
2015-03-01,27
2015-03-08,28
2015-03-15,29
2015-03-22,28
2015-03-29,30
2015-04-05,29
2015-04-12,29
2015-04-19,27
2015-04-26,29
2015-05-03,29
2015-05-10,29
2015-05-17,28
2015-05-24,28
2015-05-31,30
2015-06-07,28
2015-06-14,29
2015-06-21,31
2015-06-28,38
2015-07-05,40
2015-07-12,39
2015-07-19,41
2015-07-26,39
2015-08-02,41
2015-08-09,40
2015-08-16,39
2015-08-23,41
2015-08-30,45
2015-09-06,44
2015-09-13,39
2015-09-20,41
2015-09-27,38
2015-10-04,39
2015-10-11,40
2015-10-18,35
2015-10-25,37
2015-11-01,36
2015-11-08,28
2015-11-15,34
2015-11-22,35
2015-11-29,34
2015-12-06,34
2015-12-13,36
2015-12-20,37
2015-12-27,34
2016-01-03,35
2016-01-10,33
2016-01-17,33
2016-01-24,34
2016-01-31,37
2016-02-07,39
2016-02-14,37
2016-02-21,36
2016-02-28,36
2016-03-06,35
2016-03-13,36
2016-03-20,31
2016-03-27,36
2016-04-03,35
2016-04-10,33
2016-04-17,33
2016-04-24,36
2016-05-01,38
2016-05-08,37
2016-05-15,35
2016-05-22,36
2016-05-29,39
2016-06-05,40
2016-06-12,39
2016-06-19,42
2016-06-26,42
2016-07-03,39
2016-07-10,41
2016-07-17,48
2016-07-24,47
2016-07-31,46
2016-08-07,45
2016-08-14,44
2016-08-21,49
2016-08-28,47
2016-09-04,45
2016-09-11,49
2016-09-18,48
2016-09-25,62
2016-10-02,47
2016-10-09,43
2016-10-16,48
2016-10-23,45
2016-10-30,43
2016-11-06,42
2016-11-13,47
2016-11-20,46
2016-11-27,46
2016-12-04,45
2016-12-11,48
2016-12-18,54
2016-12-25,53
2017-01-01,51
2017-01-08,51
2017-01-15,51
2017-01-22,49
2017-01-29,51
2017-02-05,52
2017-02-12,53
2017-02-19,50
2017-02-26,51
2017-03-05,51
2017-03-12,47
2017-03-19,52
2017-03-26,50
2017-04-02,51
2017-04-09,51
2017-04-16,50
2017-04-23,49
2017-04-30,49
2017-05-07,51
2017-05-14,51
2017-05-21,51
2017-05-28,52
2017-06-04,52
2017-06-11,57
2017-06-18,61
2017-06-25,58
2017-07-02,64
2017-07-09,64
2017-07-16,66
2017-07-23,64
2017-07-30,66
2017-08-06,64
2017-08-13,62
2017-08-20,61
2017-08-27,63
2017-09-03,62
2017-09-10,61
2017-09-17,61
2017-09-24,51
2017-10-01,56
2017-10-08,62
2017-10-15,49
2017-10-22,60
2017-10-29,58
2017-11-05,62
2017-11-12,60
2017-11-19,60
2017-11-26,56
2017-12-03,60
2017-12-10,63
2017-12-17,65
2017-12-24,64
2017-12-31,58
2018-01-07,60
2018-01-14,58
2018-01-21,55
2018-01-28,62
2018-02-04,61
2018-02-11,62
2018-02-18,69
2018-02-25,56
2018-03-04,59
2018-03-11,61
2018-03-18,64
2018-03-25,63
2018-04-01,65
2018-04-08,59
2018-04-15,65
2018-04-22,69
2018-04-29,59
2018-05-06,57
2018-05-13,58
2018-05-20,63
2018-05-27,67
2018-06-03,68
2018-06-10,75
2018-06-17,75
2018-06-24,72
2018-07-01,66
2018-07-08,69
2018-07-15,73
2018-07-22,76
2018-07-29,74
2018-08-05,81
2018-08-12,79
2018-08-19,83
2018-08-26,88
2018-09-02,89
2018-09-09,83
2018-09-16,90
2018-09-23,92
2018-09-30,84
2018-10-07,91
2018-10-14,74
2018-10-21,84
2018-10-28,86
2018-11-04,61
2018-11-11,75
2018-11-18,79
2018-11-25,85
2018-12-02,76
2018-12-09,76
2018-12-16,79
2018-12-23,81
2018-12-30,87
2019-01-06,86
2019-01-13,76
2019-01-20,79
2019-01-27,79
2019-02-03,77
2019-02-10,83
2019-02-17,80
2019-02-24,74
2019-03-03,76
2019-03-10,79
2019-03-17,80
2019-03-24,76
2019-03-31,66
2019-04-07,67
2019-04-14,67
2019-04-21,66
2019-04-28,63
2019-05-05,67
2019-05-12,66
2019-05-19,65
2019-05-26,72
2019-06-02,68
2019-06-09,71
2019-06-16,71
2019-06-23,73
2019-06-30,73
2019-07-07,100
2019-07-14,83
2019-07-21,85
2019-07-28,84
2019-08-04,84
2019-08-11,83
2019-08-18,81
2019-08-25,79
2019-09-01,73
2019-09-08,76
2019-09-15,80
2019-09-22,73
2019-09-29,72
2019-10-06,67
2019-10-13,73
2019-10-20,68
2019-10-27,60
2019-11-03,68
2019-11-10,86
2019-11-17,82
2019-11-24,99
2019-12-01,99
2019-12-08,90
2019-12-15,72
2019-12-22,85
2019-12-29,72
2020-01-05,70
