,Performing Arts
2023-01-01,93
2023-01-08,94
2023-01-15,89
2023-01-22,100
2023-01-29,95
2023-02-05,90
2023-02-12,89
2023-02-19,91
2023-02-26,84
2023-03-05,82
2023-03-12,84
2023-03-19,80
2023-03-26,80
2023-04-02,83
2023-04-09,80
2023-04-16,79
2023-04-23,90
2023-04-30,83
2023-05-07,82
2023-05-14,82
2023-05-21,79
2023-05-28,83
2023-06-04,85
2023-06-11,90
2023-06-18,91
2023-06-25,89
2023-07-02,89
2023-07-09,82
2023-07-16,86
2023-07-23,84
2023-07-30,80
2023-08-06,88
2023-08-13,90
2023-08-20,82
2023-08-27,81
2023-09-03,81
2023-09-10,80
2023-09-17,79
2023-09-24,82
2023-10-01,83
2023-10-08,81
2023-10-15,87
2023-10-22,82
2023-10-29,75
2023-11-05,72
2023-11-12,73
2023-11-19,80
2023-11-26,85
2023-12-03,87
2023-12-10,89
2023-12-17,89
2023-12-24,93
2023-12-31,83
2024-01-07,88
2024-01-14,83
2024-01-21,82
2024-01-28,82
2024-02-04,80
2024-02-11,82
2024-02-18,94
2024-02-25,80
2024-03-03,77
2024-03-10,83
2024-03-17,79
2024-03-24,76
2024-03-31,79
2024-04-07,74
2024-04-14,82
2024-04-21,80
2024-04-28,76
2024-05-05,75
2024-05-12,77
2024-05-19,76
2024-05-26,80
2024-06-02,74
2024-06-09,74
2024-06-16,84
2024-06-23,85
2024-06-30,77
2024-07-07,75
2024-07-14,86
2024-07-21,83
2024-07-28,92
2024-08-04,87
2024-08-11,86
2024-08-18,86
2024-08-25,88
2024-09-01,88
2024-09-08,84
2024-09-15,88
2024-09-22,81
2024-09-29,79
2024-10-06,76
2024-10-13,74
2024-10-20,72
2024-10-27,65
2024-11-03,73
2024-11-10,77
2024-11-17,76
2024-11-24,73
2024-12-01,79
2024-12-08,77
2024-12-15,82
2024-12-22,90
2024-12-29,83
2025-01-05,75
2025-01-12,71
2025-01-19,81
2025-01-26,75
2025-02-02,75
2025-02-09,74
2025-02-16,73
2025-02-23,70
2025-03-02,71
2025-03-09,63
2025-03-16,75
2025-03-23,81
2025-03-30,78
2025-04-06,71
2025-04-13,72
2025-04-20,74
2025-04-27,75
2025-05-04,71
2025-05-11,71
2025-05-18,69
2025-05-25,72
2025-06-01,75
2025-06-08,72
2025-06-15,77
2025-06-22,78
2025-06-29,77
2025-07-06,79
2025-07-13,93
2025-07-20,98
2025-07-27,87
2025-08-03,80
2025-08-10,83
2025-08-17,82
2025-08-24,80
2025-08-31,83
2025-09-07,76
2025-09-14,78
2025-09-21,78
2025-09-28,72
2025-10-05,75
2025-10-12,71
2025-10-19,63
2025-10-26,74
2025-11-02,81
2025-11-09,78
2025-11-16,85
2025-11-23,79
2025-11-30,74
2025-12-07,79
2025-12-14,93
2025-12-21,91
2025-12-28,88
2026-01-04,90
