,Pets & Animals
2018-12-30,76
2019-01-06,75
2019-01-13,74
2019-01-20,79
2019-01-27,72
2019-02-03,75
2019-02-10,76
2019-02-17,79
2019-02-24,70
2019-03-03,72
2019-03-10,68
2019-03-17,67
2019-03-24,67
2019-03-31,64
2019-04-07,61
2019-04-14,69
2019-04-21,66
2019-04-28,66
2019-05-05,67
2019-05-12,58
2019-05-19,66
2019-05-26,64
2019-06-02,64
2019-06-09,69
2019-06-16,64
2019-06-23,66
2019-06-30,66
2019-07-07,68
2019-07-14,68
2019-07-21,68
2019-07-28,67
2019-08-04,75
2019-08-11,77
2019-08-18,74
2019-08-25,75
2019-09-01,66
2019-09-08,67
2019-09-15,65
2019-09-22,64
2019-09-29,62
2019-10-06,61
2019-10-13,67
2019-10-20,61
2019-10-27,60
2019-11-03,60
2019-11-10,60
2019-11-17,60
2019-11-24,61
2019-12-01,64
2019-12-08,62
2019-12-15,68
2019-12-22,75
2019-12-29,71
2020-01-05,66
2020-01-12,65
2020-01-19,73
2020-01-26,75
2020-02-02,76
2020-02-09,74
2020-02-16,70
2020-02-23,70
2020-03-01,71
2020-03-08,68
2020-03-15,73
2020-03-22,66
2020-03-29,71
2020-04-05,70
2020-04-12,74
2020-04-19,74
2020-04-26,75
2020-05-03,73
2020-05-10,73
2020-05-17,79
2020-05-24,81
2020-05-31,87
2020-06-07,80
2020-06-14,80
2020-06-21,81
2020-06-28,76
2020-07-05,75
2020-07-12,82
2020-07-19,82
2020-07-26,79
2020-08-02,78
2020-08-09,73
2020-08-16,73
2020-08-23,68
2020-08-30,75
2020-09-06,70
2020-09-13,73
2020-09-20,59
2020-09-27,61
2020-10-04,73
2020-10-11,77
2020-10-18,81
2020-10-25,82
2020-11-01,76
2020-11-08,84
2020-11-15,84
2020-11-22,82
2020-11-29,81
2020-12-06,82
2020-12-13,83
2020-12-20,85
2020-12-27,82
2021-01-03,83
2021-01-10,76
2021-01-17,77
2021-01-24,79
2021-01-31,78
2021-02-07,77
2021-02-14,80
2021-02-21,81
2021-02-28,79
2021-03-07,72
2021-03-14,76
2021-03-21,77
2021-03-28,81
2021-04-04,65
2021-04-11,67
2021-04-18,76
2021-04-25,83
2021-05-02,85
2021-05-09,89
2021-05-16,96
2021-05-23,78
2021-05-30,91
2021-06-06,93
2021-06-13,96
2021-06-20,95
2021-06-27,93
2021-07-04,94
2021-07-11,96
2021-07-18,100
2021-07-25,88
2021-08-01,86
2021-08-08,91
2021-08-15,91
2021-08-22,91
2021-08-29,92
2021-09-05,93
2021-09-12,97
2021-09-19,95
2021-09-26,90
2021-10-03,91
2021-10-10,90
2021-10-17,87
2021-10-24,85
2021-10-31,84
2021-11-07,82
2021-11-14,78
2021-11-21,75
2021-11-28,73
2021-12-05,76
2021-12-12,73
2021-12-19,74
2021-12-26,79
2022-01-02,93
2022-01-09,91
2022-01-16,80
2022-01-23,89
2022-01-30,89
2022-02-06,91
2022-02-13,96
2022-02-20,97
2022-02-27,92
2022-03-06,90
2022-03-13,90
2022-03-20,81
2022-03-27,69
2022-04-03,76
2022-04-10,82
2022-04-17,84
2022-04-24,85
2022-05-01,88
2022-05-08,82
2022-05-15,79
2022-05-22,85
2022-05-29,91
2022-06-05,83
2022-06-12,84
2022-06-19,92
2022-06-26,86
2022-07-03,88
2022-07-10,90
2022-07-17,91
2022-07-24,88
2022-07-31,93
2022-08-07,98
2022-08-14,90
2022-08-21,89
2022-08-28,83
2022-09-04,89
2022-09-11,80
2022-09-18,80
2022-09-25,79
2022-10-02,79
2022-10-09,79
2022-10-16,77
2022-10-23,80
2022-10-30,77
2022-11-06,78
2022-11-13,78
2022-11-20,76
2022-11-27,72
2022-12-04,69
2022-12-11,77
2022-12-18,82
2022-12-25,89
2023-01-01,86
2023-01-08,85
2023-01-15,81
2023-01-22,85
2023-01-29,85
2023-02-05,89
2023-02-12,90
2023-02-19,90
2023-02-26,84
2023-03-05,84
2023-03-12,88
2023-03-19,91
2023-03-26,87
2023-04-02,88
2023-04-09,81
2023-04-16,86
2023-04-23,85
2023-04-30,83
2023-05-07,87
2023-05-14,89
2023-05-21,92
2023-05-28,91
2023-06-04,93
2023-06-11,93
2023-06-18,95
2023-06-25,91
2023-07-02,96
2023-07-09,94
2023-07-16,93
2023-07-23,91
2023-07-30,90
2023-08-06,90
2023-08-13,91
2023-08-20,90
2023-08-27,89
2023-09-03,83
2023-09-10,85
2023-09-17,90
2023-09-24,87
2023-10-01,83
2023-10-08,82
2023-10-15,82
2023-10-22,86
2023-10-29,79
2023-11-05,84
2023-11-12,88
2023-11-19,84
2023-11-26,82
2023-12-03,84
2023-12-10,87
2023-12-17,86
2023-12-24,88
2023-12-31,91
2024-01-07,88
