,Pharmaceuticals & Biotech
2018-12-30,44
2019-01-06,45
2019-01-13,43
2019-01-20,45
2019-01-27,46
2019-02-03,45
2019-02-10,48
2019-02-17,47
2019-02-24,45
2019-03-03,46
2019-03-10,44
2019-03-17,43
2019-03-24,46
2019-03-31,46
2019-04-07,42
2019-04-14,41
2019-04-21,45
2019-04-28,43
2019-05-05,49
2019-05-12,47
2019-05-19,45
2019-05-26,49
2019-06-02,48
2019-06-09,49
2019-06-16,48
2019-06-23,53
2019-06-30,47
2019-07-07,49
2019-07-14,51
2019-07-21,53
2019-07-28,56
2019-08-04,48
2019-08-11,44
2019-08-18,51
2019-08-25,50
2019-09-01,44
2019-09-08,49
2019-09-15,50
2019-09-22,51
2019-09-29,44
2019-10-06,41
2019-10-13,46
2019-10-20,37
2019-10-27,38
2019-11-03,48
2019-11-10,48
2019-11-17,51
2019-11-24,48
2019-12-01,45
2019-12-08,45
2019-12-15,47
2019-12-22,45
2019-12-29,43
2020-01-05,46
2020-01-12,43
2020-01-19,47
2020-01-26,47
2020-02-02,51
2020-02-09,51
2020-02-16,51
2020-02-23,51
2020-03-01,53
2020-03-08,42
2020-03-15,44
2020-03-22,39
2020-03-29,37
2020-04-05,50
2020-04-12,46
2020-04-19,43
2020-04-26,45
2020-05-03,44
2020-05-10,45
2020-05-17,42
2020-05-24,42
2020-05-31,48
2020-06-07,49
2020-06-14,61
2020-06-21,100
2020-06-28,81
2020-07-05,62
2020-07-12,65
2020-07-19,66
2020-07-26,61
2020-08-02,62
2020-08-09,63
2020-08-16,62
2020-08-23,59
2020-08-30,57
2020-09-06,60
2020-09-13,62
2020-09-20,59
2020-09-27,57
2020-10-04,57
2020-10-11,53
2020-10-18,54
2020-10-25,52
2020-11-01,51
2020-11-08,57
2020-11-15,55
2020-11-22,58
2020-11-29,62
2020-12-06,60
2020-12-13,57
2020-12-20,61
2020-12-27,58
2021-01-03,67
2021-01-10,56
2021-01-17,60
2021-01-24,55
2021-01-31,56
2021-02-07,54
2021-02-14,55
2021-02-21,55
2021-02-28,56
2021-03-07,58
2021-03-14,64
2021-03-21,58
2021-03-28,54
2021-04-04,59
2021-04-11,65
2021-04-18,84
2021-04-25,83
2021-05-02,79
2021-05-09,84
2021-05-16,74
2021-05-23,76
2021-05-30,78
2021-06-06,71
2021-06-13,71
2021-06-20,71
2021-06-27,71
2021-07-04,67
2021-07-11,71
2021-07-18,68
2021-07-25,81
2021-08-01,82
2021-08-08,75
2021-08-15,70
2021-08-22,68
2021-08-29,65
2021-09-05,58
2021-09-12,63
2021-09-19,59
2021-09-26,57
2021-10-03,59
2021-10-10,53
2021-10-17,58
2021-10-24,57
2021-10-31,42
2021-11-07,52
2021-11-14,53
2021-11-21,51
2021-11-28,53
2021-12-05,53
2021-12-12,57
2021-12-19,57
2021-12-26,56
2022-01-02,67
2022-01-09,65
2022-01-16,64
2022-01-23,65
2022-01-30,69
2022-02-06,64
2022-02-13,70
2022-02-20,69
2022-02-27,68
2022-03-06,66
2022-03-13,63
2022-03-20,64
2022-03-27,62
2022-04-03,66
2022-04-10,60
2022-04-17,65
2022-04-24,66
2022-05-01,68
2022-05-08,67
2022-05-15,62
2022-05-22,66
2022-05-29,65
2022-06-05,67
2022-06-12,69
2022-06-19,71
2022-06-26,70
2022-07-03,70
2022-07-10,69
2022-07-17,72
2022-07-24,74
2022-07-31,71
2022-08-07,63
2022-08-14,65
2022-08-21,73
2022-08-28,66
2022-09-04,65
2022-09-11,73
2022-09-18,72
2022-09-25,67
2022-10-02,62
2022-10-09,67
2022-10-16,63
2022-10-23,51
2022-10-30,67
2022-11-06,67
2022-11-13,74
2022-11-20,67
2022-11-27,68
2022-12-04,64
2022-12-11,68
2022-12-18,74
2022-12-25,73
2023-01-01,71
2023-01-08,69
2023-01-15,72
2023-01-22,71
2023-01-29,73
2023-02-05,70
2023-02-12,69
2023-02-19,72
2023-02-26,71
2023-03-05,61
2023-03-12,69
2023-03-19,70
2023-03-26,68
2023-04-02,69
2023-04-09,67
2023-04-16,70
2023-04-23,74
2023-04-30,67
2023-05-07,73
2023-05-14,69
2023-05-21,71
2023-05-28,74
2023-06-04,74
2023-06-11,74
2023-06-18,76
2023-06-25,73
2023-07-02,80
2023-07-09,78
2023-07-16,76
2023-07-23,80
2023-07-30,81
2023-08-06,79
2023-08-13,72
2023-08-20,74
2023-08-27,67
2023-09-03,74
2023-09-10,71
2023-09-17,68
2023-09-24,74
2023-10-01,69
2023-10-08,71
2023-10-15,69
2023-10-22,61
2023-10-29,71
2023-11-05,65
2023-11-12,54
2023-11-19,72
2023-11-26,74
2023-12-03,71
2023-12-10,77
2023-12-17,77
2023-12-24,76
2023-12-31,76
2024-01-07,73
