,Pharmacy
2018-12-30,40
2019-01-06,43
2019-01-13,38
2019-01-20,42
2019-01-27,41
2019-02-03,43
2019-02-10,44
2019-02-17,40
2019-02-24,40
2019-03-03,41
2019-03-10,42
2019-03-17,42
2019-03-24,40
2019-03-31,40
2019-04-07,34
2019-04-14,38
2019-04-21,31
2019-04-28,36
2019-05-05,37
2019-05-12,33
2019-05-19,36
2019-05-26,37
2019-06-02,39
2019-06-09,38
2019-06-16,41
2019-06-23,42
2019-06-30,44
2019-07-07,43
2019-07-14,44
2019-07-21,46
2019-07-28,47
2019-08-04,45
2019-08-11,42
2019-08-18,49
2019-08-25,44
2019-09-01,42
2019-09-08,40
2019-09-15,42
2019-09-22,41
2019-09-29,41
2019-10-06,42
2019-10-13,46
2019-10-20,39
2019-10-27,39
2019-11-03,42
2019-11-10,39
2019-11-17,43
2019-11-24,43
2019-12-01,43
2019-12-08,43
2019-12-15,44
2019-12-22,50
2019-12-29,50
2020-01-05,42
2020-01-12,45
2020-01-19,44
2020-01-26,54
2020-02-02,48
2020-02-09,46
2020-02-16,46
2020-02-23,45
2020-03-01,46
2020-03-08,42
2020-03-15,45
2020-03-22,57
2020-03-29,100
2020-04-05,63
2020-04-12,47
2020-04-19,45
2020-04-26,47
2020-05-03,43
2020-05-10,39
2020-05-17,41
2020-05-24,40
2020-05-31,35
2020-06-07,42
2020-06-14,40
2020-06-21,44
2020-06-28,43
2020-07-05,46
2020-07-12,49
2020-07-19,46
2020-07-26,44
2020-08-02,43
2020-08-09,47
2020-08-16,46
2020-08-23,43
2020-08-30,43
2020-09-06,49
2020-09-13,46
2020-09-20,42
2020-09-27,45
2020-10-04,48
2020-10-11,50
2020-10-18,49
2020-10-25,49
2020-11-01,49
2020-11-08,48
2020-11-15,45
2020-11-22,45
2020-11-29,44
2020-12-06,47
2020-12-13,45
2020-12-20,41
2020-12-27,41
2021-01-03,45
2021-01-10,42
2021-01-17,45
2021-01-24,48
2021-01-31,44
2021-02-07,48
2021-02-14,49
2021-02-21,46
2021-02-28,50
2021-03-07,48
2021-03-14,46
2021-03-21,47
2021-03-28,49
2021-04-04,48
2021-04-11,36
2021-04-18,50
2021-04-25,53
2021-05-02,53
2021-05-09,58
2021-05-16,56
2021-05-23,54
2021-05-30,59
2021-06-06,59
2021-06-13,55
2021-06-20,53
2021-06-27,53
2021-07-04,53
2021-07-11,49
2021-07-18,57
2021-07-25,55
2021-08-01,57
2021-08-08,66
2021-08-15,75
2021-08-22,71
2021-08-29,60
2021-09-05,62
2021-09-12,55
2021-09-19,52
2021-09-26,50
2021-10-03,52
2021-10-10,45
2021-10-17,43
2021-10-24,49
2021-10-31,49
2021-11-07,44
2021-11-14,52
2021-11-21,49
2021-11-28,49
2021-12-05,52
2021-12-12,50
2021-12-19,46
2021-12-26,52
2022-01-02,67
2022-01-09,62
2022-01-16,61
2022-01-23,75
2022-01-30,83
2022-02-06,80
2022-02-13,80
2022-02-20,75
2022-02-27,73
2022-03-06,73
2022-03-13,69
2022-03-20,69
2022-03-27,59
2022-04-03,55
2022-04-10,54
2022-04-17,67
2022-04-24,74
2022-05-01,71
2022-05-08,62
2022-05-15,66
2022-05-22,70
2022-05-29,69
2022-06-05,70
2022-06-12,68
2022-06-19,73
2022-06-26,70
2022-07-03,76
2022-07-10,72
2022-07-17,70
2022-07-24,69
2022-07-31,70
2022-08-07,74
2022-08-14,78
2022-08-21,75
2022-08-28,72
2022-09-04,68
2022-09-11,74
2022-09-18,72
2022-09-25,74
2022-10-02,70
2022-10-09,73
2022-10-16,76
2022-10-23,76
2022-10-30,77
2022-11-06,77
2022-11-13,84
2022-11-20,78
2022-11-27,76
2022-12-04,76
2022-12-11,77
2022-12-18,78
2022-12-25,82
2023-01-01,76
2023-01-08,81
2023-01-15,79
2023-01-22,80
2023-01-29,79
2023-02-05,80
2023-02-12,78
2023-02-19,81
2023-02-26,75
2023-03-05,80
2023-03-12,81
2023-03-19,78
2023-03-26,75
2023-04-02,72
2023-04-09,69
2023-04-16,77
2023-04-23,79
2023-04-30,74
2023-05-07,76
2023-05-14,79
2023-05-21,76
2023-05-28,77
2023-06-04,81
2023-06-11,83
2023-06-18,77
2023-06-25,84
2023-07-02,82
2023-07-09,88
2023-07-16,83
2023-07-23,83
2023-07-30,78
2023-08-06,83
2023-08-13,84
2023-08-20,79
2023-08-27,80
2023-09-03,73
2023-09-10,76
2023-09-17,77
2023-09-24,78
2023-10-01,76
2023-10-08,77
2023-10-15,78
2023-10-22,69
2023-10-29,75
2023-11-05,75
2023-11-12,83
2023-11-19,78
2023-11-26,81
2023-12-03,79
2023-12-10,83
2023-12-17,81
2023-12-24,79
2023-12-31,83
2024-01-07,80
