,Printing & Publishing
2023-01-01,40
2023-01-08,45
2023-01-15,53
2023-01-22,44
2023-01-29,39
2023-02-05,43
2023-02-12,71
2023-02-19,37
2023-02-26,31
2023-03-05,60
2023-03-12,49
2023-03-19,45
2023-03-26,38
2023-04-02,43
2023-04-09,38
2023-04-16,30
2023-04-23,55
2023-04-30,59
2023-05-07,37
2023-05-14,48
2023-05-21,52
2023-05-28,41
2023-06-04,57
2023-06-11,30
2023-06-18,35
2023-06-25,26
2023-07-02,38
2023-07-09,60
2023-07-16,27
2023-07-23,41
2023-07-30,50
2023-08-06,49
2023-08-13,53
2023-08-20,75
2023-08-27,52
2023-09-03,51
2023-09-10,43
2023-09-17,59
2023-09-24,57
2023-10-01,50
2023-10-08,53
2023-10-15,43
2023-10-22,57
2023-10-29,71
2023-11-05,62
2023-11-12,43
2023-11-19,55
2023-11-26,53
2023-12-03,56
2023-12-10,64
2023-12-17,48
2023-12-24,47
2023-12-31,61
2024-01-07,58
2024-01-14,51
2024-01-21,61
2024-01-28,56
2024-02-04,62
2024-02-11,77
2024-02-18,69
2024-02-25,60
2024-03-03,63
2024-03-10,44
2024-03-17,74
2024-03-24,58
2024-03-31,57
2024-04-07,47
2024-04-14,52
2024-04-21,56
2024-04-28,48
2024-05-05,60
2024-05-12,74
2024-05-19,100
2024-05-26,59
2024-06-02,46
2024-06-09,68
2024-06-16,57
2024-06-23,47
2024-06-30,75
2024-07-07,62
2024-07-14,74
2024-07-21,59
2024-07-28,63
2024-08-04,52
2024-08-11,73
2024-08-18,75
2024-08-25,72
2024-09-01,51
2024-09-08,60
2024-09-15,49
2024-09-22,49
2024-09-29,40
2024-10-06,38
2024-10-13,65
2024-10-20,74
2024-10-27,63
2024-11-03,58
2024-11-10,47
2024-11-17,61
2024-11-24,75
2024-12-01,46
2024-12-08,57
2024-12-15,60
2024-12-22,0
2024-12-29,46
2025-01-05,75
2025-01-12,64
2025-01-19,49
2025-01-26,39
2025-02-02,68
2025-02-09,44
2025-02-16,56
2025-02-23,73
2025-03-02,53
2025-03-09,58
2025-03-16,64
2025-03-23,47
2025-03-30,53
2025-04-06,79
2025-04-13,56
2025-04-20,64
2025-04-27,64
2025-05-04,61
2025-05-11,66
2025-05-18,60
2025-05-25,47
2025-06-01,48
2025-06-08,55
2025-06-15,64
2025-06-22,59
2025-06-29,69
2025-07-06,57
2025-07-13,65
2025-07-20,54
2025-07-27,39
2025-08-03,47
2025-08-10,62
2025-08-17,64
2025-08-24,62
2025-08-31,35
2025-09-07,51
2025-09-14,67
2025-09-21,35
2025-09-28,48
2025-10-05,57
2025-10-12,50
2025-10-19,59
2025-10-26,47
2025-11-02,56
2025-11-09,46
2025-11-16,60
2025-11-23,51
2025-11-30,35
2025-12-07,44
2025-12-14,59
2025-12-21,50
2025-12-28,57
2026-01-04,86
