,Professional & Trade Associations
2014-12-28,32
2015-01-04,13
2015-01-11,28
2015-01-18,21
2015-01-25,20
2015-02-01,23
2015-02-08,26
2015-02-15,32
2015-02-22,27
2015-03-01,15
2015-03-08,30
2015-03-15,30
2015-03-22,26
2015-03-29,13
2015-04-05,0
2015-04-12,0
2015-04-19,23
2015-04-26,15
2015-05-03,15
2015-05-10,22
2015-05-17,24
2015-05-24,22
2015-05-31,21
2015-06-07,0
2015-06-14,14
2015-06-21,20
2015-06-28,23
2015-07-05,18
2015-07-12,25
2015-07-19,27
2015-07-26,16
2015-08-02,24
2015-08-09,30
2015-08-16,26
2015-08-23,17
2015-08-30,23
2015-09-06,18
2015-09-13,31
2015-09-20,16
2015-09-27,23
2015-10-04,17
2015-10-11,24
2015-10-18,0
2015-10-25,21
2015-11-01,29
2015-11-08,20
2015-11-15,29
2015-11-22,16
2015-11-29,12
2015-12-06,22
2015-12-13,22
2015-12-20,22
2015-12-27,22
2016-01-03,24
2016-01-10,23
2016-01-17,23
2016-01-24,23
2016-01-31,23
2016-02-07,100
2016-02-14,31
2016-02-21,23
2016-02-28,15
2016-03-06,22
2016-03-13,18
2016-03-20,23
2016-03-27,22
2016-04-03,22
2016-04-10,0
2016-04-17,24
2016-04-24,13
2016-05-01,12
2016-05-08,21
2016-05-15,21
2016-05-22,27
2016-05-29,24
2016-06-05,21
2016-06-12,16
2016-06-19,14
2016-06-26,19
2016-07-03,18
2016-07-10,38
2016-07-17,20
2016-07-24,14
2016-07-31,22
2016-08-07,22
2016-08-14,18
2016-08-21,24
2016-08-28,15
2016-09-04,19
2016-09-11,14
2016-09-18,27
2016-09-25,26
2016-10-02,28
2016-10-09,26
2016-10-16,14
2016-10-23,20
2016-10-30,25
2016-11-06,21
2016-11-13,16
2016-11-20,0
2016-11-27,29
2016-12-04,24
2016-12-11,17
2016-12-18,18
2016-12-25,17
2017-01-01,27
2017-01-08,24
2017-01-15,27
2017-01-22,21
2017-01-29,22
2017-02-05,16
2017-02-12,23
2017-02-19,18
2017-02-26,25
2017-03-05,29
2017-03-12,0
2017-03-19,26
2017-03-26,24
2017-04-02,20
2017-04-09,13
2017-04-16,18
2017-04-23,14
2017-04-30,18
2017-05-07,11
2017-05-14,14
2017-05-21,23
2017-05-28,22
2017-06-04,29
2017-06-11,30
2017-06-18,0
2017-06-25,13
2017-07-02,27
2017-07-09,20
2017-07-16,27
2017-07-23,20
2017-07-30,23
2017-08-06,19
2017-08-13,23
2017-08-20,17
2017-08-27,15
2017-09-03,23
2017-09-10,17
2017-09-17,21
2017-09-24,18
2017-10-01,0
2017-10-08,23
2017-10-15,18
2017-10-22,26
2017-10-29,21
2017-11-05,23
2017-11-12,10
2017-11-19,22
2017-11-26,18
2017-12-03,20
2017-12-10,16
2017-12-17,16
2017-12-24,15
2017-12-31,15
2018-01-07,21
2018-01-14,19
2018-01-21,19
2018-01-28,16
2018-02-04,18
2018-02-11,20
2018-02-18,18
2018-02-25,25
2018-03-04,20
2018-03-11,20
2018-03-18,24
2018-03-25,26
2018-04-01,27
2018-04-08,10
2018-04-15,20
2018-04-22,22
2018-04-29,28
2018-05-06,19
2018-05-13,24
2018-05-20,23
2018-05-27,29
2018-06-03,24
2018-06-10,18
2018-06-17,18
2018-06-24,32
2018-07-01,13
2018-07-08,25
2018-07-15,18
2018-07-22,25
2018-07-29,23
2018-08-05,34
2018-08-12,26
2018-08-19,21
2018-08-26,29
2018-09-02,25
2018-09-09,28
2018-09-16,19
2018-09-23,25
2018-09-30,32
2018-10-07,35
2018-10-14,19
2018-10-21,19
2018-10-28,24
2018-11-04,30
2018-11-11,29
2018-11-18,27
2018-11-25,18
2018-12-02,31
2018-12-09,15
2018-12-16,24
2018-12-23,19
2018-12-30,28
2019-01-06,23
2019-01-13,18
2019-01-20,26
2019-01-27,25
2019-02-03,18
2019-02-10,33
2019-02-17,31
2019-02-24,26
2019-03-03,28
2019-03-10,34
2019-03-17,19
2019-03-24,28
2019-03-31,18
2019-04-07,20
2019-04-14,17
2019-04-21,15
2019-04-28,20
2019-05-05,23
2019-05-12,15
2019-05-19,24
2019-05-26,18
2019-06-02,17
2019-06-09,25
2019-06-16,35
2019-06-23,24
2019-06-30,20
2019-07-07,28
2019-07-14,32
2019-07-21,23
2019-07-28,23
2019-08-04,17
2019-08-11,23
2019-08-18,32
2019-08-25,30
2019-09-01,21
2019-09-08,23
2019-09-15,25
2019-09-22,34
2019-09-29,24
2019-10-06,28
2019-10-13,30
2019-10-20,22
2019-10-27,25
2019-11-03,22
2019-11-10,22
2019-11-17,26
2019-11-24,23
2019-12-01,45
2019-12-08,45
2019-12-15,27
2019-12-22,24
2019-12-29,28
2020-01-05,25
