,Real Estate
2014-12-28,38
2015-01-04,36
2015-01-11,36
2015-01-18,39
2015-01-25,38
2015-02-01,40
2015-02-08,40
2015-02-15,49
2015-02-22,49
2015-03-01,42
2015-03-08,44
2015-03-15,43
2015-03-22,41
2015-03-29,42
2015-04-05,43
2015-04-12,41
2015-04-19,41
2015-04-26,39
2015-05-03,40
2015-05-10,42
2015-05-17,42
2015-05-24,42
2015-05-31,43
2015-06-07,44
2015-06-14,43
2015-06-21,48
2015-06-28,56
2015-07-05,53
2015-07-12,53
2015-07-19,55
2015-07-26,52
2015-08-02,52
2015-08-09,50
2015-08-16,52
2015-08-23,48
2015-08-30,51
2015-09-06,52
2015-09-13,48
2015-09-20,51
2015-09-27,50
2015-10-04,46
2015-10-11,46
2015-10-18,42
2015-10-25,46
2015-11-01,45
2015-11-08,36
2015-11-15,44
2015-11-22,44
2015-11-29,43
2015-12-06,47
2015-12-13,48
2015-12-20,47
2015-12-27,48
2016-01-03,45
2016-01-10,42
2016-01-17,44
2016-01-24,43
2016-01-31,45
2016-02-07,45
2016-02-14,47
2016-02-21,45
2016-02-28,45
2016-03-06,46
2016-03-13,47
2016-03-20,42
2016-03-27,47
2016-04-03,47
2016-04-10,46
2016-04-17,45
2016-04-24,46
2016-05-01,50
2016-05-08,48
2016-05-15,47
2016-05-22,51
2016-05-29,50
2016-06-05,51
2016-06-12,55
2016-06-19,54
2016-06-26,55
2016-07-03,54
2016-07-10,54
2016-07-17,58
2016-07-24,57
2016-07-31,54
2016-08-07,53
2016-08-14,52
2016-08-21,60
2016-08-28,67
2016-09-04,61
2016-09-11,62
2016-09-18,57
2016-09-25,58
2016-10-02,54
2016-10-09,55
2016-10-16,56
2016-10-23,49
2016-10-30,53
2016-11-06,53
2016-11-13,51
2016-11-20,52
2016-11-27,54
2016-12-04,50
2016-12-11,52
2016-12-18,56
2016-12-25,56
2017-01-01,57
2017-01-08,56
2017-01-15,53
2017-01-22,56
2017-01-29,56
2017-02-05,54
2017-02-12,59
2017-02-19,60
2017-02-26,59
2017-03-05,61
2017-03-12,56
2017-03-19,63
2017-03-26,73
2017-04-02,66
2017-04-09,63
2017-04-16,62
2017-04-23,58
2017-04-30,58
2017-05-07,57
2017-05-14,60
2017-05-21,64
2017-05-28,63
2017-06-04,64
2017-06-11,69
2017-06-18,70
2017-06-25,67
2017-07-02,70
2017-07-09,70
2017-07-16,72
2017-07-23,72
2017-07-30,70
2017-08-06,66
2017-08-13,66
2017-08-20,74
2017-08-27,60
2017-09-03,62
2017-09-10,64
2017-09-17,63
2017-09-24,59
2017-10-01,58
2017-10-08,60
2017-10-15,56
2017-10-22,65
2017-10-29,65
2017-11-05,65
2017-11-12,64
2017-11-19,62
2017-11-26,63
2017-12-03,61
2017-12-10,62
2017-12-17,67
2017-12-24,71
2017-12-31,64
2018-01-07,65
2018-01-14,64
2018-01-21,71
2018-01-28,64
2018-02-04,65
2018-02-11,68
2018-02-18,66
2018-02-25,61
2018-03-04,68
2018-03-11,71
2018-03-18,75
2018-03-25,77
2018-04-01,71
2018-04-08,71
2018-04-15,71
2018-04-22,70
2018-04-29,75
2018-05-06,71
2018-05-13,76
2018-05-20,75
2018-05-27,79
2018-06-03,77
2018-06-10,78
2018-06-17,77
2018-06-24,79
2018-07-01,88
2018-07-08,84
2018-07-15,83
2018-07-22,82
2018-07-29,79
2018-08-05,85
2018-08-12,89
2018-08-19,86
2018-08-26,93
2018-09-02,94
2018-09-09,87
2018-09-16,91
2018-09-23,92
2018-09-30,89
2018-10-07,88
2018-10-14,85
2018-10-21,90
2018-10-28,90
2018-11-04,75
2018-11-11,89
2018-11-18,93
2018-11-25,94
2018-12-02,92
2018-12-09,93
2018-12-16,94
2018-12-23,100
2018-12-30,89
2019-01-06,89
2019-01-13,88
2019-01-20,88
2019-01-27,92
2019-02-03,84
2019-02-10,90
2019-02-17,92
2019-02-24,87
2019-03-03,82
2019-03-10,89
2019-03-17,92
2019-03-24,92
2019-03-31,85
2019-04-07,91
2019-04-14,83
2019-04-21,81
2019-04-28,95
2019-05-05,88
2019-05-12,91
2019-05-19,89
2019-05-26,97
2019-06-02,91
2019-06-09,93
2019-06-16,94
2019-06-23,96
2019-06-30,90
2019-07-07,94
2019-07-14,98
2019-07-21,98
2019-07-28,95
2019-08-04,91
2019-08-11,91
2019-08-18,93
2019-08-25,88
2019-09-01,91
2019-09-08,96
2019-09-15,93
2019-09-22,88
2019-09-29,86
2019-10-06,82
2019-10-13,81
2019-10-20,79
2019-10-27,74
2019-11-03,85
2019-11-10,85
2019-11-17,87
2019-11-24,81
2019-12-01,85
2019-12-08,77
2019-12-15,86
2019-12-22,94
2019-12-29,91
2020-01-05,84
