,Recession
2023-01-01,81
2023-01-08,77
2023-01-15,49
2023-01-22,61
2023-01-29,60
2023-02-05,80
2023-02-12,0
2023-02-19,0
2023-02-26,62
2023-03-05,0
2023-03-12,46
2023-03-19,100
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,88
2023-04-23,69
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,74
2023-05-28,88
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,69
2023-07-30,56
2023-08-06,0
2023-08-13,58
2023-08-20,0
2023-08-27,0
2023-09-03,49
2023-09-10,0
2023-09-17,58
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,65
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,78
2024-02-18,0
2024-02-25,62
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,60
2024-03-31,0
2024-04-07,0
2024-04-14,64
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,54
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,69
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,0
2024-11-24,0
2024-12-01,0
2024-12-08,74
2024-12-15,0
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,0
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,61
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,62
2025-04-06,83
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,0
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,0
2025-08-03,0
2025-08-10,0
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,0
2025-09-21,66
2025-09-28,0
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,0
2025-11-09,0
2025-11-16,0
2025-11-23,0
2025-11-30,0
2025-12-07,0
2025-12-14,0
2025-12-21,0
2025-12-28,0
