,Restaurants
2018-12-30,58
2019-01-06,61
2019-01-13,46
2019-01-20,71
2019-01-27,58
2019-02-03,63
2019-02-10,63
2019-02-17,79
2019-02-24,59
2019-03-03,69
2019-03-10,64
2019-03-17,74
2019-03-24,68
2019-03-31,64
2019-04-07,54
2019-04-14,68
2019-04-21,56
2019-04-28,58
2019-05-05,47
2019-05-12,46
2019-05-19,55
2019-05-26,55
2019-06-02,83
2019-06-09,59
2019-06-16,56
2019-06-23,64
2019-06-30,57
2019-07-07,70
2019-07-14,62
2019-07-21,57
2019-07-28,68
2019-08-04,58
2019-08-11,64
2019-08-18,66
2019-08-25,58
2019-09-01,51
2019-09-08,53
2019-09-15,62
2019-09-22,54
2019-09-29,47
2019-10-06,71
2019-10-13,65
2019-10-20,58
2019-10-27,61
2019-11-03,75
2019-11-10,57
2019-11-17,77
2019-11-24,60
2019-12-01,56
2019-12-08,67
2019-12-15,61
2019-12-22,70
2019-12-29,76
2020-01-05,62
2020-01-12,72
2020-01-19,60
2020-01-26,79
2020-02-02,60
2020-02-09,72
2020-02-16,55
2020-02-23,71
2020-03-01,64
2020-03-08,55
2020-03-15,47
2020-03-22,48
2020-03-29,47
2020-04-05,38
2020-04-12,46
2020-04-19,26
2020-04-26,24
2020-05-03,32
2020-05-10,27
2020-05-17,26
2020-05-24,35
2020-05-31,31
2020-06-07,32
2020-06-14,27
2020-06-21,36
2020-06-28,38
2020-07-05,41
2020-07-12,37
2020-07-19,42
2020-07-26,37
2020-08-02,46
2020-08-09,44
2020-08-16,33
2020-08-23,28
2020-08-30,31
2020-09-06,37
2020-09-13,34
2020-09-20,38
2020-09-27,36
2020-10-04,50
2020-10-11,50
2020-10-18,43
2020-10-25,51
2020-11-01,46
2020-11-08,57
2020-11-15,47
2020-11-22,46
2020-11-29,53
2020-12-06,52
2020-12-13,50
2020-12-20,67
2020-12-27,66
2021-01-03,65
2021-01-10,60
2021-01-17,44
2021-01-24,62
2021-01-31,59
2021-02-07,62
2021-02-14,52
2021-02-21,64
2021-02-28,57
2021-03-07,67
2021-03-14,62
2021-03-21,63
2021-03-28,76
2021-04-04,56
2021-04-11,77
2021-04-18,80
2021-04-25,78
2021-05-02,65
2021-05-09,70
2021-05-16,60
2021-05-23,70
2021-05-30,60
2021-06-06,55
2021-06-13,63
2021-06-20,66
2021-06-27,56
2021-07-04,80
2021-07-11,58
2021-07-18,68
2021-07-25,63
2021-08-01,78
2021-08-08,88
2021-08-15,76
2021-08-22,69
2021-08-29,73
2021-09-05,70
2021-09-12,82
2021-09-19,66
2021-09-26,73
2021-10-03,77
2021-10-10,82
2021-10-17,85
2021-10-24,86
2021-10-31,73
2021-11-07,70
2021-11-14,74
2021-11-21,73
2021-11-28,90
2021-12-05,73
2021-12-12,72
2021-12-19,79
2021-12-26,99
2022-01-02,82
2022-01-09,77
2022-01-16,67
2022-01-23,63
2022-01-30,75
2022-02-06,72
2022-02-13,71
2022-02-20,64
2022-02-27,63
2022-03-06,70
2022-03-13,74
2022-03-20,73
2022-03-27,72
2022-04-03,70
2022-04-10,83
2022-04-17,71
2022-04-24,82
2022-05-01,82
2022-05-08,67
2022-05-15,69
2022-05-22,76
2022-05-29,81
2022-06-05,71
2022-06-12,60
2022-06-19,65
2022-06-26,62
2022-07-03,90
2022-07-10,65
2022-07-17,72
2022-07-24,69
2022-07-31,74
2022-08-07,80
2022-08-14,74
2022-08-21,69
2022-08-28,74
2022-09-04,75
2022-09-11,64
2022-09-18,63
2022-09-25,66
2022-10-02,66
2022-10-09,80
2022-10-16,59
2022-10-23,67
2022-10-30,69
2022-11-06,68
2022-11-13,65
2022-11-20,62
2022-11-27,63
2022-12-04,72
2022-12-11,72
2022-12-18,83
2022-12-25,84
2023-01-01,77
2023-01-08,77
2023-01-15,71
2023-01-22,76
2023-01-29,85
2023-02-05,83
2023-02-12,80
2023-02-19,77
2023-02-26,79
2023-03-05,75
2023-03-12,71
2023-03-19,63
2023-03-26,82
2023-04-02,82
2023-04-09,86
2023-04-16,80
2023-04-23,77
2023-04-30,81
2023-05-07,77
2023-05-14,69
2023-05-21,64
2023-05-28,67
2023-06-04,77
2023-06-11,80
2023-06-18,60
2023-06-25,80
2023-07-02,67
2023-07-09,76
2023-07-16,76
2023-07-23,75
2023-07-30,67
2023-08-06,92
2023-08-13,82
2023-08-20,75
2023-08-27,82
2023-09-03,81
2023-09-10,82
2023-09-17,74
2023-09-24,79
2023-10-01,83
2023-10-08,75
2023-10-15,85
2023-10-22,84
2023-10-29,96
2023-11-05,89
2023-11-12,84
2023-11-19,94
2023-11-26,82
2023-12-03,90
2023-12-10,95
2023-12-17,87
2023-12-24,100
2023-12-31,100
2024-01-07,92
