,Retail Trade
2014-12-28,81
2015-01-04,76
2015-01-11,72
2015-01-18,75
2015-01-25,74
2015-02-01,70
2015-02-08,70
2015-02-15,69
2015-02-22,69
2015-03-01,68
2015-03-08,73
2015-03-15,78
2015-03-22,79
2015-03-29,81
2015-04-05,80
2015-04-12,82
2015-04-19,81
2015-04-26,81
2015-05-03,81
2015-05-10,70
2015-05-17,60
2015-05-24,61
2015-05-31,61
2015-06-07,61
2015-06-14,63
2015-06-21,65
2015-06-28,77
2015-07-05,76
2015-07-12,75
2015-07-19,72
2015-07-26,67
2015-08-02,71
2015-08-09,71
2015-08-16,73
2015-08-23,70
2015-08-30,69
2015-09-06,68
2015-09-13,63
2015-09-20,69
2015-09-27,67
2015-10-04,68
2015-10-11,70
2015-10-18,63
2015-10-25,68
2015-11-01,68
2015-11-08,58
2015-11-15,58
2015-11-22,59
2015-11-29,59
2015-12-06,61
2015-12-13,63
2015-12-20,69
2015-12-27,67
2016-01-03,60
2016-01-10,56
2016-01-17,56
2016-01-24,58
2016-01-31,58
2016-02-07,59
2016-02-14,55
2016-02-21,57
2016-02-28,55
2016-03-06,57
2016-03-13,57
2016-03-20,52
2016-03-27,56
2016-04-03,65
2016-04-10,60
2016-04-17,57
2016-04-24,59
2016-05-01,61
2016-05-08,58
2016-05-15,60
2016-05-22,63
2016-05-29,66
2016-06-05,67
2016-06-12,63
2016-06-19,65
2016-06-26,66
2016-07-03,68
2016-07-10,66
2016-07-17,67
2016-07-24,66
2016-07-31,66
2016-08-07,70
2016-08-14,66
2016-08-21,71
2016-08-28,75
2016-09-04,76
2016-09-11,75
2016-09-18,71
2016-09-25,72
2016-10-02,79
2016-10-09,77
2016-10-16,79
2016-10-23,76
2016-10-30,68
2016-11-06,63
2016-11-13,61
2016-11-20,64
2016-11-27,70
2016-12-04,69
2016-12-11,76
2016-12-18,76
2016-12-25,79
2017-01-01,72
2017-01-08,68
2017-01-15,64
2017-01-22,69
2017-01-29,64
2017-02-05,64
2017-02-12,64
2017-02-19,65
2017-02-26,62
2017-03-05,62
2017-03-12,60
2017-03-19,66
2017-03-26,93
2017-04-02,68
2017-04-09,67
2017-04-16,65
2017-04-23,67
2017-04-30,66
2017-05-07,67
2017-05-14,70
2017-05-21,71
2017-05-28,69
2017-06-04,73
2017-06-11,81
2017-06-18,87
2017-06-25,88
2017-07-02,83
2017-07-09,83
2017-07-16,83
2017-07-23,78
2017-07-30,79
2017-08-06,76
2017-08-13,77
2017-08-20,72
2017-08-27,74
2017-09-03,80
2017-09-10,81
2017-09-17,82
2017-09-24,78
2017-10-01,80
2017-10-08,83
2017-10-15,76
2017-10-22,77
2017-10-29,83
2017-11-05,72
2017-11-12,74
2017-11-19,75
2017-11-26,74
2017-12-03,73
2017-12-10,74
2017-12-17,83
2017-12-24,88
2017-12-31,78
2018-01-07,71
2018-01-14,73
2018-01-21,77
2018-01-28,74
2018-02-04,76
2018-02-11,78
2018-02-18,76
2018-02-25,69
2018-03-04,75
2018-03-11,76
2018-03-18,78
2018-03-25,83
2018-04-01,79
2018-04-08,77
2018-04-15,80
2018-04-22,78
2018-04-29,80
2018-05-06,75
2018-05-13,77
2018-05-20,81
2018-05-27,86
2018-06-03,87
2018-06-10,91
2018-06-17,84
2018-06-24,84
2018-07-01,82
2018-07-08,84
2018-07-15,87
2018-07-22,81
2018-07-29,90
2018-08-05,84
2018-08-12,91
2018-08-19,84
2018-08-26,84
2018-09-02,87
2018-09-09,83
2018-09-16,85
2018-09-23,81
2018-09-30,86
2018-10-07,95
2018-10-14,91
2018-10-21,94
2018-10-28,100
2018-11-04,83
2018-11-11,85
2018-11-18,85
2018-11-25,82
2018-12-02,86
2018-12-09,90
2018-12-16,93
2018-12-23,95
2018-12-30,86
2019-01-06,87
2019-01-13,78
2019-01-20,82
2019-01-27,82
2019-02-03,79
2019-02-10,76
2019-02-17,80
2019-02-24,73
2019-03-03,76
2019-03-10,74
2019-03-17,77
2019-03-24,84
2019-03-31,81
2019-04-07,80
2019-04-14,78
2019-04-21,77
2019-04-28,83
2019-05-05,83
2019-05-12,78
2019-05-19,81
2019-05-26,87
2019-06-02,85
2019-06-09,88
2019-06-16,83
2019-06-23,85
2019-06-30,85
2019-07-07,83
2019-07-14,85
2019-07-21,94
2019-07-28,89
2019-08-04,86
2019-08-11,91
2019-08-18,87
2019-08-25,85
2019-09-01,84
2019-09-08,87
2019-09-15,89
2019-09-22,89
2019-09-29,98
2019-10-06,92
2019-10-13,90
2019-10-20,95
2019-10-27,81
2019-11-03,80
2019-11-10,80
2019-11-17,80
2019-11-24,77
2019-12-01,80
2019-12-08,77
2019-12-15,85
2019-12-22,91
2019-12-29,85
2020-01-05,78
