,Social Services
2014-12-28,19
2015-01-04,20
2015-01-11,18
2015-01-18,19
2015-01-25,19
2015-02-01,18
2015-02-08,20
2015-02-15,19
2015-02-22,20
2015-03-01,18
2015-03-08,20
2015-03-15,21
2015-03-22,20
2015-03-29,20
2015-04-05,20
2015-04-12,20
2015-04-19,19
2015-04-26,20
2015-05-03,21
2015-05-10,23
2015-05-17,23
2015-05-24,24
2015-05-31,25
2015-06-07,25
2015-06-14,26
2015-06-21,30
2015-06-28,37
2015-07-05,36
2015-07-12,35
2015-07-19,34
2015-07-26,33
2015-08-02,33
2015-08-09,31
2015-08-16,31
2015-08-23,28
2015-08-30,29
2015-09-06,30
2015-09-13,31
2015-09-20,29
2015-09-27,31
2015-10-04,43
2015-10-11,36
2015-10-18,28
2015-10-25,31
2015-11-01,28
2015-11-08,24
2015-11-15,26
2015-11-22,27
2015-11-29,29
2015-12-06,38
2015-12-13,40
2015-12-20,40
2015-12-27,44
2016-01-03,47
2016-01-10,26
2016-01-17,25
2016-01-24,24
2016-01-31,25
2016-02-07,25
2016-02-14,27
2016-02-21,25
2016-02-28,25
2016-03-06,28
2016-03-13,29
2016-03-20,23
2016-03-27,25
2016-04-03,24
2016-04-10,24
2016-04-17,24
2016-04-24,25
2016-05-01,27
2016-05-08,27
2016-05-15,28
2016-05-22,30
2016-05-29,33
2016-06-05,32
2016-06-12,34
2016-06-19,38
2016-06-26,39
2016-07-03,35
2016-07-10,37
2016-07-17,37
2016-07-24,34
2016-07-31,33
2016-08-07,34
2016-08-14,32
2016-08-21,37
2016-08-28,51
2016-09-04,52
2016-09-11,33
2016-09-18,34
2016-09-25,36
2016-10-02,32
2016-10-09,29
2016-10-16,32
2016-10-23,27
2016-10-30,30
2016-11-06,31
2016-11-13,29
2016-11-20,32
2016-11-27,35
2016-12-04,33
2016-12-11,36
2016-12-18,40
2016-12-25,35
2017-01-01,39
2017-01-08,34
2017-01-15,35
2017-01-22,33
2017-01-29,33
2017-02-05,32
2017-02-12,32
2017-02-19,29
2017-02-26,29
2017-03-05,29
2017-03-12,29
2017-03-19,31
2017-03-26,31
2017-04-02,30
2017-04-09,29
2017-04-16,31
2017-04-23,31
2017-04-30,31
2017-05-07,32
2017-05-14,34
2017-05-21,36
2017-05-28,39
2017-06-04,38
2017-06-11,48
2017-06-18,48
2017-06-25,49
2017-07-02,62
2017-07-09,56
2017-07-16,51
2017-07-23,47
2017-07-30,43
2017-08-06,39
2017-08-13,38
2017-08-20,39
2017-08-27,40
2017-09-03,36
2017-09-10,37
2017-09-17,36
2017-09-24,29
2017-10-01,30
2017-10-08,34
2017-10-15,26
2017-10-22,36
2017-10-29,34
2017-11-05,35
2017-11-12,33
2017-11-19,30
2017-11-26,29
2017-12-03,32
2017-12-10,31
2017-12-17,30
2017-12-24,30
2017-12-31,30
2018-01-07,33
2018-01-14,32
2018-01-21,30
2018-01-28,33
2018-02-04,34
2018-02-11,34
2018-02-18,33
2018-02-25,30
2018-03-04,32
2018-03-11,35
2018-03-18,37
2018-03-25,38
2018-04-01,40
2018-04-08,45
2018-04-15,51
2018-04-22,50
2018-04-29,57
2018-05-06,57
2018-05-13,64
2018-05-20,67
2018-05-27,72
2018-06-03,77
2018-06-10,88
2018-06-17,90
2018-06-24,90
2018-07-01,100
2018-07-08,100
2018-07-15,91
2018-07-22,91
2018-07-29,92
2018-08-05,84
2018-08-12,78
2018-08-19,89
2018-08-26,87
2018-09-02,84
2018-09-09,76
2018-09-16,69
2018-09-23,75
2018-09-30,67
2018-10-07,54
2018-10-14,44
2018-10-21,50
2018-10-28,49
2018-11-04,38
2018-11-11,47
2018-11-18,44
2018-11-25,45
2018-12-02,46
2018-12-09,44
2018-12-16,47
2018-12-23,47
2018-12-30,43
2019-01-06,48
2019-01-13,45
2019-01-20,45
2019-01-27,40
2019-02-03,38
2019-02-10,46
2019-02-17,45
2019-02-24,44
2019-03-03,45
2019-03-10,46
2019-03-17,44
2019-03-24,45
2019-03-31,41
2019-04-07,39
2019-04-14,37
2019-04-21,38
2019-04-28,42
2019-05-05,42
2019-05-12,43
2019-05-19,42
2019-05-26,49
2019-06-02,53
2019-06-09,59
2019-06-16,64
2019-06-23,68
2019-06-30,62
2019-07-07,58
2019-07-14,60
2019-07-21,58
2019-07-28,55
2019-08-04,50
2019-08-11,43
2019-08-18,48
2019-08-25,47
2019-09-01,43
2019-09-08,46
2019-09-15,44
2019-09-22,45
2019-09-29,41
2019-10-06,39
2019-10-13,43
2019-10-20,37
2019-10-27,32
2019-11-03,41
2019-11-10,37
2019-11-17,40
2019-11-24,39
2019-12-01,37
2019-12-08,36
2019-12-15,36
2019-12-22,35
2019-12-29,35
2020-01-05,38
