,Sports
2018-12-30,31
2019-01-06,25
2019-01-13,18
2019-01-20,23
2019-01-27,21
2019-02-03,18
2019-02-10,34
2019-02-17,31
2019-02-24,22
2019-03-03,34
2019-03-10,34
2019-03-17,26
2019-03-24,35
2019-03-31,23
2019-04-07,22
2019-04-14,23
2019-04-21,21
2019-04-28,22
2019-05-05,23
2019-05-12,21
2019-05-19,24
2019-05-26,37
2019-06-02,71
2019-06-09,63
2019-06-16,71
2019-06-23,74
2019-06-30,75
2019-07-07,44
2019-07-14,27
2019-07-21,24
2019-07-28,27
2019-08-04,18
2019-08-11,27
2019-08-18,25
2019-08-25,20
2019-09-01,27
2019-09-08,15
2019-09-15,15
2019-09-22,16
2019-09-29,29
2019-10-06,27
2019-10-13,13
2019-10-20,15
2019-10-27,25
2019-11-03,15
2019-11-10,13
2019-11-17,12
2019-11-24,12
2019-12-01,13
2019-12-08,23
2019-12-15,28
2019-12-22,21
2019-12-29,15
2020-01-05,27
2020-01-12,18
2020-01-19,29
2020-01-26,29
2020-02-02,18
2020-02-09,17
2020-02-16,23
2020-02-23,27
2020-03-01,34
2020-03-08,15
2020-03-15,7
2020-03-22,6
2020-03-29,6
2020-04-05,6
2020-04-12,6
2020-04-19,6
2020-04-26,6
2020-05-03,6
2020-05-10,7
2020-05-17,7
2020-05-24,7
2020-05-31,6
2020-06-07,7
2020-06-14,8
2020-06-21,8
2020-06-28,8
2020-07-05,10
2020-07-12,10
2020-07-19,10
2020-07-26,10
2020-08-02,10
2020-08-09,10
2020-08-16,10
2020-08-23,10
2020-08-30,10
2020-09-06,10
2020-09-13,13
2020-09-20,20
2020-09-27,20
2020-10-04,23
2020-10-11,23
2020-10-18,25
2020-10-25,26
2020-11-01,24
2020-11-08,16
2020-11-15,10
2020-11-22,18
2020-11-29,22
2020-12-06,17
2020-12-13,16
2020-12-20,15
2020-12-27,22
2021-01-03,20
2021-01-10,24
2021-01-17,29
2021-01-24,22
2021-01-31,15
2021-02-07,21
2021-02-14,18
2021-02-21,15
2021-02-28,23
2021-03-07,27
2021-03-14,25
2021-03-21,32
2021-03-28,32
2021-04-04,17
2021-04-11,18
2021-04-18,34
2021-04-25,37
2021-05-02,21
2021-05-09,11
2021-05-16,11
2021-05-23,26
2021-05-30,14
2021-06-06,17
2021-06-13,18
2021-06-20,36
2021-06-27,37
2021-07-04,25
2021-07-11,21
2021-07-18,33
2021-07-25,34
2021-08-01,27
2021-08-08,24
2021-08-15,21
2021-08-22,24
2021-08-29,33
2021-09-05,35
2021-09-12,22
2021-09-19,26
2021-09-26,26
2021-10-03,28
2021-10-10,28
2021-10-17,45
2021-10-24,66
2021-10-31,63
2021-11-07,33
2021-11-14,20
2021-11-21,32
2021-11-28,34
2021-12-05,20
2021-12-12,20
2021-12-19,17
2021-12-26,19
2022-01-02,19
2022-01-09,19
2022-01-16,26
2022-01-23,20
2022-01-30,17
2022-02-06,22
2022-02-13,30
2022-02-20,29
2022-02-27,27
2022-03-06,25
2022-03-13,22
2022-03-20,20
2022-03-27,33
2022-04-03,29
2022-04-10,29
2022-04-17,31
2022-04-24,30
2022-05-01,31
2022-05-08,29
2022-05-15,46
2022-05-22,48
2022-05-29,24
2022-06-05,32
2022-06-12,39
2022-06-19,44
2022-06-26,34
2022-07-03,39
2022-07-10,43
2022-07-17,48
2022-07-24,48
2022-07-31,23
2022-08-07,19
2022-08-14,20
2022-08-21,24
2022-08-28,47
2022-09-04,57
2022-09-11,34
2022-09-18,26
2022-09-25,26
2022-10-02,24
2022-10-09,31
2022-10-16,68
2022-10-23,93
2022-10-30,95
2022-11-06,46
2022-11-13,33
2022-11-20,49
2022-11-27,53
2022-12-04,52
2022-12-11,38
2022-12-18,34
2022-12-25,19
2023-01-01,35
2023-01-08,36
2023-01-15,29
2023-01-22,23
2023-01-29,22
2023-02-05,23
2023-02-12,26
2023-02-19,22
2023-02-26,22
2023-03-05,32
2023-03-12,33
2023-03-19,28
2023-03-26,31
2023-04-02,39
2023-04-09,27
2023-04-16,41
2023-04-23,50
2023-04-30,35
2023-05-07,34
2023-05-14,35
2023-05-21,34
2023-05-28,36
2023-06-04,34
2023-06-11,25
2023-06-18,37
2023-06-25,46
2023-07-02,40
2023-07-09,31
2023-07-16,45
2023-07-23,35
2023-07-30,26
2023-08-06,23
2023-08-13,22
2023-08-20,20
2023-08-27,45
2023-09-03,58
2023-09-10,100
2023-09-17,37
2023-09-24,35
2023-10-01,53
2023-10-08,73
2023-10-15,71
2023-10-22,89
2023-10-29,86
2023-11-05,82
2023-11-12,48
2023-11-19,40
2023-11-26,22
2023-12-03,18
2023-12-10,19
2023-12-17,19
2023-12-24,18
2023-12-31,22
2024-01-07,24
