,Textiles & Nonwovens
2014-12-28,39
2015-01-04,41
2015-01-11,37
2015-01-18,42
2015-01-25,37
2015-02-01,43
2015-02-08,39
2015-02-15,41
2015-02-22,40
2015-03-01,36
2015-03-08,38
2015-03-15,39
2015-03-22,38
2015-03-29,41
2015-04-05,44
2015-04-12,41
2015-04-19,42
2015-04-26,40
2015-05-03,41
2015-05-10,44
2015-05-17,41
2015-05-24,42
2015-05-31,44
2015-06-07,46
2015-06-14,45
2015-06-21,51
2015-06-28,56
2015-07-05,57
2015-07-12,56
2015-07-19,60
2015-07-26,59
2015-08-02,57
2015-08-09,59
2015-08-16,56
2015-08-23,48
2015-08-30,51
2015-09-06,54
2015-09-13,51
2015-09-20,51
2015-09-27,51
2015-10-04,52
2015-10-11,53
2015-10-18,46
2015-10-25,53
2015-11-01,50
2015-11-08,36
2015-11-15,48
2015-11-22,51
2015-11-29,53
2015-12-06,49
2015-12-13,50
2015-12-20,52
2015-12-27,50
2016-01-03,50
2016-01-10,48
2016-01-17,51
2016-01-24,47
2016-01-31,48
2016-02-07,50
2016-02-14,49
2016-02-21,50
2016-02-28,47
2016-03-06,47
2016-03-13,49
2016-03-20,44
2016-03-27,49
2016-04-03,49
2016-04-10,49
2016-04-17,48
2016-04-24,50
2016-05-01,52
2016-05-08,49
2016-05-15,58
2016-05-22,53
2016-05-29,53
2016-06-05,56
2016-06-12,59
2016-06-19,61
2016-06-26,63
2016-07-03,63
2016-07-10,62
2016-07-17,64
2016-07-24,64
2016-07-31,62
2016-08-07,65
2016-08-14,54
2016-08-21,63
2016-08-28,62
2016-09-04,56
2016-09-11,60
2016-09-18,62
2016-09-25,58
2016-10-02,59
2016-10-09,51
2016-10-16,63
2016-10-23,53
2016-10-30,53
2016-11-06,54
2016-11-13,50
2016-11-20,56
2016-11-27,56
2016-12-04,56
2016-12-11,57
2016-12-18,57
2016-12-25,58
2017-01-01,62
2017-01-08,59
2017-01-15,63
2017-01-22,61
2017-01-29,60
2017-02-05,63
2017-02-12,68
2017-02-19,62
2017-02-26,59
2017-03-05,57
2017-03-12,55
2017-03-19,59
2017-03-26,60
2017-04-02,59
2017-04-09,59
2017-04-16,60
2017-04-23,63
2017-04-30,60
2017-05-07,60
2017-05-14,63
2017-05-21,63
2017-05-28,68
2017-06-04,70
2017-06-11,74
2017-06-18,74
2017-06-25,72
2017-07-02,76
2017-07-09,79
2017-07-16,78
2017-07-23,72
2017-07-30,75
2017-08-06,68
2017-08-13,68
2017-08-20,72
2017-08-27,68
2017-09-03,74
2017-09-10,74
2017-09-17,74
2017-09-24,65
2017-10-01,77
2017-10-08,70
2017-10-15,53
2017-10-22,68
2017-10-29,73
2017-11-05,76
2017-11-12,74
2017-11-19,71
2017-11-26,71
2017-12-03,72
2017-12-10,70
2017-12-17,74
2017-12-24,90
2017-12-31,72
2018-01-07,75
2018-01-14,72
2018-01-21,68
2018-01-28,73
2018-02-04,72
2018-02-11,72
2018-02-18,72
2018-02-25,68
2018-03-04,73
2018-03-11,73
2018-03-18,69
2018-03-25,73
2018-04-01,71
2018-04-08,73
2018-04-15,71
2018-04-22,74
2018-04-29,74
2018-05-06,73
2018-05-13,79
2018-05-20,83
2018-05-27,82
2018-06-03,79
2018-06-10,86
2018-06-17,81
2018-06-24,83
2018-07-01,90
2018-07-08,87
2018-07-15,83
2018-07-22,87
2018-07-29,87
2018-08-05,100
2018-08-12,88
2018-08-19,87
2018-08-26,85
2018-09-02,89
2018-09-09,83
2018-09-16,89
2018-09-23,88
2018-09-30,90
2018-10-07,96
2018-10-14,84
2018-10-21,99
2018-10-28,93
2018-11-04,70
2018-11-11,92
2018-11-18,92
2018-11-25,92
2018-12-02,87
2018-12-09,89
2018-12-16,90
2018-12-23,89
2018-12-30,88
2019-01-06,84
2019-01-13,79
2019-01-20,83
2019-01-27,90
2019-02-03,84
2019-02-10,84
2019-02-17,87
2019-02-24,82
2019-03-03,80
2019-03-10,87
2019-03-17,80
2019-03-24,88
2019-03-31,89
2019-04-07,77
2019-04-14,79
2019-04-21,81
2019-04-28,79
2019-05-05,79
2019-05-12,84
2019-05-19,96
2019-05-26,87
2019-06-02,84
2019-06-09,91
2019-06-16,86
2019-06-23,93
2019-06-30,85
2019-07-07,83
2019-07-14,90
2019-07-21,90
2019-07-28,89
2019-08-04,94
2019-08-11,85
2019-08-18,98
2019-08-25,96
2019-09-01,96
2019-09-08,95
2019-09-15,93
2019-09-22,91
2019-09-29,89
2019-10-06,83
2019-10-13,88
2019-10-20,90
2019-10-27,89
2019-11-03,89
2019-11-10,89
2019-11-17,89
2019-11-24,87
2019-12-01,86
2019-12-08,84
2019-12-15,85
2019-12-22,85
2019-12-29,88
2020-01-05,95
