,Timeshares & Vacation Properties
2014-12-28,0
2015-01-04,57
2015-01-11,0
2015-01-18,46
2015-01-25,0
2015-02-01,50
2015-02-08,61
2015-02-15,0
2015-02-22,42
2015-03-01,0
2015-03-08,60
2015-03-15,40
2015-03-22,0
2015-03-29,41
2015-04-05,56
2015-04-12,41
2015-04-19,45
2015-04-26,41
2015-05-03,38
2015-05-10,37
2015-05-17,55
2015-05-24,0
2015-05-31,0
2015-06-07,48
2015-06-14,0
2015-06-21,36
2015-06-28,0
2015-07-05,66
2015-07-12,60
2015-07-19,39
2015-07-26,0
2015-08-02,51
2015-08-09,47
2015-08-16,34
2015-08-23,0
2015-08-30,0
2015-09-06,44
2015-09-13,54
2015-09-20,0
2015-09-27,0
2015-10-04,42
2015-10-11,61
2015-10-18,56
2015-10-25,0
2015-11-01,57
2015-11-08,0
2015-11-15,0
2015-11-22,53
2015-11-29,35
2015-12-06,43
2015-12-13,0
2015-12-20,44
2015-12-27,40
2016-01-03,45
2016-01-10,0
2016-01-17,51
2016-01-24,35
2016-01-31,48
2016-02-07,35
2016-02-14,49
2016-02-21,38
2016-02-28,44
2016-03-06,51
2016-03-13,61
2016-03-20,69
2016-03-27,39
2016-04-03,0
2016-04-10,51
2016-04-17,49
2016-04-24,41
2016-05-01,56
2016-05-08,77
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,63
2016-06-19,42
2016-06-26,47
2016-07-03,0
2016-07-10,36
2016-07-17,63
2016-07-24,51
2016-07-31,0
2016-08-07,0
2016-08-14,45
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,35
2016-09-18,0
2016-09-25,0
2016-10-02,35
2016-10-09,0
2016-10-16,0
2016-10-23,34
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,32
2017-01-15,0
2017-01-22,36
2017-01-29,0
2017-02-05,50
2017-02-12,31
2017-02-19,47
2017-02-26,30
2017-03-05,42
2017-03-12,0
2017-03-19,47
2017-03-26,33
2017-04-02,41
2017-04-09,57
2017-04-16,47
2017-04-23,33
2017-04-30,0
2017-05-07,33
2017-05-14,48
2017-05-21,38
2017-05-28,0
2017-06-04,47
2017-06-11,0
2017-06-18,50
2017-06-25,0
2017-07-02,0
2017-07-09,34
2017-07-16,49
2017-07-23,57
2017-07-30,37
2017-08-06,45
2017-08-13,47
2017-08-20,50
2017-08-27,59
2017-09-03,0
2017-09-10,0
2017-09-17,38
2017-09-24,55
2017-10-01,41
2017-10-08,39
2017-10-15,34
2017-10-22,56
2017-10-29,34
2017-11-05,46
2017-11-12,55
2017-11-19,67
2017-11-26,64
2017-12-03,49
2017-12-10,47
2017-12-17,47
2017-12-24,66
2017-12-31,55
2018-01-07,69
2018-01-14,63
2018-01-21,71
2018-01-28,57
2018-02-04,59
2018-02-11,52
2018-02-18,35
2018-02-25,45
2018-03-04,63
2018-03-11,66
2018-03-18,59
2018-03-25,46
2018-04-01,74
2018-04-08,31
2018-04-15,72
2018-04-22,45
2018-04-29,55
2018-05-06,54
2018-05-13,59
2018-05-20,38
2018-05-27,0
2018-06-03,31
2018-06-10,47
2018-06-17,43
2018-06-24,48
2018-07-01,35
2018-07-08,40
2018-07-15,53
2018-07-22,39
2018-07-29,52
2018-08-05,52
2018-08-12,67
2018-08-19,47
2018-08-26,65
2018-09-02,49
2018-09-09,55
2018-09-16,0
2018-09-23,54
2018-09-30,44
2018-10-07,55
2018-10-14,60
2018-10-21,79
2018-10-28,69
2018-11-04,84
2018-11-11,53
2018-11-18,49
2018-11-25,71
2018-12-02,49
2018-12-09,73
2018-12-16,65
2018-12-23,60
2018-12-30,63
2019-01-06,92
2019-01-13,81
2019-01-20,77
2019-01-27,92
2019-02-03,76
2019-02-10,88
2019-02-17,55
2019-02-24,81
2019-03-03,87
2019-03-10,66
2019-03-17,100
2019-03-24,64
2019-03-31,65
2019-04-07,63
2019-04-14,66
2019-04-21,93
2019-04-28,62
2019-05-05,53
2019-05-12,39
2019-05-19,59
2019-05-26,72
2019-06-02,72
2019-06-09,64
2019-06-16,78
2019-06-23,70
2019-06-30,78
2019-07-07,81
2019-07-14,92
2019-07-21,95
2019-07-28,68
2019-08-04,48
2019-08-11,53
2019-08-18,46
2019-08-25,68
2019-09-01,66
2019-09-08,67
2019-09-15,44
2019-09-22,52
2019-09-29,74
2019-10-06,65
2019-10-13,82
2019-10-20,45
2019-10-27,52
2019-11-03,45
2019-11-10,74
2019-11-17,46
2019-11-24,58
2019-12-01,68
2019-12-08,73
2019-12-15,82
2019-12-22,72
2019-12-29,91
2020-01-05,52
