,Tobacco Products
2014-12-28,11
2015-01-04,9
2015-01-11,10
2015-01-18,10
2015-01-25,10
2015-02-01,11
2015-02-08,12
2015-02-15,11
2015-02-22,11
2015-03-01,11
2015-03-08,11
2015-03-15,11
2015-03-22,11
2015-03-29,12
2015-04-05,11
2015-04-12,12
2015-04-19,11
2015-04-26,11
2015-05-03,11
2015-05-10,11
2015-05-17,11
2015-05-24,12
2015-05-31,12
2015-06-07,11
2015-06-14,12
2015-06-21,14
2015-06-28,18
2015-07-05,16
2015-07-12,17
2015-07-19,19
2015-07-26,19
2015-08-02,20
2015-08-09,17
2015-08-16,19
2015-08-23,19
2015-08-30,17
2015-09-06,19
2015-09-13,18
2015-09-20,19
2015-09-27,20
2015-10-04,20
2015-10-11,20
2015-10-18,17
2015-10-25,19
2015-11-01,19
2015-11-08,16
2015-11-15,19
2015-11-22,19
2015-11-29,19
2015-12-06,20
2015-12-13,19
2015-12-20,19
2015-12-27,19
2016-01-03,25
2016-01-10,25
2016-01-17,25
2016-01-24,24
2016-01-31,26
2016-02-07,27
2016-02-14,28
2016-02-21,30
2016-02-28,30
2016-03-06,29
2016-03-13,29
2016-03-20,27
2016-03-27,29
2016-04-03,29
2016-04-10,24
2016-04-17,29
2016-04-24,31
2016-05-01,34
2016-05-08,34
2016-05-15,30
2016-05-22,35
2016-05-29,35
2016-06-05,35
2016-06-12,35
2016-06-19,37
2016-06-26,36
2016-07-03,35
2016-07-10,34
2016-07-17,39
2016-07-24,38
2016-07-31,38
2016-08-07,40
2016-08-14,35
2016-08-21,38
2016-08-28,39
2016-09-04,35
2016-09-11,41
2016-09-18,43
2016-09-25,41
2016-10-02,43
2016-10-09,42
2016-10-16,43
2016-10-23,43
2016-10-30,44
2016-11-06,42
2016-11-13,43
2016-11-20,40
2016-11-27,41
2016-12-04,39
2016-12-11,41
2016-12-18,46
2016-12-25,46
2017-01-01,46
2017-01-08,44
2017-01-15,47
2017-01-22,41
2017-01-29,49
2017-02-05,50
2017-02-12,50
2017-02-19,51
2017-02-26,50
2017-03-05,58
2017-03-12,57
2017-03-19,60
2017-03-26,57
2017-04-02,52
2017-04-09,48
2017-04-16,54
2017-04-23,51
2017-04-30,52
2017-05-07,54
2017-05-14,57
2017-05-21,62
2017-05-28,59
2017-06-04,59
2017-06-11,60
2017-06-18,60
2017-06-25,64
2017-07-02,63
2017-07-09,71
2017-07-16,61
2017-07-23,62
2017-07-30,62
2017-08-06,59
2017-08-13,54
2017-08-20,61
2017-08-27,60
2017-09-03,62
2017-09-10,61
2017-09-17,55
2017-09-24,61
2017-10-01,59
2017-10-08,64
2017-10-15,63
2017-10-22,69
2017-10-29,72
2017-11-05,72
2017-11-12,70
2017-11-19,68
2017-11-26,75
2017-12-03,75
2017-12-10,66
2017-12-17,78
2017-12-24,67
2017-12-31,65
2018-01-07,75
2018-01-14,73
2018-01-21,64
2018-01-28,77
2018-02-04,80
2018-02-11,81
2018-02-18,82
2018-02-25,70
2018-03-04,76
2018-03-11,79
2018-03-18,85
2018-03-25,80
2018-04-01,79
2018-04-08,78
2018-04-15,76
2018-04-22,82
2018-04-29,84
2018-05-06,83
2018-05-13,87
2018-05-20,85
2018-05-27,90
2018-06-03,72
2018-06-10,73
2018-06-17,80
2018-06-24,77
2018-07-01,81
2018-07-08,88
2018-07-15,82
2018-07-22,88
2018-07-29,91
2018-08-05,93
2018-08-12,82
2018-08-19,92
2018-08-26,95
2018-09-02,96
2018-09-09,92
2018-09-16,91
2018-09-23,94
2018-09-30,96
2018-10-07,99
2018-10-14,86
2018-10-21,94
2018-10-28,92
2018-11-04,88
2018-11-11,88
2018-11-18,89
2018-11-25,87
2018-12-02,90
2018-12-09,91
2018-12-16,100
2018-12-23,91
2018-12-30,87
2019-01-06,73
2019-01-13,80
2019-01-20,82
2019-01-27,91
2019-02-03,87
2019-02-10,87
2019-02-17,85
2019-02-24,81
2019-03-03,85
2019-03-10,85
2019-03-17,80
2019-03-24,82
2019-03-31,81
2019-04-07,74
2019-04-14,67
2019-04-21,77
2019-04-28,80
2019-05-05,78
2019-05-12,83
2019-05-19,81
2019-05-26,86
2019-06-02,83
2019-06-09,81
2019-06-16,84
2019-06-23,88
2019-06-30,85
2019-07-07,88
2019-07-14,82
2019-07-21,89
2019-07-28,95
2019-08-04,87
2019-08-11,81
2019-08-18,92
2019-08-25,93
2019-09-01,93
2019-09-08,98
2019-09-15,98
2019-09-22,98
2019-09-29,90
2019-10-06,91
2019-10-13,99
2019-10-20,87
2019-10-27,91
2019-11-03,89
2019-11-10,94
2019-11-17,94
2019-11-24,96
2019-12-01,98
2019-12-08,56
2019-12-15,50
2019-12-22,85
2019-12-29,81
2020-01-05,86
