,Transportation & Logistics
2018-12-30,21
2019-01-06,23
2019-01-13,22
2019-01-20,23
2019-01-27,23
2019-02-03,21
2019-02-10,23
2019-02-17,23
2019-02-24,24
2019-03-03,24
2019-03-10,24
2019-03-17,23
2019-03-24,23
2019-03-31,22
2019-04-07,21
2019-04-14,17
2019-04-21,19
2019-04-28,20
2019-05-05,21
2019-05-12,19
2019-05-19,22
2019-05-26,23
2019-06-02,22
2019-06-09,23
2019-06-16,23
2019-06-23,24
2019-06-30,24
2019-07-07,23
2019-07-14,23
2019-07-21,25
2019-07-28,24
2019-08-04,25
2019-08-11,24
2019-08-18,25
2019-08-25,28
2019-09-01,25
2019-09-08,23
2019-09-15,24
2019-09-22,23
2019-09-29,25
2019-10-06,23
2019-10-13,26
2019-10-20,25
2019-10-27,23
2019-11-03,23
2019-11-10,21
2019-11-17,23
2019-11-24,26
2019-12-01,24
2019-12-08,23
2019-12-15,25
2019-12-22,23
2019-12-29,24
2020-01-05,23
2020-01-12,24
2020-01-19,75
2020-01-26,67
2020-02-02,23
2020-02-09,24
2020-02-16,26
2020-02-23,23
2020-03-01,24
2020-03-08,21
2020-03-15,19
2020-03-22,14
2020-03-29,15
2020-04-05,15
2020-04-12,16
2020-04-19,16
2020-04-26,16
2020-05-03,16
2020-05-10,21
2020-05-17,22
2020-05-24,21
2020-05-31,20
2020-06-07,26
2020-06-14,24
2020-06-21,24
2020-06-28,24
2020-07-05,24
2020-07-12,24
2020-07-19,26
2020-07-26,26
2020-08-02,23
2020-08-09,25
2020-08-16,25
2020-08-23,24
2020-08-30,24
2020-09-06,28
2020-09-13,25
2020-09-20,24
2020-09-27,23
2020-10-04,26
2020-10-11,30
2020-10-18,24
2020-10-25,22
2020-11-01,21
2020-11-08,23
2020-11-15,25
2020-11-22,25
2020-11-29,24
2020-12-06,26
2020-12-13,28
2020-12-20,26
2020-12-27,24
2021-01-03,25
2021-01-10,23
2021-01-17,25
2021-01-24,23
2021-01-31,23
2021-02-07,25
2021-02-14,27
2021-02-21,24
2021-02-28,25
2021-03-07,26
2021-03-14,27
2021-03-21,26
2021-03-28,28
2021-04-04,25
2021-04-11,18
2021-04-18,26
2021-04-25,24
2021-05-02,27
2021-05-09,24
2021-05-16,29
2021-05-23,26
2021-05-30,30
2021-06-06,28
2021-06-13,29
2021-06-20,28
2021-06-27,31
2021-07-04,31
2021-07-11,32
2021-07-18,33
2021-07-25,33
2021-08-01,30
2021-08-08,28
2021-08-15,28
2021-08-22,26
2021-08-29,28
2021-09-05,28
2021-09-12,29
2021-09-19,30
2021-09-26,30
2021-10-03,32
2021-10-10,28
2021-10-17,26
2021-10-24,27
2021-10-31,29
2021-11-07,29
2021-11-14,27
2021-11-21,28
2021-11-28,28
2021-12-05,28
2021-12-12,29
2021-12-19,29
2021-12-26,29
2022-01-02,33
2022-01-09,34
2022-01-16,76
2022-01-23,33
2022-01-30,34
2022-02-06,30
2022-02-13,32
2022-02-20,36
2022-02-27,36
2022-03-06,32
2022-03-13,33
2022-03-20,35
2022-03-27,30
2022-04-03,30
2022-04-10,23
2022-04-17,31
2022-04-24,31
2022-05-01,29
2022-05-08,28
2022-05-15,31
2022-05-22,35
2022-05-29,37
2022-06-05,33
2022-06-12,32
2022-06-19,36
2022-06-26,35
2022-07-03,36
2022-07-10,34
2022-07-17,42
2022-07-24,34
2022-07-31,35
2022-08-07,32
2022-08-14,36
2022-08-21,36
2022-08-28,50
2022-09-04,33
2022-09-11,32
2022-09-18,32
2022-09-25,33
2022-10-02,33
2022-10-09,42
2022-10-16,34
2022-10-23,34
2022-10-30,30
2022-11-06,29
2022-11-13,31
2022-11-20,30
2022-11-27,29
2022-12-04,28
2022-12-11,30
2022-12-18,30
2022-12-25,28
2023-01-01,28
2023-01-08,31
2023-01-15,30
2023-01-22,33
2023-01-29,29
2023-02-05,29
2023-02-12,33
2023-02-19,33
2023-02-26,31
2023-03-05,29
2023-03-12,30
2023-03-19,32
2023-03-26,30
2023-04-02,29
2023-04-09,25
2023-04-16,29
2023-04-23,28
2023-04-30,24
2023-05-07,30
2023-05-14,30
2023-05-21,31
2023-05-28,28
2023-06-04,30
2023-06-11,34
2023-06-18,35
2023-06-25,36
2023-07-02,57
2023-07-09,35
2023-07-16,36
2023-07-23,31
2023-07-30,32
2023-08-06,34
2023-08-13,34
2023-08-20,32
2023-08-27,33
2023-09-03,33
2023-09-10,31
2023-09-17,32
2023-09-24,31
2023-10-01,34
2023-10-08,31
2023-10-15,31
2023-10-22,31
2023-10-29,31
2023-11-05,32
2023-11-12,33
2023-11-19,32
2023-11-26,33
2023-12-03,33
2023-12-10,32
2023-12-17,35
2023-12-24,29
2023-12-31,66
2024-01-07,100
