,Travel
2014-12-28,68
2015-01-04,63
2015-01-11,58
2015-01-18,63
2015-01-25,64
2015-02-01,61
2015-02-08,59
2015-02-15,59
2015-02-22,61
2015-03-01,61
2015-03-08,60
2015-03-15,72
2015-03-22,63
2015-03-29,67
2015-04-05,68
2015-04-12,60
2015-04-19,65
2015-04-26,69
2015-05-03,79
2015-05-10,59
2015-05-17,61
2015-05-24,65
2015-05-31,62
2015-06-07,56
2015-06-14,53
2015-06-21,55
2015-06-28,64
2015-07-05,63
2015-07-12,64
2015-07-19,65
2015-07-26,63
2015-08-02,70
2015-08-09,71
2015-08-16,68
2015-08-23,63
2015-08-30,68
2015-09-06,67
2015-09-13,67
2015-09-20,60
2015-09-27,63
2015-10-04,68
2015-10-11,64
2015-10-18,64
2015-10-25,66
2015-11-01,65
2015-11-08,68
2015-11-15,66
2015-11-22,62
2015-11-29,66
2015-12-06,65
2015-12-13,64
2015-12-20,68
2015-12-27,77
2016-01-03,71
2016-01-10,64
2016-01-17,67
2016-01-24,67
2016-01-31,67
2016-02-07,69
2016-02-14,69
2016-02-21,64
2016-02-28,67
2016-03-06,73
2016-03-13,72
2016-03-20,72
2016-03-27,70
2016-04-03,73
2016-04-10,71
2016-04-17,70
2016-04-24,77
2016-05-01,72
2016-05-08,68
2016-05-15,69
2016-05-22,62
2016-05-29,64
2016-06-05,58
2016-06-12,61
2016-06-19,64
2016-06-26,68
2016-07-03,69
2016-07-10,75
2016-07-17,75
2016-07-24,70
2016-07-31,74
2016-08-07,54
2016-08-14,78
2016-08-21,75
2016-08-28,51
2016-09-04,68
2016-09-11,64
2016-09-18,40
2016-09-25,26
2016-10-02,25
2016-10-09,28
2016-10-16,26
2016-10-23,25
2016-10-30,30
2016-11-06,30
2016-11-13,30
2016-11-20,28
2016-11-27,30
2016-12-04,30
2016-12-11,28
2016-12-18,28
2016-12-25,37
2017-01-01,31
2017-01-08,31
2017-01-15,30
2017-01-22,32
2017-01-29,43
2017-02-05,69
2017-02-12,68
2017-02-19,65
2017-02-26,69
2017-03-05,67
2017-03-12,66
2017-03-19,61
2017-03-26,71
2017-04-02,71
2017-04-09,74
2017-04-16,73
2017-04-23,74
2017-04-30,69
2017-05-07,68
2017-05-14,63
2017-05-21,66
2017-05-28,57
2017-06-04,57
2017-06-11,57
2017-06-18,67
2017-06-25,54
2017-07-02,65
2017-07-09,63
2017-07-16,65
2017-07-23,61
2017-07-30,66
2017-08-06,72
2017-08-13,71
2017-08-20,63
2017-08-27,59
2017-09-03,58
2017-09-10,64
2017-09-17,58
2017-09-24,64
2017-10-01,65
2017-10-08,64
2017-10-15,60
2017-10-22,65
2017-10-29,71
2017-11-05,69
2017-11-12,73
2017-11-19,70
2017-11-26,83
2017-12-03,70
2017-12-10,66
2017-12-17,75
2017-12-24,83
2017-12-31,75
2018-01-07,68
2018-01-14,71
2018-01-21,69
2018-01-28,74
2018-02-04,79
2018-02-11,74
2018-02-18,76
2018-02-25,74
2018-03-04,72
2018-03-11,75
2018-03-18,75
2018-03-25,75
2018-04-01,78
2018-04-08,75
2018-04-15,73
2018-04-22,70
2018-04-29,75
2018-05-06,70
2018-05-13,61
2018-05-20,64
2018-05-27,63
2018-06-03,62
2018-06-10,62
2018-06-17,60
2018-06-24,65
2018-07-01,67
2018-07-08,66
2018-07-15,73
2018-07-22,76
2018-07-29,71
2018-08-05,72
2018-08-12,81
2018-08-19,61
2018-08-26,69
2018-09-02,73
2018-09-09,68
2018-09-16,71
2018-09-23,76
2018-09-30,74
2018-10-07,72
2018-10-14,72
2018-10-21,73
2018-10-28,78
2018-11-04,71
2018-11-11,71
2018-11-18,66
2018-11-25,69
2018-12-02,70
2018-12-09,70
2018-12-16,73
2018-12-23,85
2018-12-30,86
2019-01-06,72
2019-01-13,72
2019-01-20,73
2019-01-27,74
2019-02-03,82
2019-02-10,79
2019-02-17,79
2019-02-24,84
2019-03-03,81
2019-03-10,78
2019-03-17,75
2019-03-24,74
2019-03-31,75
2019-04-07,77
2019-04-14,80
2019-04-21,73
2019-04-28,72
2019-05-05,61
2019-05-12,62
2019-05-19,64
2019-05-26,63
2019-06-02,63
2019-06-09,72
2019-06-16,71
2019-06-23,75
2019-06-30,68
2019-07-07,70
2019-07-14,76
2019-07-21,80
2019-07-28,72
2019-08-04,78
2019-08-11,69
2019-08-18,76
2019-08-25,72
2019-09-01,72
2019-09-08,72
2019-09-15,69
2019-09-22,73
2019-09-29,75
2019-10-06,70
2019-10-13,72
2019-10-20,73
2019-10-27,72
2019-11-03,75
2019-11-10,70
2019-11-17,74
2019-11-24,80
2019-12-01,83
2019-12-08,81
2019-12-15,95
2019-12-22,100
2019-12-29,89
2020-01-05,80
