,Unemployment
2023-01-01,43
2023-01-08,42
2023-01-15,57
2023-01-22,61
2023-01-29,54
2023-02-05,100
2023-02-12,34
2023-02-19,63
2023-02-26,41
2023-03-05,55
2023-03-12,67
2023-03-19,55
2023-03-26,33
2023-04-02,38
2023-04-09,27
2023-04-16,50
2023-04-23,37
2023-04-30,34
2023-05-07,42
2023-05-14,36
2023-05-21,53
2023-05-28,33
2023-06-04,66
2023-06-11,59
2023-06-18,50
2023-06-25,60
2023-07-02,36
2023-07-09,54
2023-07-16,54
2023-07-23,57
2023-07-30,34
2023-08-06,46
2023-08-13,68
2023-08-20,67
2023-08-27,43
2023-09-03,59
2023-09-10,39
2023-09-17,58
2023-09-24,37
2023-10-01,38
2023-10-08,34
2023-10-15,44
2023-10-22,24
2023-10-29,72
2023-11-05,52
2023-11-12,71
2023-11-19,47
2023-11-26,53
2023-12-03,45
2023-12-10,40
2023-12-17,37
2023-12-24,28
2023-12-31,30
2024-01-07,51
2024-01-14,60
2024-01-21,38
2024-01-28,48
2024-02-04,29
2024-02-11,62
2024-02-18,44
2024-02-25,55
2024-03-03,53
2024-03-10,43
2024-03-17,57
2024-03-24,40
2024-03-31,48
2024-04-07,0
2024-04-14,41
2024-04-21,39
2024-04-28,37
2024-05-05,51
2024-05-12,57
2024-05-19,28
2024-05-26,60
2024-06-02,43
2024-06-09,29
2024-06-16,55
2024-06-23,34
2024-06-30,30
2024-07-07,52
2024-07-14,32
2024-07-21,51
2024-07-28,49
2024-08-04,45
2024-08-11,44
2024-08-18,40
2024-08-25,58
2024-09-01,45
2024-09-08,69
2024-09-15,26
2024-09-22,31
2024-09-29,48
2024-10-06,0
2024-10-13,45
2024-10-20,30
2024-10-27,43
2024-11-03,48
2024-11-10,51
2024-11-17,49
2024-11-24,53
2024-12-01,30
2024-12-08,0
2024-12-15,30
2024-12-22,32
2024-12-29,0
2025-01-05,32
2025-01-12,44
2025-01-19,30
2025-01-26,30
2025-02-02,32
2025-02-09,32
2025-02-16,39
2025-02-23,48
2025-03-02,32
2025-03-09,36
2025-03-16,33
2025-03-23,40
2025-03-30,40
2025-04-06,0
2025-04-13,0
2025-04-20,33
2025-04-27,46
2025-05-04,34
2025-05-11,49
2025-05-18,27
2025-05-25,49
2025-06-01,36
2025-06-08,28
2025-06-15,0
2025-06-22,28
2025-06-29,0
2025-07-06,46
2025-07-13,37
2025-07-20,32
2025-07-27,0
2025-08-03,36
2025-08-10,0
2025-08-17,29
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,30
2025-09-21,27
2025-09-28,0
2025-10-05,29
2025-10-12,0
2025-10-19,33
2025-10-26,0
2025-11-02,49
2025-11-09,44
2025-11-16,50
2025-11-23,45
2025-11-30,69
2025-12-07,60
2025-12-14,60
2025-12-21,0
2025-12-28,0
2026-01-04,29
2026-01-11,51
2026-01-18,59
2026-01-25,49
