,Vehicle Brands
2023-01-01,60
2023-01-08,67
2023-01-15,57
2023-01-22,59
2023-01-29,65
2023-02-05,60
2023-02-12,64
2023-02-19,59
2023-02-26,63
2023-03-05,52
2023-03-12,53
2023-03-19,63
2023-03-26,57
2023-04-02,69
2023-04-09,62
2023-04-16,69
2023-04-23,62
2023-04-30,64
2023-05-07,62
2023-05-14,59
2023-05-21,56
2023-05-28,56
2023-06-04,63
2023-06-11,59
2023-06-18,57
2023-06-25,53
2023-07-02,60
2023-07-09,59
2023-07-16,59
2023-07-23,61
2023-07-30,64
2023-08-06,66
2023-08-13,70
2023-08-20,70
2023-08-27,72
2023-09-03,67
2023-09-10,65
2023-09-17,61
2023-09-24,70
2023-10-01,63
2023-10-08,63
2023-10-15,59
2023-10-22,64
2023-10-29,70
2023-11-05,66
2023-11-12,70
2023-11-19,71
2023-11-26,67
2023-12-03,74
2023-12-10,74
2023-12-17,74
2023-12-24,75
2023-12-31,77
2024-01-07,65
2024-01-14,74
2024-01-21,71
2024-01-28,81
2024-02-04,90
2024-02-11,81
2024-02-18,81
2024-02-25,79
2024-03-03,74
2024-03-10,71
2024-03-17,79
2024-03-24,79
2024-03-31,80
2024-04-07,75
2024-04-14,75
2024-04-21,80
2024-04-28,77
2024-05-05,74
2024-05-12,77
2024-05-19,74
2024-05-26,77
2024-06-02,77
2024-06-09,72
2024-06-16,64
2024-06-23,65
2024-06-30,67
2024-07-07,80
2024-07-14,82
2024-07-21,74
2024-07-28,73
2024-08-04,73
2024-08-11,83
2024-08-18,70
2024-08-25,74
2024-09-01,71
2024-09-08,65
2024-09-15,68
2024-09-22,73
2024-09-29,63
2024-10-06,75
2024-10-13,67
2024-10-20,70
2024-10-27,77
2024-11-03,73
2024-11-10,71
2024-11-17,73
2024-11-24,79
2024-12-01,81
2024-12-08,72
2024-12-15,79
2024-12-22,83
2024-12-29,82
2025-01-05,72
2025-01-12,78
2025-01-19,70
2025-01-26,84
2025-02-02,74
2025-02-09,78
2025-02-16,73
2025-02-23,70
2025-03-02,73
2025-03-09,75
2025-03-16,82
2025-03-23,78
2025-03-30,92
2025-04-06,96
2025-04-13,85
2025-04-20,84
2025-04-27,100
2025-05-04,70
2025-05-11,70
2025-05-18,73
2025-05-25,74
2025-06-01,67
2025-06-08,81
2025-06-15,87
2025-06-22,81
2025-06-29,79
2025-07-06,75
2025-07-13,76
2025-07-20,73
2025-07-27,76
2025-08-03,70
2025-08-10,72
2025-08-17,77
2025-08-24,82
2025-08-31,66
2025-09-07,71
2025-09-14,67
2025-09-21,64
2025-09-28,66
2025-10-05,69
2025-10-12,65
2025-10-19,76
2025-10-26,74
2025-11-02,72
2025-11-09,77
2025-11-16,78
2025-11-23,69
2025-11-30,74
2025-12-07,70
2025-12-14,76
2025-12-21,86
2025-12-28,77
2026-01-04,64
