,Weddings
2014-12-28,42
2015-01-04,36
2015-01-11,43
2015-01-18,46
2015-01-25,43
2015-02-01,46
2015-02-08,40
2015-02-15,43
2015-02-22,37
2015-03-01,41
2015-03-08,45
2015-03-15,40
2015-03-22,41
2015-03-29,41
2015-04-05,39
2015-04-12,34
2015-04-19,42
2015-04-26,53
2015-05-03,59
2015-05-10,63
2015-05-17,73
2015-05-24,75
2015-05-31,66
2015-06-07,55
2015-06-14,50
2015-06-21,43
2015-06-28,48
2015-07-05,100
2015-07-12,61
2015-07-19,61
2015-07-26,58
2015-08-02,63
2015-08-09,60
2015-08-16,62
2015-08-23,59
2015-08-30,54
2015-09-06,52
2015-09-13,44
2015-09-20,44
2015-09-27,44
2015-10-04,50
2015-10-11,46
2015-10-18,45
2015-10-25,48
2015-11-01,51
2015-11-08,49
2015-11-15,53
2015-11-22,44
2015-11-29,51
2015-12-06,50
2015-12-13,51
2015-12-20,50
2015-12-27,47
2016-01-03,58
2016-01-10,59
2016-01-17,60
2016-01-24,56
2016-01-31,56
2016-02-07,55
2016-02-14,56
2016-02-21,52
2016-02-28,50
2016-03-06,71
2016-03-13,56
2016-03-20,57
2016-03-27,46
2016-04-03,50
2016-04-10,34
2016-04-17,51
2016-04-24,57
2016-05-01,64
2016-05-08,65
2016-05-15,60
2016-05-22,66
2016-05-29,61
2016-06-05,61
2016-06-12,59
2016-06-19,54
2016-06-26,58
2016-07-03,63
2016-07-10,69
2016-07-17,65
2016-07-24,63
2016-07-31,63
2016-08-07,71
2016-08-14,74
2016-08-21,66
2016-08-28,62
2016-09-04,63
2016-09-11,63
2016-09-18,55
2016-09-25,55
2016-10-02,58
2016-10-09,60
2016-10-16,58
2016-10-23,64
2016-10-30,59
2016-11-06,55
2016-11-13,56
2016-11-20,54
2016-11-27,56
2016-12-04,60
2016-12-11,59
2016-12-18,63
2016-12-25,60
2017-01-01,62
2017-01-08,66
2017-01-15,72
2017-01-22,69
2017-01-29,60
2017-02-05,55
2017-02-12,67
2017-02-19,71
2017-02-26,66
2017-03-05,68
2017-03-12,58
2017-03-19,61
2017-03-26,52
2017-04-02,43
2017-04-09,42
2017-04-16,56
2017-04-23,57
2017-04-30,61
2017-05-07,57
2017-05-14,61
2017-05-21,66
2017-05-28,58
2017-06-04,58
2017-06-11,59
2017-06-18,54
2017-06-25,56
2017-07-02,57
2017-07-09,55
2017-07-16,60
2017-07-23,57
2017-07-30,59
2017-08-06,57
2017-08-13,59
2017-08-20,63
2017-08-27,58
2017-09-03,56
2017-09-10,52
2017-09-17,52
2017-09-24,51
2017-10-01,54
2017-10-08,60
2017-10-15,53
2017-10-22,58
2017-10-29,53
2017-11-05,48
2017-11-12,49
2017-11-19,47
2017-11-26,52
2017-12-03,54
2017-12-10,74
2017-12-17,56
2017-12-24,59
2017-12-31,52
2018-01-07,76
2018-01-14,70
2018-01-21,69
2018-01-28,62
2018-02-04,52
2018-02-11,51
2018-02-18,49
2018-02-25,49
2018-03-04,49
2018-03-11,62
2018-03-18,64
2018-03-25,55
2018-04-01,48
2018-04-08,37
2018-04-15,45
2018-04-22,49
2018-04-29,50
2018-05-06,60
2018-05-13,76
2018-05-20,91
2018-05-27,59
2018-06-03,54
2018-06-10,51
2018-06-17,53
2018-06-24,46
2018-07-01,48
2018-07-08,53
2018-07-15,67
2018-07-22,60
2018-07-29,55
2018-08-05,54
2018-08-12,59
2018-08-19,61
2018-08-26,56
2018-09-02,53
2018-09-09,52
2018-09-16,46
2018-09-23,45
2018-09-30,45
2018-10-07,52
2018-10-14,52
2018-10-21,52
2018-10-28,47
2018-11-04,46
2018-11-11,49
2018-11-18,51
2018-11-25,47
2018-12-02,58
2018-12-09,55
2018-12-16,51
2018-12-23,46
2018-12-30,47
2019-01-06,53
2019-01-13,75
2019-01-20,90
2019-01-27,67
2019-02-03,55
2019-02-10,52
2019-02-17,53
2019-02-24,45
2019-03-03,50
2019-03-10,45
2019-03-17,44
2019-03-24,40
2019-03-31,37
2019-04-07,36
2019-04-14,36
2019-04-21,33
2019-04-28,52
2019-05-05,55
2019-05-12,50
2019-05-19,55
2019-05-26,54
2019-06-02,56
2019-06-09,54
2019-06-16,49
2019-06-23,49
2019-06-30,46
2019-07-07,49
2019-07-14,49
2019-07-21,52
2019-07-28,49
2019-08-04,50
2019-08-11,55
2019-08-18,54
2019-08-25,49
2019-09-01,47
2019-09-08,55
2019-09-15,48
2019-09-22,47
2019-09-29,44
2019-10-06,46
2019-10-13,45
2019-10-20,45
2019-10-27,46
2019-11-03,40
2019-11-10,37
2019-11-17,38
2019-11-24,39
2019-12-01,45
2019-12-08,46
2019-12-15,48
2019-12-22,46
2019-12-29,47
2020-01-05,52
